H3A_P_2_6,PhosphorusTreatment
34.26699829,0.0
56.67250061,0.0
22.07369995,5.6
23.18899918,0.0
21.6093998,5.6
79.50180054,0.0
131.3860016,0.0
77.73419952,0.0
28.81069946,0.0
20.73060036,5.6
123.8349991,0.0
64.77649689,0.0
29.33819962,0.0
29.34790039,0.0
26.08810043,0.0
34.51440048,5.6
26.63479996,0.0
21.14819908,5.6
132.1560059,11.3
28.98959923,0.0
21.89019966,5.6
76.82769775,0.0
30.76759911,16.9
83.90010071,11.3
77.29879761,0.0
24.31640053,0.0
140.9490051,0.0
20.21960068,0.0
21.66530037,5.6
114.7220001,5.6
36.13959885,5.6
20.39010048,0.0
31.33090019,16.9
73.31690216,11.3
141.5950012,0.0
28.7507,0.0
136.0890045,0.0
82.47180176,0.0
106.9069977,0.0
96.71790314,16.9
36.43059921,0.0
114.9919968,5.6
47.54589844,0.0
137.1260071,0.0
25.11700058,0.0
34.51380157,0.0
97.35160065,16.9
21.76519966,0.0
21.45319939,5.6
107.6080017,0.0
142.3939972,0.0
139.348999,0.0
28.98040009,0.0
22.46570015,0.0
36.36660004,0.0
97.97260284,16.9
23.60720062,0.0
123.7369995,0.0
136.0070038,0.0
33.49629974,5.6
144.1320038,0.0
86.91030121,11.3
35.02899933,5.6
98.11250305,16.9
20.16290092,0.0
26.04899979,0.0
134.4900055,0.0
114.9899979,5.6
33.3321991,5.6
138.3769989,0.0
34.35910034,5.6
21.99699974,0.0
19.71290016,0.0
94.03839874,0.0
114.3529968,5.6
20.77280045,5.6
23.72400093,16.9
30.77350044,16.9
86.91390228,11.3
138.5480042,0.0
114.4049988,5.6
22.50499916,16.9
140.7929993,0.0
66.33139801,0.0
127.3700027,11.3
32.19290161,0.0
24.28359985,16.9
136.5119934,0.0
73.32700348,16.9
36.0544014,5.6
26.55340004,0.0
25.57099915,0.0
88.44889832,11.3
130.7640076,0.0
102.8280029,0.0
22.25020027,5.6
27.73040009,0.0
122.9020004,0.0
23.83889961,16.9
25.22920036,0.0
103.2740021,0.0
32.47729874,0.0
31.02029991,16.9
35.83610153,0.0
34.18780136,0.0
30.95680046,16.9
22.73489952,0.0
84.46910095,11.3
41.03070068,0.0
120.6149979,0.0
95.01129913,0.0
26.58930016,0.0
32.65269852,0.0
123.0149994,0.0
129.6470032,11.3
24.01919937,16.9
94.35500336,0.0
27.70240021,0.0
126.8349991,0.0
29.26790047,0.0
94.30780029,0.0
31.68709946,16.9
24.91250038,16.9
25.67880058,0.0
131.598999,11.3
68.74130249,16.9
30.66379929,16.9
59.61470032,16.9
115.5759964,5.6
73.98560333,0.0
87.8608017,11.3
34.05120087,5.6
47.90230179,0.0
35.50730133,5.6
71.7684021,0.0
46.51520157,5.6
82.82740021,0.0
29.20070076,0.0
22.72769928,0.0
27.96409988,0.0
22.00169945,16.9
90.25499725,11.3
35.03760147,0.0
36.80080032,5.6
23.54120064,0.0
25.3239994,16.9
93.84269714,0.0
89.83860016,11.3
135.8670044,0.0
124.8389969,0.0
71.125,0.0
93.02890015,0.0
67.97480011,0.0
20.91620064,5.6
23.22890091,16.9
80.46019745,0.0
90.13439941,11.3
92.93669891,0.0
21.7779007,0.0
29.09490013,0.0
24.75769997,0.0
137.0200043,0.0
76.51830292,0.0
117.3830032,5.6
34.20220184,0.0
27.5182991,0.0
25.74640083,0.0
27.35280037,0.0
29.06110001,0.0
29.17740059,0.0
114.5670013,5.6
23.57209969,16.9
122.2570038,0.0
27.87619972,0.0
98.60220337,16.9
89.42230225,11.3
121.901001,0.0
26.52860069,0.0
23.61459923,0.0
114.7730026,5.6
126.3430023,11.3
114.961998,5.6
94.64920044,0.0
81.83950043,0.0
33.19309998,0.0
23.33259964,0.0
85.82379913,0.0
27.28739929,0.0
24.7446003,0.0
115.1969986,5.6
87.13130188,0.0
102.4449997,0.0
32.07720184,0.0
108.0080032,0.0
115.5709991,5.6
31.00440025,16.9
84.09359741,0.0
20.90629959,0.0
26.18810081,0.0
81.92829895,0.0
25.17740059,16.9
80.72229767,0.0
58.91220093,0.0
22.82209969,16.9
20.71479988,5.6
22.88339996,16.9
129.2100067,11.3
28.14319992,0.0
20.77619934,5.6
20.9008007,5.6
83.52780151,0.0
29.04789925,0.0
21.8159008,0.0
96.10230255,16.9
33.29389954,0.0
78.36669922,0.0
30.71500015,16.9
85.20510101,0.0
103.223999,0.0
116.6549988,5.6
95.41400146,0.0
97.00180054,16.9
25.82929993,0.0
67.34539795,0.0
22.4185009,5.6
105.7959976,0.0
29.36190033,0.0
36.3506012,0.0
115.3669968,5.6
35.59700012,0.0
87.88210297,11.3
28.93950081,0.0
24.51989937,16.9
24.19610023,16.9
56.87110138,0.0
103.6409988,0.0
31.01309967,16.9
134.6990051,0.0
33.68669891,5.6
22.22470093,0.0
86.90670013,11.3
133.4779968,11.3
98.50109863,16.9
119.6139984,0.0
26.33950043,0.0
98.5632019,16.9
88.3451004,0.0
135.2230072,0.0
139.3699951,0.0
32.16859818,0.0
28.00469971,0.0
27.79199982,0.0
32.27709961,0.0
105.776001,0.0
123.1259995,0.0
81.19670105,0.0
98.80799866,16.9
24.73049927,16.9
20.47820091,0.0
25.51079941,0.0
132.6060028,0.0
136.3529968,0.0
32.36940002,0.0
33.70610046,5.6
114.5179977,5.6
86.29419708,11.3
19.30949974,0.0
92.42780304,0.0
28.49239922,0.0
19.98349953,0.0
92.73809814,0.0
32.96569824,0.0
120.163002,0.0
107.4260025,0.0
35.85419846,0.0
102.9410019,0.0
31.28240013,16.9
32.24670029,0.0
121.25,0.0
71.93199921,11.3
103.4789963,0.0
20.59959984,5.6
132.6269989,0.0
136.0829926,0.0
94.28600311,0.0
80.67559814,0.0
115.6190033,5.6
33.69210052,0.0
140.0870056,0.0
25.98250008,0.0
