Ols_P_2_6,PhosphorusTreatment
3.258080006,0.0
3.373310089,0.0
3.176690102,11.3
3.226000071,0.0
3.434550047,0.0
3.343470097,0.0
3.192039967,0.0
3.175859928,0.0
3.948379993,0.0
3.146110058,0.0
3.270009995,0.0
3.291500092,11.3
3.210089922,0.0
3.807719946,33.8
3.228579998,0.0
3.175780058,0.0
3.923199892,33.8
3.138770103,0.0
3.436079979,0.0
3.058350086,22.5
3.224250078,11.3
3.773890018,22.5
3.106359959,0.0
3.280930042,22.5
3.933010101,33.8
3.511859894,33.8
3.255579948,11.3
3.569489956,22.5
3.080980062,22.5
3.095129967,33.8
3.188679934,0.0
3.14102006,33.8
3.768719912,22.5
3.480730057,0.0
3.283040047,11.3
3.148329973,22.5
3.362440109,33.8
3.198600054,0.0
3.199150085,0.0
3.131659985,0.0
3.171780109,0.0
3.180649996,0.0
3.071280003,11.3
3.962049961,33.8
3.159290075,0.0
3.339839935,33.8
3.497659922,22.5
4.076310158,0.0
3.193470001,11.3
4.233799934,33.8
3.11439991,33.8
3.187560081,0.0
3.12635994,22.5
3.071389914,33.8
3.477880001,11.3
3.153049946,0.0
3.146490097,33.8
3.162319899,11.3
3.232359886,11.3
3.202620029,0.0
3.089370012,0.0
3.08652997,11.3
3.13406992,0.0
3.55024004,22.5
3.309870005,0.0
3.124769926,0.0
3.209579945,0.0
3.162349939,0.0
3.318789959,11.3
3.265369892,22.5
3.448129892,0.0
3.119740009,0.0
3.650540113,33.8
3.442790031,0.0
3.335010052,0.0
3.552589893,22.5
3.569400072,22.5
4.21544981,33.8
3.166980028,0.0
3.306689978,11.3
3.1603899,0.0
3.314650059,0.0
3.685529947,33.8
3.649310112,22.5
3.748080015,22.5
3.173949957,0.0
3.128760099,11.3
3.150769949,11.3
3.155009985,33.8
3.067719936,0.0
3.179059982,0.0
3.460319996,0.0
3.975049973,33.8
3.074470043,11.3
3.491810083,0.0
3.186559916,33.8
3.886199951,0.0
3.746670008,22.5
3.126509905,0.0
3.156389952,0.0
4.216670036,33.8
3.108069897,0.0
3.876729965,0.0
3.757040024,0.0
4.506879807,0.0
3.28482008,33.8
3.453609943,0.0
3.256409883,33.8
3.596999884,0.0
3.118439913,22.5
3.328799963,22.5
3.458859921,0.0
3.757539988,0.0
4.00894022,0.0
3.714600086,0.0
3.985300064,33.8
3.482500076,33.8
3.226449966,22.5
3.102780104,0.0
3.305929899,0.0
3.095769882,33.8
3.364480019,22.5
4.053309917,0.0
3.43069005,33.8
3.157779932,0.0
3.344990015,0.0
3.212039948,0.0
3.38064003,0.0
3.184329987,22.5
3.239229918,0.0
3.908930063,0.0
3.207250118,33.8
3.175649881,0.0
3.279969931,11.3
3.330630064,11.3
