Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,PhosphorusTreatment
0.453056008,35.62929916,0.757196009,215.0339966,23.84490013,4.336279869,0.0
0.54548502,38.08570099,1.077579975,207.6309967,22.96890068,3.974349976,0.0
0.537962973,38.47719955,1.019080043,206.8569946,23.82239914,4.005970001,0.0
0.352697998,39.33599854,0.773862004,206.0330048,23.31570053,3.946039915,0.0
0.378802001,29.99799919,0.780727983,208.7819977,20.08650017,4.366189957,28.2
0.297428012,40.35350037,0.686729014,206.1820068,23.47039986,3.969619989,0.0
0.428808987,41.75379944,0.759495974,207.0899963,27.0048008,3.940850019,0.0
0.253064007,40.92369843,0.634844005,206.3679962,23.62229919,4.045209885,0.0
0.307603002,37.64860153,0.734600008,209.177002,22.54770088,3.922139883,28.2
0.288756013,30.9571991,0.782002985,199.6759949,20.31669998,3.903909922,0.0
0.176794007,32.25279999,0.605606973,199.7369995,20.48250008,3.70878005,16.9
0.226656005,36.57989883,0.640226007,204.8439941,21.59939957,3.860470057,0.0
0.585978985,39.97949982,1.132400036,207.0899963,24.00200081,4.05053997,0.0
0.366362005,34.20230103,0.76818198,214.6620026,22.98340034,4.178110123,22.5
0.490644991,36.67750168,0.76533097,212.5209961,24.91060066,4.324820042,16.9
0.74773097,38.91690063,1.508440018,208.0740051,23.61829948,4.016009808,0.0
0.354822993,36.62369919,0.794380009,209.6849976,22.44459915,3.978329897,28.2
0.500881016,34.72909927,0.756892979,213.076004,24.12509918,4.385029793,16.9
0.266732991,40.82820129,0.652132988,206.2949982,23.53930092,4.015870094,0.0
0.342727989,33.62469864,0.704219997,213.1439972,21.8647995,4.171229839,0.0
0.426854998,41.10329819,0.759187996,207.1620026,26.8234005,3.954900026,0.0
0.324010998,34.5141983,0.778043985,205.3439941,20.96520042,4.014239788,0.0
0.361030012,40.48749924,0.762529016,204.5399933,26.32859993,3.818419933,28.2
0.45954299,37.90829849,0.973138988,205.5679932,22.58679962,3.924210072,22.5
0.464116007,40.05670166,0.943763971,206.0269928,23.52099991,4.000870228,22.5
0.378113002,38.88119888,0.842015982,205.7839966,22.83009911,3.909440041,0.0
0.458683014,37.71989822,0.972638011,205.5379944,22.4836998,3.92069006,22.5
0.291301012,24.76320076,0.84048301,207.6069946,17.75119972,4.417329788,0.0
0.26413101,38.66529846,0.668660998,208.9470062,22.68670082,3.881779909,28.2
0.320398986,31.30540085,0.783486009,208.3840027,20.55260086,4.103859901,0.0
0.495947003,37.81710052,1.020679951,206.3280029,22.62770081,3.928159952,0.0
0.437743008,35.01750183,0.835138977,217.1230011,23.24920082,4.392290115,0.0
0.240710005,39.37260056,0.629702985,208.9149933,22.7996006,3.858669996,28.2
0.567552984,34.41249847,1.054579973,215.1580048,23.52370071,4.364870071,0.0
