Ols_P_2_6,PhosphorusTreatment
4.003230095,22.5
3.942830086,0.0
4.110030174,0.0
4.543019772,0.0
4.293930054,28.2
3.905090094,22.5
4.094989777,0.0
3.892549992,0.0
4.400080204,22.5
3.861939907,28.2
3.841690063,0.0
4.089039803,16.9
3.801889896,16.9
3.76135993,0.0
3.767580032,0.0
4.049580097,0.0
4.207809925,0.0
3.857350111,0.0
4.316100121,0.0
3.739880085,0.0
4.303009987,0.0
4.318600178,16.9
3.855050087,0.0
3.874660015,28.2
3.906840086,0.0
4.537449837,0.0
3.912810087,0.0
3.932709932,22.5
3.965650082,0.0
4.328400135,28.2
3.819139957,0.0
4.353350163,0.0
3.817759991,28.2
4.05948019,0.0
3.835150003,0.0
4.361219883,16.9
3.81001997,28.2
3.806020021,28.2
4.00906992,22.5
4.080470085,0.0
4.102859974,0.0
3.794100046,0.0
4.170380116,28.2
3.730340004,0.0
3.887109995,28.2
4.248030186,22.5
3.898220062,0.0
3.717489958,16.9
4.038710117,22.5
4.023200035,0.0
3.875920057,0.0
3.843489885,28.2
3.810610056,0.0
4.04489994,0.0
3.869189978,0.0
4.278830051,0.0
4.305109978,0.0
3.763420105,16.9
4.176829815,0.0
4.272429943,28.2
4.417140007,22.5
3.830120087,0.0
3.873169899,28.2
3.867460012,0.0
4.007820129,22.5
3.809920073,28.2
4.377960205,16.9
3.81072998,0.0
4.056670189,0.0
4.330120087,0.0
4.024209976,0.0
3.90967989,28.2
3.875309944,22.5
3.739360094,16.9
4.429890156,16.9
4.484429836,16.9
4.407479763,16.9
3.812200069,0.0
3.924000025,0.0
4.170839787,22.5
3.956120014,0.0
4.246669769,0.0
4.067580223,0.0
3.822109938,16.9
3.87003994,0.0
4.221749783,0.0
4.375349998,0.0
3.792550087,28.2
4.064889908,22.5
4.190760136,22.5
3.918839931,0.0
3.806940079,22.5
3.822180033,0.0
3.746299982,16.9
3.938440084,16.9
4.001420021,22.5
4.113910198,22.5
3.708460093,16.9
3.994879961,0.0
4.012030125,0.0
4.063340187,22.5
3.899270058,16.9
3.840689898,0.0
4.402800083,0.0
3.955539942,0.0
4.47852993,0.0
4.420340061,0.0
3.93501997,0.0
3.965869904,28.2
4.015950203,0.0
3.913850069,0.0
4.02038002,22.5
3.761749983,0.0
3.788749933,28.2
4.525239944,0.0
3.947629929,0.0
3.898530006,16.9
4.394720078,22.5
3.867520094,0.0
3.922489882,22.5
3.857959986,0.0
3.986789942,28.2
3.859329939,0.0
4.369259834,16.9
3.97874999,0.0
3.821929932,0.0
3.894900084,28.2
3.906409979,0.0
4.38161993,0.0
3.852260113,0.0
4.339890003,0.0
3.890530109,22.5
3.988980055,22.5
3.889039993,16.9
3.810230017,0.0
4.315440178,22.5
4.226669788,22.5
3.969199896,22.5
3.803260088,0.0
3.883369923,0.0
4.048590183,0.0
3.928440094,0.0
4.501570225,0.0
3.941649914,22.5
3.824909925,28.2
3.906820059,16.9
4.156209946,0.0
4.386980057,22.5
3.977930069,0.0
3.902280092,28.2
4.367690086,0.0
4.143089771,22.5
4.399730206,0.0
4.34664011,0.0
4.430369854,28.2
3.805579901,0.0
4.244540215,0.0
3.802580118,16.9
3.824450016,0.0
4.070250034,0.0
4.112090111,16.9
4.323699951,0.0
