Ols_P_0_2,PhosphorusTreatment
7.8886199,22.5
7.856239796,22.5
3.126049995,0.0
4.822329998,22.5
4.113200188,11.3
2.996419907,11.3
3.990760088,22.5
4.000790119,0.0
4.49075985,11.3
3.337559938,11.3
8.043809891,22.5
3.588999987,22.5
5.274390221,11.3
7.320300102,0.0
4.688950062,22.5
9.544819832,33.8
4.352129936,11.3
5.72672987,33.8
4.704609871,11.3
9.253789902,0.0
5.034379959,0.0
4.735990047,11.3
3.769419909,0.0
6.843719959,33.8
5.32528019,0.0
9.567959785,0.0
10.39050007,0.0
6.599150181,33.8
7.020880222,0.0
4.619339943,11.3
3.062410116,22.5
5.244309902,22.5
8.069419861,22.5
9.532010078,33.8
5.215489864,0.0
3.40557003,22.5
4.682970047,11.3
3.166369915,0.0
5.974870205,33.8
9.1978302,33.8
4.493400097,33.8
4.639140129,11.3
6.621669769,0.0
5.097650051,11.3
2.497159958,11.3
5.42648983,0.0
4.781370163,0.0
5.716579914,0.0
5.666910172,0.0
3.799020052,33.8
8.105460167,22.5
5.236780167,22.5
4.048359871,0.0
6.093920231,22.5
3.371299982,33.8
6.61014986,33.8
8.069190025,22.5
4.653619766,0.0
5.878580093,22.5
6.521170139,33.8
9.951589584,33.8
9.922579765,0.0
5.090240002,11.3
2.558759928,0.0
6.03621006,0.0
3.906019926,33.8
10.46070004,0.0
4.545949936,0.0
6.132180214,22.5
6.053979874,0.0
5.209119797,0.0
5.031370163,0.0
6.555699825,33.8
3.631269932,22.5
3.89793992,0.0
7.261179924,0.0
6.280029774,33.8
7.28606987,0.0
4.510739803,22.5
4.478320122,0.0
5.331580162,0.0
2.453999996,0.0
4.872139931,0.0
5.964039803,33.8
4.715970039,0.0
5.741280079,0.0
7.002200127,33.8
9.153900146,33.8
5.115399837,22.5
4.395709991,11.3
4.006030083,11.3
5.729979992,22.5
4.21544981,0.0
4.881100178,11.3
4.035679817,0.0
4.384829998,0.0
5.245170116,0.0
4.309820175,22.5
6.67813015,0.0
6.184319973,22.5
4.538589954,0.0
3.955049992,33.8
4.985050201,0.0
4.108910084,0.0
4.198790073,33.8
4.485750198,0.0
4.860139847,11.3
4.882050037,11.3
6.159599781,0.0
6.678140163,33.8
9.453820229,33.8
5.596389771,22.5
3.288120031,0.0
5.997399807,0.0
5.144179821,0.0
5.974919796,0.0
8.115690231,22.5
9.422949791,33.8
3.664309978,22.5
5.88740015,11.3
4.230720043,0.0
3.533839941,0.0
9.826860428,33.8
4.501379967,11.3
8.616559982,0.0
6.556900024,0.0
9.668129921,0.0
3.737430096,11.3
5.495379925,11.3
3.927489996,11.3
4.310959816,0.0
2.924410105,0.0
8.608030319,0.0
5.305550098,0.0
4.549699783,0.0
9.53524971,33.8
5.158710003,11.3
5.421339989,11.3
5.112500191,0.0
5.443419933,0.0
4.462500095,0.0
8.850529671,0.0
3.956160069,22.5
4.666820049,11.3
6.417759895,33.8
3.017750025,0.0
4.463240147,0.0
7.328810215,0.0
5.277390003,0.0
4.262919903,0.0
2.859689951,0.0
4.913949966,0.0
9.349579811,33.8
2.776060104,0.0
9.660369873,33.8
3.793370008,33.8
6.811920166,33.8
3.672869921,0.0
6.05591011,0.0
4.68844986,0.0
4.690619946,33.8
6.637499809,0.0
3.654560089,33.8
6.726230145,33.8
8.984149933,33.8
3.721169949,33.8
9.915019989,33.8
5.197090149,11.3
4.563199997,22.5
5.138100147,0.0
9.990150452,0.0
4.997049809,0.0
4.527719975,33.8
6.726019859,33.8
4.690529823,11.3
3.491029978,0.0
5.855929852,0.0
4.345089912,22.5
4.596869946,0.0
4.824160099,0.0
3.602370024,0.0
5.235809803,11.3
5.772439957,0.0
5.159589767,0.0
7.566800117,0.0
5.275559902,22.5
7.576509953,0.0
2.559740067,11.3
8.085709572,22.5
4.584740162,0.0
8.897270203,0.0
4.543960094,0.0
4.392819881,0.0
5.992229939,22.5
4.253439903,33.8
5.835669994,22.5
9.794300079,0.0
5.680830002,11.3
8.069840431,22.5
4.806690216,11.3
3.24977994,11.3
8.125049591,22.5
