M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,PhosphorusTreatment
105.9779968,3991.659912,29.80430031,405.3240051,134.8450012,13.81110001,0.0
79.27490234,4214.680176,31.63209915,398.9530029,125.3570023,14.36740017,22.5
64.31340027,4053.709961,29.9727993,406.0100098,132.8890076,14.43589973,0.0
141.4190063,4088.409912,31.80990028,407.9620056,131.8699951,15.19050026,0.0
83.94550323,4329.72998,31.41489983,398.6530151,127.5250015,14.79710007,0.0
164.3419952,4264.399902,32.04710007,400.2059937,141.8209991,15.31369972,0.0
172.6730042,4225.640137,32.31890106,399.6789856,135.6660004,15.04090023,0.0
51.95899963,4009.129883,29.14889908,406.1539917,135.9759979,14.42850018,0.0
78.65470123,4048.129883,30.23380089,405.9360046,133.1679993,14.39550018,0.0
180.6320038,4156.709961,32.75899887,405.7879944,130.4160004,15.20079994,16.9
142.0440063,4208.22998,31.38680077,388.9200134,123.6050034,13.86699963,22.5
145.1629944,3992.679932,29.73340034,398.0700073,135.9519958,12.99540043,0.0
147.0189972,4216.509766,30.38120079,389.6419983,117.8960037,13.14630032,0.0
90.01110077,4264.649902,30.16069984,402.9559937,126.1949997,14.81470013,0.0
69.15660095,4084.330078,29.97369957,399.54599,129.9320068,14.2276001,28.2
132.6970062,4065.48999,31.26449966,403.8460083,134.5639954,14.63860035,22.5
129.1470032,4077.719971,30.5333004,400.4140015,130.9210052,14.08650017,0.0
176.7980042,4105.799805,31.22590065,391.6929932,129.4620056,13.64830017,0.0
76.88960266,4226.549805,31.59309959,402.8619995,123.6709976,14.58390045,22.5
174.552002,4110.299805,30.51779938,399.4809875,123.7900009,13.46210003,28.2
172.0930023,4235.839844,32.04759979,397.256012,131.0269928,15.03050041,0.0
130.423996,4040.600098,30.43400002,400.5230103,132.3139954,14.07900047,16.9
193.0919952,4036.050049,30.30550003,401.4930115,133.9499969,13.3888998,16.9
169.1799927,4113.990234,32.84389877,407.3380127,129.423996,15.06919956,0.0
178.3289948,4166.72998,32.9632988,397.8800049,130.25,15.40470028,0.0
107.0230026,4036.719971,31.53739929,400.105011,131.1809998,14.05799961,0.0
99.01029968,4004.129883,30.08760071,409.9349976,136.4620056,14.20839977,0.0
157.4980011,4052.179932,31.6352005,403.6629944,136.798996,14.56499958,0.0
87.64420319,4044.320068,30.35199928,405.9169922,133.4790039,14.3689003,0.0
180.3289948,4133.939941,32.94599915,407.1830139,129.8090057,15.07209969,0.0
72.20240021,4050.179932,29.92840004,409.7609863,134.0720062,14.28849983,0.0
107.302002,4268.100098,30.82530022,401.6589966,127.6279984,15.92949963,16.9
183.3280029,4166.47998,32.17380142,407.4030151,134.177002,15.20890045,0.0
180.5720062,4082.139893,31.11949921,391.7279968,129.7649994,13.63210011,28.2
134.5269928,4043.560059,31.23530006,403.8330078,135.2749939,14.61460018,0.0
87.43959808,4261.959961,30.24180031,402.9639893,126.2330017,14.81830025,0.0
169.5630035,4128.029785,30.96419907,391.5390015,126.2170029,13.65130043,0.0
