M3_P_2_6,PhosphorusTreatment
154.7389984,0.0
159.9649963,0.0
193.4210052,0.0
142.0870056,0.0
137.5879974,6.8
201.0310059,0.0
154.3379974,3.4
159.8410034,0.0
164.6950073,0.0
146.7100067,0.0
138.7230072,0.0
157.3289948,3.4
177.5079956,0.0
191.3580017,6.8
164.8560028,0.0
126.598999,0.0
157.4750061,3.4
126.1959991,6.8
156.3670044,3.4
145.6799927,0.0
150.8999939,0.0
150.2089996,0.0
193.7330017,0.0
167.9420013,0.0
154.3580017,3.4
152.0480042,10.1
170.6439972,0.0
137.595993,0.0
188.8399963,0.0
136.1560059,0.0
152.5339966,3.4
192.0090027,6.8
202.9409943,0.0
151.4609985,0.0
144.4570007,0.0
181.7769928,6.8
145.6609955,0.0
188.970993,0.0
159.9570007,0.0
146.503006,0.0
123.5579987,0.0
145.1430054,0.0
196.6349945,6.8
160.2960052,3.4
142.4060059,10.1
168.8820038,0.0
146.0559998,0.0
160.7879944,0.0
164.4250031,0.0
143.3240051,0.0
147.5599976,0.0
159.7180023,0.0
151.7440033,0.0
146.7279968,3.4
149.2200012,0.0
144.2700043,6.8
190.8699951,10.1
152.0480042,0.0
190.1519928,10.1
161.2559967,0.0
153.6569977,0.0
154.076004,0.0
140.2680054,0.0
153.0310059,3.4
168.4080048,0.0
149.697998,0.0
153.7660065,0.0
144.9420013,0.0
151.7570038,3.4
148.9759979,10.1
138.8059998,0.0
141.6909943,0.0
140.9409943,0.0
140.0050049,0.0
142.5970001,0.0
198.7129974,0.0
165.6589966,0.0
144.7160034,3.4
154.3540039,0.0
177.7859955,6.8
147.7859955,3.4
121.1930008,0.0
147.0919952,0.0
154.2319946,0.0
145.1340027,3.4
183.8419952,0.0
193.6100006,0.0
112.6050034,0.0
144.5269928,10.1
173.4179993,10.1
137.2590027,0.0
141.3549957,6.8
142.8609924,10.1
144.5670013,0.0
142.8059998,10.1
184.3739929,6.8
137.1519928,0.0
142.8399963,0.0
149.7599945,0.0
171.2590027,0.0
137.9530029,0.0
166.6159973,0.0
168.3769989,0.0
142.0980072,0.0
142.7070007,10.1
144.8869934,0.0
182.9100037,6.8
142.0859985,6.8
186.0879974,6.8
143.1629944,10.1
134.0839996,0.0
198.5019989,6.8
183.8659973,10.1
160.7579956,0.0
154.9519958,0.0
158.753006,3.4
143.5749969,0.0
137.7940063,6.8
166.2940063,10.1
197.0130005,6.8
158.4499969,0.0
178.8419952,0.0
157.9140015,0.0
209.4559937,0.0
153.75,0.0
200.6940002,0.0
130.404007,0.0
156.798996,0.0
139.0330048,0.0
184.6580048,0.0
151.0740051,0.0
148.0809937,10.1
138.1679993,0.0
153.0160065,3.4
143.9609985,0.0
160.2689972,3.4
143.2350006,0.0
136.4810028,0.0
139.6940002,6.8
139.2380066,0.0
188.3170013,0.0
141.6040039,6.8
134.1369934,6.8
166.5019989,3.4
141.1419983,6.8
153.871994,0.0
192.9129944,0.0
160.1230011,0.0
146.0299988,10.1
152.5679932,0.0
129.878006,0.0
142.5399933,6.8
118.6569977,6.8
140.8529968,10.1
143.7330017,10.1
131.4550018,0.0
181.2389984,0.0
150.2539978,10.1
146.779007,3.4
169.6900024,3.4
191.0189972,10.1
183.0800018,0.0
141.6049957,0.0
156.2610016,3.4
189.7319946,6.8
158.0079956,3.4
151.1820068,3.4
151.6959991,0.0
193.1799927,0.0
179.9440002,0.0
152.1940002,0.0
187.4120026,6.8
195.4060059,0.0
159.9259949,0.0
155.7899933,0.0
145.4559937,0.0
182.1699982,10.1
156.9199982,0.0
126.2770004,0.0
161.5670013,0.0
156.5679932,3.4
187.4759979,0.0
151.5399933,10.1
130.1880035,6.8
161.2850037,3.4
154.9250031,0.0
140.0330048,0.0
190.3919983,0.0
195.7290039,0.0
191.0180054,6.8
151.1269989,0.0
142.9629974,10.1
152.3820038,0.0
149.548996,10.1
149.253006,10.1
193.2799988,0.0
140.8569946,10.1
144.923996,0.0
136.5399933,0.0
153.1799927,3.4
150.8860016,0.0
165.8000031,0.0
153.5820007,0.0
156.8789978,0.0
141.4250031,0.0
195.3939972,0.0
140.5359955,0.0
147.4380035,10.1
204.5529938,0.0
154.8179932,3.4
160.5720062,0.0
188.1589966,0.0
138.5449982,0.0
148.677002,10.1
139.4989929,6.8
200.3379974,0.0
159.9389954,0.0
142.826004,0.0
145.029007,6.8
183.0740051,6.8
127.9860001,0.0
154.5090027,0.0
150.9810028,0.0
158.7330017,3.4
147.2200012,0.0
135.6390076,6.8
136.3549957,0.0
146.4279938,0.0
177.4340057,0.0
141.298996,10.1
154.7030029,3.4
192.9290009,0.0
186.9929962,0.0
150.0160065,0.0
194.9609985,0.0
170.1649933,0.0
147.279007,0.0
153.8359985,0.0
128.3099976,0.0
158.6210022,0.0
188.8840027,0.0
189.9100037,0.0
167.4069977,0.0
158.470993,0.0
169.1840057,0.0
192.4720001,0.0
153.8869934,0.0
196.5220032,6.8
158.0879974,3.4
148.0769958,10.1
151.4570007,0.0
138.0919952,0.0
145.7570038,0.0
157.8170013,3.4
203.1419983,0.0
152.6000061,0.0
153.8659973,0.0
154.3249969,0.0
153.2019958,3.4
144.5540009,10.1
154.9179993,0.0
139.9960022,0.0
153.9589996,0.0
141.3569946,0.0
151.0590057,3.4
128.3309937,6.8
140.6600037,0.0
184.3569946,6.8
145.6029968,0.0
157.5200043,3.4
146.3350067,0.0
121.5390015,6.8
136.8760071,0.0
149.5010071,10.1
140.375,6.8
185.8419952,0.0
158.227005,0.0
144.9490051,0.0
128.128006,0.0
189.7610016,0.0
146.9909973,10.1
191.996994,0.0
151.3359985,0.0
190.1940002,0.0
153.1470032,0.0
185.2019958,0.0
156.2949982,0.0
151.8320007,0.0
204.4900055,0.0
194.5119934,10.1
151.9429932,0.0
144.723999,0.0
162.7779999,3.4
141.6419983,0.0
190.8760071,6.8
144.8970032,10.1
152.2929993,0.0
150.9369965,0.0
147.1190033,10.1
145.9019928,0.0
145.1719971,0.0
188.2380066,10.1
171.8930054,10.1
144.4819946,10.1
156.2310028,0.0
189.2050018,6.8
123.0469971,6.8
188.7259979,10.1
191.2200012,6.8
143.75,0.0
144.0780029,3.4
142.3509979,3.4
150.6029968,3.4
151.8470001,0.0
139.1569977,0.0
143.427002,6.8
185.8769989,0.0
189.9750061,0.0
139.4559937,6.8
156.6649933,3.4
151.5809937,10.1
175.6029968,0.0
170.9400024,0.0
150.9750061,0.0
192.4720001,0.0
142.223999,0.0
202.1040039,6.8
162.9140015,0.0
154.4669952,0.0
152.2400055,3.4
136.0339966,0.0
204.3910065,0.0
148.772995,10.1
158.8699951,3.4
161.5379944,0.0
150.651001,0.0
151.727005,0.0
144.1199951,0.0
156.6809998,3.4
145.8849945,0.0
168.0269928,10.1
166.9660034,0.0
179.3179932,10.1
150.4589996,3.4
183.621994,0.0
155.9440002,0.0
175.2330017,0.0
204.927002,0.0
150.9929962,10.1
162.2180023,3.4
192.1170044,10.1
175.5590057,3.4
181.0709991,0.0
143.779007,0.0
160.1230011,0.0
151.576004,0.0
177.1390076,10.1
137.5610046,0.0
140.0859985,6.8
145.875,3.4
215.7250061,0.0
206.2420044,6.8
153.4060059,0.0
153.0939941,0.0
160.0789948,0.0
151.1679993,10.1
150.8329926,10.1
187.3119965,0.0
202.0480042,0.0
164.7910004,0.0
150.2259979,0.0
158.8110046,0.0
147.5910034,0.0
143.8890076,10.1
141.3439941,0.0
132.8930054,6.8
190.1589966,0.0
149.8659973,10.1
182.4859924,0.0
152.845993,0.0
132.8000031,0.0
159.7709961,0.0
170.9830017,0.0
135.8710022,6.8
137.6799927,0.0
170.1410065,0.0
172.3070068,3.4
156.0319977,3.4
207.6790009,0.0
175.8899994,10.1
131.9490051,6.8
174.3690033,0.0
151.1360016,0.0
166.0659943,3.4
140.3300018,6.8
169.3880005,0.0
144.6210022,0.0
151.6670074,0.0
157.2740021,0.0
145.4720001,0.0
202.0749969,0.0
159.6679993,10.1
143.0500031,0.0
182.5769958,0.0
145.173996,10.1
144.8029938,0.0
134.5420074,6.8
156.8509979,0.0
149.6929932,0.0
136.227005,6.8
179.2859955,0.0
144.0379944,10.1
191.5919952,0.0
181.4669952,10.1
151.9900055,0.0
153.1929932,3.4
138.9629974,0.0
149.8950043,0.0
143.6940002,0.0
130.1940002,6.8
180.2140045,0.0
149.7180023,3.4
165.302002,0.0
159.5390015,0.0
144.1889954,10.1
190.8079987,0.0
156.2250061,0.0
189.7059937,10.1
190.9069977,0.0
180.598999,6.8
133.6699982,0.0
153.9799957,3.4
147.8789978,10.1
188.1869965,0.0
134.8659973,0.0
151.7030029,0.0
139.3070068,0.0
192.227005,0.0
197.5820007,6.8
170.121994,0.0
153.9109955,0.0
186.621994,6.8
153.697998,3.4
151.7100067,3.4
145.9420013,0.0
169.4369965,0.0
164.5780029,0.0
149.2140045,0.0
155.0050049,0.0
167.8959961,0.0
188.1519928,0.0
142.5549927,6.8
153.8699951,0.0
180.4259949,10.1
151.4349976,0.0
153.8990021,0.0
151.1360016,3.4
184.5059967,0.0
149.2359924,10.1
157.9329987,3.4
136.0249939,0.0
156.3589935,0.0
139.0390015,6.8
139.8959961,0.0
167.6230011,0.0
124.064003,6.8
201.4689941,6.8
147.4120026,0.0
159.7489929,0.0
206.6040039,0.0
154.1679993,0.0
176.003006,0.0
146.6340027,10.1
142.9420013,6.8
146.378006,3.4
161.4589996,0.0
134.3679962,6.8
201.8540039,0.0
185.7819977,0.0
146.3009949,3.4
152.3820038,0.0
152.3040009,10.1
138.3059998,0.0
198.2330017,6.8
145.746994,0.0
142.326004,0.0
143.3820038,6.8
157.029007,3.4
159.923996,0.0
159.9420013,0.0
159.4830017,3.4
146.5610046,0.0
204.1049957,0.0
192.4819946,0.0
140.2689972,0.0
158.1569977,0.0
145.8249969,10.1
179.3840027,6.8
172.7579956,0.0
173.3470001,0.0
150.9450073,0.0
185.0429993,6.8
146.7220001,0.0
153.8860016,0.0
165.1390076,0.0
186.6119995,6.8
138.2680054,0.0
150.6300049,0.0
130.7579956,0.0
156.6730042,10.1
150.522995,3.4
205.2899933,0.0
145.6329956,0.0
142.098999,0.0
159.9340057,0.0
186.9109955,6.8
159.9259949,0.0
153.8209991,3.4
152.9389954,0.0
145.0879974,10.1
188.2120056,0.0
146.2610016,0.0
136.0850067,0.0
143.5469971,0.0
194.973999,10.1
193.6340027,10.1
192.1119995,6.8
199.4400024,0.0
146.2019958,10.1
154.1060028,3.4
187.3350067,6.8
185.4060059,6.8
149.746994,0.0
171.3529968,0.0
161.7669983,10.1
156.4790039,3.4
169.7070007,0.0
185.3549957,6.8
161.2630005,3.4
144.223999,0.0
146.4329987,10.1
145.0709991,0.0
146.9869995,10.1
122.2720032,0.0
150.2649994,0.0
144.4799957,0.0
201.746994,0.0
199.0130005,6.8
159.9689941,0.0
152.8000031,0.0
165.6959991,0.0
132.4459991,6.8
165.5500031,0.0
153.6300049,0.0
146.5180054,0.0
137.3280029,0.0
144.3190002,0.0
141.3179932,10.1
144.901001,6.8
153.2489929,0.0
137.2969971,6.8
153.7550049,0.0
143.9609985,0.0
194.4790039,0.0
141.6009979,0.0
151.3500061,0.0
139.6529999,0.0
168.8419952,3.4
149.3580017,0.0
