Ols_P_2_6,PhosphorusTreatment
39.52669907,0.0
55.25740051,0.0
53.61880112,0.0
49.58300018,0.0
43.19350052,6.8
53.30070114,0.0
55.21319962,3.4
55.59209824,0.0
47.5196991,0.0
52.44839859,0.0
44.99169922,0.0
57.85630035,3.4
50.27360153,0.0
53.57099915,6.8
50.9253006,0.0
42.73249817,0.0
55.37580109,3.4
42.96080017,6.8
54.88880157,3.4
52.39960098,0.0
51.29919815,0.0
50.78820038,0.0
53.65420151,0.0
50.96910095,0.0
56.93289948,3.4
51.46780014,10.1
50.94139862,0.0
48.24409866,0.0
54.62990189,0.0
46.46450043,0.0
51.69660187,3.4
54.30250168,6.8
53.12020111,0.0
51.6026001,0.0
47.62820053,0.0
50.82910156,6.8
46.05730057,0.0
50.97639847,0.0
55.34830093,0.0
43.2887001,0.0
44.08649826,0.0
47.04219818,0.0
52.41360092,6.8
55.5,3.4
39.37390137,10.1
50.26269913,0.0
50.06829834,0.0
55.28150177,0.0
49.89649963,0.0
46.25310135,0.0
48.34680176,0.0
55.63819885,0.0
50.99570084,0.0
47.66680145,3.4
56.67240143,0.0
49.8146019,6.8
55.92160034,10.1
44.52560043,0.0
51.65250015,10.1
54.58890152,0.0
56.51279831,0.0
57.18790054,0.0
47.76160049,0.0
46.14319992,3.4
49.27349854,0.0
45.39910126,0.0
44.61429977,0.0
42.58539963,0.0
51.35800171,3.4
54.45700073,10.1
48.6969986,0.0
48.22499847,0.0
48.03430176,0.0
48.73040009,0.0
48.86640167,0.0
52.90969849,0.0
48.84170151,0.0
51.89870071,3.4
57.47529984,0.0
50.37789917,6.8
45.87060165,3.4
42.37549973,0.0
48.13539886,0.0
44.66569901,0.0
46.86840057,3.4
54.59080124,0.0
54.05830002,0.0
42.32120132,0.0
46.19010162,10.1
50.8708992,10.1
44.90739822,0.0
47.40209961,6.8
45.89080048,10.1
42.78279877,0.0
46.48070145,10.1
54.66210175,6.8
46.02959824,0.0
49.84619904,0.0
55.35680008,0.0
50.70029831,0.0
42.60179901,0.0
50.94960022,0.0
49.99610138,0.0
43.36930084,0.0
39.21580124,10.1
42.89179993,0.0
50.99119949,6.8
48.07500076,6.8
54.57849884,6.8
43.1086998,10.1
46.02939987,0.0
52.4822998,6.8
51.63600159,10.1
54.62269974,0.0
57.75270081,0.0
55.39120102,3.4
50.11320114,0.0
46.44290161,6.8
50.89670181,10.1
52.57920074,6.8
54.46730042,0.0
50.51390076,0.0
55.26029968,0.0
52.34680176,0.0
56.55540085,0.0
53.38830185,0.0
43.42660141,0.0
50.47850037,0.0
47.03789902,0.0
51.65029907,0.0
51.28369904,0.0
55.37530136,10.1
48.29850006,0.0
49.85749817,3.4
49.99729919,0.0
49.65230179,3.4
48.17369843,0.0
45.50979996,0.0
43.41880035,6.8
47.50310135,0.0
55.29779816,0.0
48.90650177,6.8
44.32379913,6.8
52.44490051,3.4
43.6719017,6.8
56.66339874,0.0
54.51639938,0.0
55.5223999,0.0
46.61309814,10.1
51.07780075,0.0
43.1719017,0.0
49.2098999,6.8
42.37080002,6.8
42.91030121,10.1
43.19929886,10.1
43.34069824,0.0
50.89590073,0.0
54.68859863,10.1
47.31620026,3.4
50.70449829,3.4
55.60100174,10.1
54.83420181,0.0
46.96160126,0.0
48.13959885,3.4
54.28659821,6.8
57.65090179,3.4
51.07040024,3.4
54.58150101,0.0
50.33399963,0.0
50.68420029,0.0
55.8742981,0.0
54.52009964,6.8
53.28720093,0.0
55.46390152,0.0
57.86040115,0.0
46.86529922,0.0
51.27479935,10.1
54.38010025,0.0
42.82839966,0.0
54.96989822,0.0
51.15729904,3.4
51.05220032,0.0
55.18199921,10.1
44.45429993,6.8
51.35089874,3.4
46.12179947,0.0
47.29970169,0.0
54.22790146,0.0
52.83499908,0.0
53.51079941,6.8
50.37110138,0.0
44.79550171,10.1
43.49110031,0.0
54.54970169,10.1
54.50109863,10.1
53.56819916,0.0
45.79880142,10.1
52.1094017,0.0
47.31969833,0.0
45.96009827,3.4
50.5705986,0.0
43.90679932,0.0
57.08190155,0.0
53.39459991,0.0
49.38330078,0.0
53.59909821,0.0
48.28010178,0.0
47.22779846,10.1
51.72639847,0.0
55.24079895,3.4
55.42089844,0.0
50.10200119,0.0
44.37879944,0.0
54.9048996,10.1
44.99039841,6.8
53.3667984,0.0
55.39479828,0.0
43.50230026,0.0
50.05720139,6.8
54.71680069,6.8
44.06069946,0.0
45.31990051,0.0
49.4076004,0.0
58.06900024,3.4
47.37879944,0.0
46.08140182,6.8
45.00439835,0.0
52.69509888,0.0
50.3280983,0.0
43.19660187,10.1
54.63830185,3.4
50.39759827,0.0
50.74890137,0.0
54.32699966,0.0
53.1495018,0.0
50.33250046,0.0
47.53110123,0.0
56.60409927,0.0
42.99900055,0.0
54.33499908,0.0
54.31579971,0.0
54.62229919,0.0
51.18349838,0.0
49.95819855,0.0
50.13359833,0.0
54.08570099,0.0
