M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
260.4599915,3420.860107,44.03689957,533.0040283,162.2810059,10.95240021
103.8889999,2777.040039,38.36410141,404.4450073,193.5440063,12.42310047
519.7589722,2359.98999,101.0,326.4490051,226.6719971,31.18779945
150.3040009,2753.23999,38.3655014,431.6080017,190.1289978,13.18809986
271.3959961,3471.209961,48.20819855,491.8729858,172.3760071,11.05799961
274.1119995,3069.379883,53.79759979,454.9450073,182.1230011,14.52280045
185.4409943,3152.52002,43.66839981,491.3429871,176.6560059,10.35659981
135.7250061,3382.73999,36.79029846,561.8499756,173.3470001,6.648210049
336.7730103,2891.649902,65.36789703,415.6350098,193.0299988,18.72470093
464.5450134,2301.290039,86.26580048,278.7969971,210.2160034,29.13610077
170.4850006,3402.909912,40.28609848,507.1390076,174.8139954,8.429309845
495.1099854,2430.060059,94.65309906,349.8420105,219.3840027,28.77099991
351.5660095,2539.780029,64.6760025,351.1419983,198.3289948,20.5583992
328.2980042,2598.689941,62.95479965,390.0710144,200.6309967,19.72940063
199.9049988,3385.840088,40.53160095,533.3049927,167.2420044,8.208629608
531.125,2288.399902,105.6539993,317.0950012,236.1809998,32.99079895
344.8739929,2905.810059,67.61540222,429.0809937,195.0070038,19.65049934
229.5480042,2633.949951,54.53329849,358.7330017,190.1179962,17.24130058
456.07901,2319.330078,95.96289825,325.8439941,233.098999,29.88669968
306.197998,2884.800049,60.91799927,409.04599,189.7980042,16.85309982
278.6719971,3442.810059,44.57049942,554.9749756,161.9389954,11.97389984
221.4859924,2693.090088,47.26890182,419.7780151,194.2369995,15.58150005
151.0350037,3378.850098,37.66519928,556.3040161,171.9900055,6.919360161
381.8120117,2391.600098,70.69039917,294.0780029,198.3919983,24.88800049
500.1260071,2443.800049,96.58460236,376.4400024,219.2120056,29.05830002
114.2050018,2794.189941,38.81499863,424.4129944,190.6419983,12.47389984
142.6150055,3419.409912,38.17679977,542.8319702,176.9470062,7.571929932
375.446991,2728.669922,72.83180237,400.8670044,202.4669952,22.27599907
382.303009,2379.620117,76.373703,305.3330078,211.1459961,25.59790039
157.1580048,3209.48999,41.11019897,517.0300293,176.845993,9.544010162
328.5280151,3473.179932,48.02249908,546.7620239,160.6909943,13.26329994
406.552002,2496.909912,72.58589935,325.3739929,201.2599945,23.26939964
