M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
128.8179932,3956.0,25.21960068,918.6409912,250.3919983,179.5509949
250.5879974,3880.179932,62.27679825,758.7949829,385.0690002,224.9279938
130.1049957,3965.629883,26.96459961,894.0040283,246.9850006,173.0879974
145.5039978,4002.439941,29.72340012,836.25,260.3080139,171.4340057
119.0319977,4110.899902,40.43669891,857.8560181,287.0780029,180.2400055
245.951004,3896.560059,62.62020111,770.572998,367.2579956,208.3860016
121.2710037,3998.169922,30.27549934,868.809021,259.1329956,170.8370056
147.8240051,4028.02002,36.40499878,792.5739746,288.4609985,184.2929993
114.0859985,4125.209961,38.8893013,859.2589722,293.8039856,180.673996
183.0879974,3952.860107,49.79270172,800.2210083,322.1080017,192.4250031
244.3090057,3914.97998,63.82310104,780.8980103,355.7900085,200.6829987
149.1970062,4020.169922,33.50379944,809.0100098,265.0329895,169.6670074
249.9539948,3865.600098,61.73049927,763.3289795,394.776001,223.7559967
245.2830048,3889.469971,61.75490189,760.5789795,381.6400146,223.6519928
131.1690063,4019.129883,31.95159912,853.3209839,261.1539917,170.003006
153.5160065,3996.550049,41.60369873,800.6929932,304.368988,184.5529938
241.5339966,3893.51001,60.80279922,775.3540039,361.6520081,203.7949982
117.6969986,4009.969971,29.33950043,881.8499756,264.0809937,173.8540039
123.8379974,3978.75,26.26009941,908.4199829,253.7429962,177.5310059
185.798996,3959.830078,50.84569931,798.3480225,334.6870117,198.1609955
152.8769989,3996.689941,43.85010147,819.8560181,311.4240112,176.7389984
140.8049927,4030.540039,33.61090088,823.9819946,267.1799927,172.2420044
170.3690033,3943.790039,45.9734993,810.276001,289.5920105,178.7070007
167.1640015,3974.699951,29.67149925,805.1019897,244.9029999,163.5370026
120.9950027,4067.790039,35.04000092,844.2449951,266.3429871,162.072998
160.1349945,3995.850098,33.51070023,790.2940063,256.9660034,162.0169983
172.3769989,3965.110107,47.68650055,805.5449829,315.4719849,187.7359924
229.1809998,3937.100098,56.90179825,776.4450073,332.1289978,193.3930054
139.345993,4039.409912,37.06769943,817.5440063,277.8989868,176.1820068
228.798996,3901.5,58.30680084,783.7000122,364.6870117,209.9290009
158.6690063,3985.139893,26.08810043,837.8770142,251.2890015,168.753006
116.5469971,4061.850098,35.64049911,865.9860229,270.3999939,173.9389954
121.8610001,4102.589844,37.27539825,837.723999,265.2390137,160.3540039
164.0019989,3986.879883,29.35930061,803.2609863,237.723999,154.121994
154.322998,4005.48999,37.37720108,798.0780029,288.3370056,181.4620056
171.9320068,3981.929932,47.97829819,807.9860229,332.0329895,199.1380005
154.4210052,4016.959961,36.95289993,781.4580078,292.5799866,188.0659943
247.4450073,3896.330078,63.88040161,764.1279907,374.5169983,217.5619965
151.3370056,3992.689941,41.97880173,801.6859741,298.0889893,175.2640076
194.6660004,3943.459961,49.61119843,795.3150024,303.0010071,183.7160034
154.5440063,3987.389893,39.75090027,799.8540039,289.4309998,178.3899994
224.5429993,3911.709961,58.29309845,786.2750244,361.1700134,210.5319977
