H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6
41.1053009,2040.380005,4.866670132,52.99909973,40.00579834,1.719660044
53.22090149,2019.189941,4.878910065,50.34170151,35.78519821,1.48052001
52.56140137,1975.969971,4.678410053,53.99900055,36.44279861,1.648489952
50.4632988,2106.120117,5.085939884,50.11240005,36.21300125,1.49296999
44.68799973,1970.22998,4.827129841,57.23059845,38.96009827,1.619809985
57.09189987,1928.48999,4.802710056,51.00830078,35.04759979,1.477910042
43.14220047,2172.780029,4.86796999,50.73329926,39.76010132,1.920230031
55.72539902,2086.469971,4.941510201,48.64080048,36.61370087,1.766330004
45.40499878,2180.310059,4.950349808,50.11029816,37.02299881,1.621090055
56.9905014,1992.969971,4.686349869,50.02299881,35.82979965,1.665470004
40.85440063,2140.790039,4.901830196,51.65629959,40.16339874,1.846680045
54.94210052,2090.5,4.942759991,48.56259918,36.66260147,1.772570014
51.75320053,2117.0,4.953710079,48.4197998,37.19290161,1.818089962
46.53450012,2041.540039,5.069429874,50.56370163,37.11610031,1.489359975
44.53359985,2171.610107,4.950630188,50.26139832,37.52619934,1.686310053
47.62250137,2031.859985,4.812479973,52.81639862,38.09140015,1.649839997
66.99569702,1931.579956,4.803269863,50.56700134,34.66690063,1.485689998
47.17779922,1985.660034,4.831289768,55.13629913,38.18460083,1.628540039
59.54790115,1906.219971,4.814599991,50.96860123,34.94459915,1.484879971
56.76919937,1993.98999,4.806910038,50.20529938,35.39789963,1.48258996
42.28020096,2020.810059,4.935400009,53.76670074,39.82310104,1.638249993
53.17169952,2205.939941,4.832940102,47.41279984,37.4803009,2.006989956
63.75030136,1922.079956,4.756579876,49.61330032,33.96620178,1.457030058
46.20890045,2052.350098,5.090079784,50.79140091,37.18190002,1.507580042
47.64160156,2178.129883,4.949560165,49.86560059,36.43510056,1.569190025
49.79520035,2134.409912,4.985750198,48.59009933,37.84749985,1.804380059
49.8716011,2076.689941,4.956160069,48.7757988,37.57979965,1.759330034
65.87519836,1921.030029,4.798860073,51.71659851,34.80939865,1.488919973
44.68190002,2111.550049,5.120059967,50.3586998,37.8064003,1.648030043
55.30670166,2126.129883,4.828509808,48.18030167,36.96780014,1.902999997
49.32910156,1969.579956,4.794569969,56.6955986,38.32759857,1.621359944
43.35720062,2082.52002,4.99116993,52.8730011,39.63890076,1.818950057
51.10469818,1982.030029,4.687019825,50.26520157,36.40060043,1.649950027
44.11040115,2107.47998,4.999989986,51.22859955,38.24520111,1.629410028
46.44710159,1978.280029,4.907889843,55.94720078,38.84680176,1.62650001
38.09349823,1989.609985,4.859509945,53.30680084,41.59469986,1.646039963
52.80419922,2166.98999,4.972060204,47.7478981,37.15219879,1.864009976
57.83119965,2009.920044,4.877950191,50.19810104,35.47119904,1.477020025
48.54650116,2030.569946,4.760789871,49.98939896,38.05279922,1.686370015
46.11009979,2028.380005,5.079060078,50.3987999,37.74869919,1.485980034
53.23279953,2148.52002,4.955560207,48.42649841,36.98949814,1.876230001
39.69589996,2142.810059,4.90583992,51.64810181,40.5605011,1.842880011
49.9396019,2032.800049,4.762279987,49.54999924,37.38050079,1.698130012
45.69139862,2189.300049,4.950630188,50.07550049,36.93270111,1.608049989
48.00460052,1965.23999,4.792850018,57.82630157,38.45800018,1.61864996
54.89160156,1967.959961,4.75094986,53.01869965,35.8132019,1.504690051
47.89189911,2049.129883,4.96476984,49.26900101,38.29190063,1.723289967
53.6833992,1964.890015,4.680369854,52.74549866,36.04199982,1.633239985
64.24770355,1923.439941,4.803309917,50.16279984,34.34429932,1.473160028
38.80410004,2178.659912,4.916140079,51.59159851,41.40999985,1.815080047
39.54090118,2128.169922,4.935170174,52.92070007,40.66469955,1.755380034
38.69509888,2158.5,4.914509773,51.56549835,41.18830109,1.827119946
59.10400009,1929.869995,4.766590118,50.38169861,34.67359924,1.48318994
51.38959885,2204.75,4.835070133,47.90890121,37.7779007,1.999959946
43.94710159,2014.040039,4.93625021,53.21060181,39.32659912,1.619889975
51.14970016,2101.449951,5.085519791,50.0646019,36.12919998,1.492349982
43.31200027,1999.400024,4.877999783,54.92369843,39.38840103,1.625049949
46.54349899,2088.52002,4.888040066,51.53079987,38.55279922,1.799000025
56.62459946,2043.890015,4.688230038,49.03969955,36.22079849,1.718719959
55.52019882,2122.399902,4.828110218,48.21709824,36.94079971,1.898489952
43.69820023,2003.780029,4.878469944,54.63619995,39.23669815,1.625309944
40.57229996,2182.919922,4.967189789,52.11270142,39.70679855,1.723369956
53.17710114,2097.909912,4.946040154,48.41820145,36.82780075,1.785680056
47.19240189,2034.339966,5.060060024,50.87239838,37.16849899,1.500929952
43.48400116,2018.569946,4.936220169,53.31169891,39.45610046,1.626940012
57.43389893,1928.890015,4.671309948,51.67639923,35.10469818,1.554819942
55.53789902,1941.189941,4.680210114,51.64479828,35.35929871,1.596289992
54.31299973,2130.679932,4.969490051,48.1590004,36.96789932,1.826969981
53.90330124,1996.939941,4.689089775,49.38259888,36.01679993,1.667899966
57.56969833,1955.280029,4.796599865,53.51089859,35.7521019,1.49616003
46.45759964,2035.859985,5.075419903,50.41450119,37.43270111,1.486209989
46.29570007,2005.540039,5.060200214,50.92419815,37.72660065,1.507769942
63.85839844,1920.550049,4.799270153,50.06940079,34.11050034,1.460950017
49.43529892,2128.5,4.947080135,49.87020111,36.21049881,1.572289944
45.21120071,2102.949951,5.107979774,50.29069901,37.70750046,1.50928998
47.17789841,2061.0,4.885859966,52.17850113,38.3783989,1.772909999
60.65330124,1932.609985,4.755519867,51.76720047,35.04980087,1.494040012
53.18080139,1963.01001,4.640130043,51.20800018,35.80690002,1.634979963
39.05009842,2193.060059,4.970310211,51.74020004,40.4231987,1.777559996
52.14920044,1985.859985,4.635129929,52.40250015,36.28530121,1.667449951
37.72740173,2041.27002,4.884699821,52.37870026,41.31650162,1.702839971
38.59700012,2224.969971,4.972640038,51.46179962,40.67549896,1.840759993
50.50159836,2191.75,4.835499763,48.29309845,37.87170029,1.980810046
51.28219986,1985.839966,4.796679974,52.12340164,36.45899963,1.485589981
45.88219833,2113.570068,5.097410202,50.38169861,37.16749954,1.502879977
55.02370071,2032.959961,5.058320045,50.23210144,35.69869995,1.482839942
46.38259888,2039.97998,5.06746006,50.65530014,37.11230087,1.491760015
68.94789886,1914.76001,4.798530102,51.11989975,34.48619843,1.492679954
52.75579834,2100.639893,4.947509766,48.39789963,36.89590073,1.791700006
40.32389832,2051.889893,4.86950016,52.97180176,40.27489853,1.724419951
48.52090073,1997.410034,4.877120018,50.80379868,36.7098999,1.480080009
59.03829956,1945.27002,4.798659801,52.75279999,35.45589828,1.492840052
38.0617981,1985.219971,4.935760021,53.23059845,42.1094017,1.62887001
55.58369827,1941.02002,4.677820206,52.50260162,35.58610153,1.598049998
54.4496994,2067.429932,5.083099842,50.06480026,35.83570099,1.491129994
60.02920151,1975.140015,4.805560112,50.22159958,35.15190125,1.48142004
50.69549942,1989.459961,4.794179916,52.54150009,36.72790146,1.48608005
50.5033989,2147.340088,4.981820107,48.28099823,37.65439987,1.82931006
40.30739975,2138.77002,4.903419971,51.70130157,40.34859848,1.842669964
50.9457016,2112.02002,4.946119785,49.83089828,36.07229996,1.572829962
55.61439896,1995.119995,4.646070004,49.56610107,35.79959869,1.670910001
48.41680145,2052.409912,4.96257019,49.1955986,38.10419846,1.727880001
56.75490189,1939.640015,4.75895977,51.58420181,35.16109848,1.492980003
40.78779984,2174.560059,4.87390995,51.1167984,40.29660034,1.907070041
50.90409851,2198.840088,4.974480152,47.36180115,37.38299942,1.874310017
41.33819962,2077.75,4.990690231,52.95029831,40.18310165,1.799129963
53.3852005,1968.609985,4.679969788,53.04859924,36.15520096,1.638479948
49.6269989,2057.139893,5.060309887,50.51480103,36.38999939,1.489680052
50.22439957,2007.390015,4.680530071,51.47290039,37.03960037,1.674360037
55.46149826,1986.540039,4.645730019,49.65620041,35.72439957,1.660279989
39.70650101,2010.859985,4.937139988,53.70880127,40.68889999,1.640540004
42.72969818,2021.72998,4.935800076,53.58309937,39.68220139,1.635519981
50.63050079,2059.300049,5.060219765,50.39390182,36.20029831,1.486989975
53.65629959,1952.23999,4.640810013,50.97600174,35.57550049,1.618520021
61.05009842,2007.109985,4.806600094,50.02209854,35.3451004,1.481840014
45.79740143,1956.069946,5.054780006,50.5379982,36.66090012,1.503579974
50.94390106,2197.379883,4.835299969,48.10929871,37.81999969,1.988790035
38.89860153,2054.0,4.875889778,52.80270004,40.85100174,1.717919946
52.28120041,2065.149902,5.083819866,50.2181015,35.99549866,1.492949963
56.31819916,2085.929932,4.940690041,48.6711998,36.60850143,1.764449954
62.70569992,1988.569946,4.765840054,50.00429916,35.17229843,1.489830017
42.99670029,2134.75,5.17468977,50.70510101,38.58240128,1.649500012
40.53950119,2018.51001,4.852920055,53.95529938,39.917099,1.669759989
49.79410172,2108.149902,5.086219788,50.21099854,36.32529831,1.494160056
51.3844986,1970.76001,4.87594986,50.79660034,36.37990189,1.476289988
38.93360138,2058.850098,4.99421978,52.63249969,40.9693985,1.765879989
45.95289993,2077.75,4.97799015,51.51879883,37.96379852,1.620609999
47.18439865,1965.050049,4.756649971,58.10070038,38.50149918,1.609459996
43.68119812,2174.550049,4.866930008,50.59579849,39.64690018,1.925279975
44.41759872,1968.150024,4.81964016,58.30070114,38.87649918,1.626199961
56.6473999,2064.370117,4.760099888,48.89369965,36.43849945,1.736109972
43.92470169,1994.959961,4.982540131,55.17770004,39.05960083,1.647629976
55.77740097,2032.310059,4.688340187,49.13499832,36.15060043,1.70686996
57.2989006,1947.97998,4.680759907,50.81269836,35.28519821,1.602480054
44.31750107,2106.419922,5.060100079,50.65980148,38.19779968,1.615210056
45.45240021,2116.679932,4.959440231,50.86640167,38.89229965,1.84138
49.92470169,1958.430054,4.790180206,58.84249878,38.21559906,1.616709948
50.07310104,1971.890015,4.794859886,56.14789963,38.2018013,1.622009993
56.24319839,1962.579956,4.794419765,54.26250076,36.00260162,1.498929977
44.62990189,2150.290039,4.99075985,50.53369904,39.36589813,1.941969991
45.40990067,2091.149902,4.919939995,51.8146019,38.9292984,1.816609979
48.01589966,2160.429932,4.948679924,49.9029007,36.39789963,1.570610046
48.44820023,2006.099976,5.07198,50.51039886,37.07369995,1.486780047
41.72330093,2029.880005,4.864689827,52.84830093,39.79270172,1.715630054
52.75439835,1975.630005,4.637390137,51.82830048,36.0617981,1.653259993
65.85089874,1945.25,4.804830074,50.48379898,34.85850143,1.486580014
42.66260147,1996.97998,4.87816,55.01409912,39.59680176,1.625589967
49.70930099,1973.98999,4.754399776,55.41149902,37.80709839,1.602599978
56.38240051,2038.949951,4.688119888,49.0929985,36.18500137,1.713510036
48.42620087,2127.800049,5.087329865,50.55939865,36.72290039,1.498360038
49.04399872,2185.22998,4.836390018,48.79669952,38.10900116,1.971300006
57.28680038,2004.359985,4.877910137,50.23889923,35.45859909,1.477339983
55.12810135,1945.050049,4.678050041,52.75889969,35.72650146,1.605499983
40.44219971,2125.419922,4.932640076,53.31840134,40.37919998,1.74593997
47.08750153,1961.47998,4.78621006,59.3492012,37.7798996,1.59721005
62.66199875,1984.050049,4.76556015,50.04489899,35.14519882,1.489779949
41.72340012,2120.080078,4.930490017,53.77930069,40.04719925,1.731179953
57.88700104,1928.97998,4.67911005,50.65859985,34.63650131,1.572149992
51.917099,1959.689941,4.801750183,51.34560013,35.80270004,1.484330058
56.38890076,2062.75,4.760250092,48.89989853,36.42380142,1.734820008
64.64689636,1924.569946,4.798630238,52.03910065,34.97159958,1.490139961
51.13029861,1987.089966,4.79531002,52.34569931,36.59049988,1.485849977
51.25889969,1989.47998,4.685090065,50.53630066,36.48809814,1.657760024
41.74769974,2189.429932,4.966700077,52.20500183,39.23720169,1.698119998
58.40919876,1950.369995,4.793560028,54.34939957,35.9197998,1.499539971
50.88410187,2002.209961,4.682849884,50.95299911,36.76010132,1.670680046
60.5196991,1999.939941,4.766799927,49.95019913,35.26900101,1.489660025
44.93489838,2006.199951,4.878489971,53.9469986,38.75370026,1.616320014
54.25870132,1936.810059,4.642819881,50.55500031,35.07350159,1.591429949
65.54160309,1951.060059,4.805300236,50.44779968,34.92620087,1.486909986
56.37400055,1991.579956,4.686900139,49.8757019,35.78409958,1.663310051
38.57210159,2238.370117,4.884759903,51.25439835,40.80220032,1.980360031
