H3A_P_2_6,PhosphorusTreatment
1.740620017,16.9
1.630149961,0.0
1.674849987,16.9
1.499300003,0.0
1.767449975,28.2
1.666309953,22.5
1.913789988,0.0
1.477030039,28.2
1.487310052,0.0
1.813189983,0.0
1.619310021,28.2
1.790799975,0.0
1.712769985,0.0
1.479339957,0.0
1.614590049,0.0
1.806169987,0.0
2.035229921,0.0
1.626680017,28.2
1.775990009,28.2
1.621880054,0.0
1.862560034,16.9
1.611580014,0.0
1.502130032,0.0
1.613739967,0.0
1.574470043,0.0
1.681470037,22.5
1.490049958,0.0
1.729859948,0.0
1.559679985,0.0
1.485360026,0.0
1.935299993,0.0
1.694910049,0.0
1.587900043,22.5
1.653290033,22.5
1.803089976,28.2
1.489289999,0.0
1.612339973,16.9
1.49082005,0.0
1.507799983,0.0
1.503379941,0.0
1.57277,0.0
1.750390053,28.2
1.972759962,0.0
1.700860023,0.0
1.557850003,0.0
1.722659945,0.0
1.606969953,22.5
1.920210004,0.0
1.608399987,0.0
1.673679948,0.0
1.521919966,28.2
1.644350052,0.0
1.572329998,0.0
1.773010015,0.0
1.673799992,16.9
1.673069954,22.5
1.564360023,0.0
1.472849965,28.2
1.49533999,0.0
1.488350034,16.9
1.492140055,0.0
1.607560039,0.0
1.668069959,22.5
1.654999971,0.0
1.559200048,22.5
1.622439981,0.0
1.892289996,0.0
1.508919954,22.5
1.506420016,0.0
1.49695003,16.9
1.585180044,0.0
1.965880036,0.0
2.012200117,0.0
1.711629987,16.9
1.617830038,0.0
1.848649979,0.0
1.472800016,28.2
1.689499974,0.0
1.913730025,0.0
1.491510034,0.0
1.547260046,0.0
1.480769992,22.5
1.761710048,0.0
1.69817996,16.9
1.633489966,0.0
1.764799953,16.9
1.487400055,0.0
1.628749967,28.2
1.758360028,16.9
1.63736999,16.9
1.600550056,0.0
1.814659953,0.0
1.504809976,0.0
1.945109963,0.0
1.727040052,0.0
1.651389956,0.0
1.478099942,28.2
1.475710034,0.0
1.661739945,0.0
2.075530052,0.0
1.716740012,28.2
1.67592001,0.0
1.619680047,0.0
1.484230042,0.0
1.641579986,0.0
1.503499985,0.0
1.891229987,0.0
1.670580029,22.5
1.684399962,16.9
1.631530046,22.5
1.602640033,0.0
1.629179955,28.2
1.67414999,22.5
1.686959982,0.0
1.48597002,22.5
1.653530002,0.0
