M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6
182.6889954,4023.280029,39.85910034,636.2299805,235.2359924,140.7149963
194.2570038,4063.149902,54.36669922,589.6209717,272.7669983,147.7830048
200.0850067,4062.070068,53.97449875,583.0219727,275.6040039,146.4389954
173.8820038,4086.379883,55.63999939,626.0079956,265.75,142.0820007
222.0429993,3967.560059,63.1731987,637.0859985,276.8259888,172.552002
176.4360046,4032.27002,41.82540131,585.8530273,261.2980042,139.003006
180.0370026,4075.76001,44.27099991,579.6329956,250.1210022,136.647995
191.8580017,4046.469971,46.1515007,576.8359985,252.0740051,139.1690063
159.1829987,4012.149902,39.53099823,745.3510132,236.5599976,155.8040009
177.8789978,4026.850098,42.32659912,581.6459961,261.355011,138.5220032
205.7649994,3985.899902,60.68899918,640.1599731,270.1010132,168.1320038
187.276001,4010.050049,50.63199997,637.4089966,251.3690033,152.9640045
210.6309967,4077.899902,55.87080002,575.585022,292.4110107,156.7579956
200.4929962,4044.070068,58.83560181,610.927002,283.6870117,160.9579926
171.5090027,4064.879883,45.16519928,629.6710205,249.1560059,142.7359924
155.6929932,4098.839844,45.97600174,673.6669922,257.4289856,144.8220062
199.8609924,3981.870117,38.98659897,656.2260132,236.3939972,147.0970001
231.8820038,4021.649902,64.41999817,590.1900024,307.8590088,174.371994
193.9320068,4010.620117,59.52270126,641.1480103,269.9020081,162.3580017
239.5220032,3975.699951,66.31420135,617.0789795,299.019989,173.5039978
155.9380035,4039.060059,40.17750168,737.6710205,243.8359985,153.8600006
197.2030029,3995.52002,41.25600052,644.5499878,236.5010071,143.9660034
168.0350037,4000.419922,39.1595993,733.0289917,230.0659943,154.1419983
147.6029968,4080.600098,43.82490158,725.2919922,252.3470001,157.4570007
165.6000061,4072.02002,44.42670059,655.5809937,249.4909973,142.8650055
180.1260071,4042.300049,42.50910187,613.507019,241.1369934,139.6060028
191.5500031,4022.850098,48.91460037,616.052002,254.7899933,149.6660004
161.1380005,4078.100098,44.57509995,668.8079834,251.595993,144.8970032
169.798996,4066.300049,45.22809982,636.460022,249.7200012,143.6499939
234.2140045,3981.379883,65.38480377,618.1329956,295.4679871,172.197998
164.9779968,3972.620117,39.12659836,744.1569824,225.0679932,157.5410004
178.2460022,4075.840088,57.5401001,628.7620239,269.3420105,150.1549988
145.6600037,4109.100098,45.88589859,714.1669922,259.8269958,153.8190002
193.9940033,4046.540039,47.95909882,584.5419922,256.3819885,141.9889984
195.6260071,4053.189941,49.55379868,581.5100098,262.6220093,143.5160065
176.8809967,4036.219971,41.63389969,642.7999878,240.1419983,143.6430054
188.4530029,4018.439941,39.69800186,617.5789795,229.7149963,137.3789978
151.7640076,4106.25,46.1841011,679.9030151,259.2009888,147.322998
197.8820038,4055.429932,51.2806015,578.8660278,268.42099,143.5299988
182.348999,3984.189941,55.70460129,666.2600098,254.6390076,159.6170044
232.8899994,3974.01001,65.2220993,624.1400146,291.4089966,172.9609985
147.0149994,4101.540039,45.70280075,715.6719971,257.9190063,153.8179932
189.3829956,4002.330078,48.03900146,640.8889771,246.0540009,152.0480042
189.0850067,4010.030029,49.19520187,633.9719849,249.878006,151.7799988
221.4940033,4063.530029,59.18059921,576.1229858,301.1090088,168.9259949
144.5359955,4093.790039,43.93719864,709.5739746,255.8410034,155.2870026
188.4550018,4002.320068,48.86199951,641.8629761,246.7519989,152.6809998
190.5820007,4052.27002,44.89979935,563.9539795,251.9889984,136.753006
173.0650024,4025.97998,39.45750046,684.6030273,239.470993,149.397995
192.8589935,4022.409912,46.30450058,607.3880005,244.6600037,141.2200012
177.848999,4075.330078,44.54460144,589.151001,248.7440033,134.8059998
