H3A_P_2_6,PhosphorusTreatment
2.829169989,18.0
1.291579962,0.0
1.608250022,0.0
1.373849988,0.0
2.237230062,9.0
1.400030017,0.0
1.712210059,27.0
2.780119896,18.0
1.919170022,9.0
3.425709963,27.0
2.613759995,18.0
2.078000069,0.0
2.129970074,0.0
2.803980112,18.0
1.783969998,0.0
1.342409968,0.0
3.22823,0.0
2.803080082,27.0
3.54756999,0.0
3.085249901,0.0
1.554239988,9.0
3.130100012,0.0
2.39064002,9.0
3.017610073,0.0
3.34555006,18.0
2.010829926,27.0
3.252540112,18.0
3.064949989,18.0
1.793799996,9.0
2.497220039,9.0
1.823070049,0.0
1.916290045,27.0
1.674610019,0.0
1.782050014,9.0
2.859479904,27.0
1.325320005,0.0
1.916820049,0.0
2.694329977,27.0
1.363749981,9.0
1.846709967,27.0
3.420459986,0.0
1.35600996,9.0
2.379760027,9.0
2.824520111,18.0
1.877210021,27.0
2.6865201,9.0
2.42595005,9.0
1.483819962,0.0
2.176549911,0.0
1.510579944,27.0
1.449880004,0.0
1.387480021,9.0
2.066940069,0.0
1.763249993,0.0
3.468470097,0.0
2.31517005,27.0
3.37112999,27.0
1.301599979,0.0
1.592700005,0.0
2.386709929,9.0
1.379220009,9.0
2.012979984,9.0
2.057179928,0.0
2.307650089,9.0
2.85255003,18.0
3.173259974,27.0
1.906599998,0.0
1.467309952,0.0
1.297639966,0.0
2.706779957,9.0
3.364439964,18.0
1.296450019,0.0
3.146409988,0.0
1.74770999,9.0
2.307970047,9.0
1.367900014,0.0
1.32735002,9.0
3.007420063,0.0
1.444200039,27.0
1.323400021,9.0
1.294139981,0.0
1.459660053,27.0
1.419309974,0.0
3.469399929,27.0
1.672090054,0.0
2.833889961,9.0
2.353490114,18.0
1.336109996,0.0
2.428169966,27.0
2.127379894,27.0
2.232719898,9.0
2.03441,0.0
2.45810008,9.0
1.583930016,0.0
1.797809958,9.0
2.092600107,0.0
1.847679973,27.0
1.987470031,27.0
2.326659918,9.0
1.774350047,27.0
3.072449923,0.0
2.696729898,18.0
1.30783999,0.0
1.902240038,27.0
3.328160048,18.0
3.170939922,27.0
1.429129958,0.0
1.449560046,27.0
1.377769947,9.0
1.403609991,0.0
1.596930027,9.0
1.288460016,0.0
3.222719908,0.0
2.037810087,9.0
2.422770023,9.0
2.906919956,18.0
2.473340034,18.0
1.413210034,27.0
2.7332201,18.0
3.050329924,27.0
2.346930027,9.0
2.481290102,9.0
1.494989991,0.0
3.176870108,0.0
2.956769943,0.0
2.230220079,0.0
1.314579964,0.0
3.484289885,27.0
3.422660112,18.0
2.367300034,18.0
1.434630036,0.0
1.48190999,0.0
2.580760002,27.0
1.366629958,0.0
2.713619947,27.0
1.872609973,9.0
2.798039913,27.0
1.553799987,9.0
1.803519964,27.0
1.844140053,27.0
1.389170051,9.0
2.571890116,9.0
2.6691401,0.0
1.393890023,27.0
2.266880035,0.0
2.560909986,18.0
1.886600018,9.0
2.638720036,0.0
1.445940018,27.0
1.505949974,0.0
1.995579958,27.0
