M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,PhosphorusTreatment
332.1789856,3434.48999,42.28229904,430.0849915,229.5180054,14.99400043,9.0
349.6669922,3426.459961,42.91899872,440.3399963,242.8099976,16.10969925,27.0
297.4249878,3769.590088,43.25559998,448.2940063,239.3179932,15.6239996,0.0
409.1579895,3248.860107,43.49420166,445.6570129,255.1179962,17.0564003,0.0
399.4580078,3258.98999,43.15250015,443.098999,252.5240021,16.89520073,0.0
460.052002,3465.379883,44.83420181,460.75,264.32901,17.75620079,0.0
292.7139893,3755.389893,53.73300171,458.1539917,239.3419952,15.85499954,0.0
361.0769958,3358.889893,40.77349854,431.0700073,238.0720062,17.01939964,9.0
285.2860107,3776.719971,44.18980026,436.3330078,216.3320007,13.52229977,0.0
462.2330017,3468.129883,44.39550018,460.7630005,263.6849976,17.82169914,0.0
373.1749878,3435.429932,40.46049881,434.8859863,238.1450043,17.12619972,9.0
358.1929932,3296.149902,42.4897995,431.9410095,240.0639954,15.80210018,18.0
476.2650146,3477.870117,44.55369949,465.3970032,267.2099915,18.00530052,18.0
376.8340149,3450.570068,40.66889954,435.8469849,238.2070007,17.14229965,9.0
282.5549927,3796.820068,48.30089951,447.1690063,219.4790039,14.42580032,9.0
288.7969971,3750.159912,43.92520142,435.3649902,216.9680023,13.57660007,0.0
294.9689941,3620.709961,42.1271019,425.5679932,214.8350067,13.47169971,27.0
323.9379883,3570.97998,38.33940125,423.223999,221.3939972,16.15399933,27.0
363.9930115,3270.72998,42.4978981,432.0499878,241.3820038,15.88230038,18.0
320.07901,3558.600098,43.13619995,439.1430054,231.8450012,15.46700001,9.0
292.4590149,3723.850098,43.74409866,434.6390076,217.7680054,13.64719963,0.0
276.427002,3777.389893,49.42039871,449.6430054,218.7819977,14.72140026,0.0
473.7969971,3470.72998,44.94960022,465.7720032,267.5599976,18.0060997,18.0
299.7579956,3687.600098,43.81140137,438.4519958,226.5939941,14.41779995,9.0
374.4729919,3258.419922,42.34109879,435.5270081,243.8430023,16.46750069,18.0
294.4039917,3752.550049,53.52460098,455.8909912,241.1490021,15.92560005,0.0
347.4519958,3334.959961,41.85609818,428.321991,233.4570007,16.32570076,9.0
277.9970093,3778.5,48.95669937,447.7919922,217.4029999,14.54959965,9.0
441.848999,3429.169922,45.21350098,454.6270142,261.1889954,17.30179977,27.0
275.927002,3775.27002,48.45650101,445.4779968,213.9920044,14.3416996,9.0
280.401001,3815.199951,45.01029968,438.1409912,215.1289978,13.45810032,0.0
475.0799866,3474.550049,44.75360107,465.5499878,267.4320068,17.99620056,18.0
425.4119873,3382.47998,43.88750076,449.4700012,256.1929932,17.2947998,0.0
360.1159973,3508.030029,43.18040085,453.9849854,247.6600037,17.18499947,9.0
403.4890137,3256.070068,43.30960083,444.1629944,253.7059937,16.97489929,0.0
276.894989,3779.620117,45.95389938,437.7009888,208.2709961,13.60529995,0.0
284.1159973,3800.280029,44.72159958,442.2590027,223.6679993,14.07159996,9.0
328.6059875,3566.429932,38.51300049,424.5880127,222.2420044,16.32859993,27.0
389.2340088,3471.459961,43.75759888,458.4660034,255.6139984,17.42770004,18.0
346.4400024,3540.169922,43.1271019,447.4360046,248.526001,16.43860054,9.0
279.5090027,3777.899902,50.25500107,453.1080017,224.3670044,15.06589985,27.0
374.1849976,3265.689941,42.21960068,434.5480042,243.8569946,16.91020012,0.0
448.901001,3462.550049,43.72430038,456.0780029,259.1220093,17.70820045,27.0
274.8670044,3775.929932,49.03689957,447.822998,216.0090027,14.55060005,9.0
359.4230042,3276.449951,41.81600189,430.9750061,238.102005,16.30739975,0.0
280.302002,3811.050049,46.32180023,442.7789917,215.3899994,13.94379997,0.0
287.0390015,3791.600098,50.8973999,451.1380005,228.1580048,14.88860035,0.0
299.696991,3782.300049,42.06389999,451.0490112,243.8999939,15.99260044,9.0
274.7789917,3764.389893,46.60699844,437.5939941,206.5299988,13.65939999,0.0
432.6659851,3444.199951,43.27939987,451.2420044,255.0610046,17.53910065,0.0
382.7260132,3353.379883,42.8885994,444.3479919,248.871994,16.51029968,27.0
277.855011,3778.030029,49.83760071,451.4679871,221.5879974,14.89850044,0.0
397.9710083,3253.070068,42.68899918,441.8250122,251.0399933,17.13409996,18.0
441.3649902,3388.48999,44.53480148,456.8389893,263.1549988,17.38669968,0.0
295.5710144,3756.469971,48.86610031,460.3890076,251.0180054,17.11619949,0.0
365.6570129,3274.52002,41.90129852,432.3729858,240.3569946,16.53630066,0.0
290.0360107,3773.340088,51.11100006,451.6369934,234.7969971,15.29310036,27.0
293.0090027,3762.949951,51.6167984,454.7139893,240.7039948,15.8842001,0.0
445.5889893,3417.620117,44.76110077,457.6789856,263.6090088,17.45660019,0.0
344.9570007,3337.959961,42.2016983,429.5710144,234.076004,15.23999977,9.0
292.1059875,3751.610107,52.5788002,463.9070129,248.0789948,16.62969971,0.0
