M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
372.7260132,3260.02002,42.30950165,435.1659851,243.2819977,16.41469955
291.54599,3749.98999,45.08459854,443.0549927,229.6670074,14.74190044
381.4190063,3334.610107,41.34970093,436.7539978,244.5529938,17.19129944
391.2070007,3233.689941,42.81710052,439.7590027,249.8379974,17.05470085
412.803009,3254.350098,43.45840073,446.4599915,255.3769989,17.06970024
460.79599,3466.120117,44.45000076,460.394989,263.5339966,17.79529953
371.0289917,3271.27002,42.06259918,433.7189941,242.5789948,16.78770065
292.1650085,3757.169922,53.52799988,458.2730103,238.9940033,15.84379959
290.7359924,3757.419922,52.91970062,461.1659851,242.1710052,16.16720009
295.1940002,3745.719971,53.25550079,459.9979858,246.1869965,16.45789909
277.3299866,3777.610107,48.68909836,446.697998,215.9179993,14.44950008
442.1090088,3430.929932,44.62170029,454.5899963,260.322998,17.43759918
433.0759888,3357.320068,44.18500137,454.6990051,261.7449951,17.25239944
295.4580078,3744.969971,55.14170074,456.7399902,241.375,15.9538002
400.723999,3306.48999,43.07970047,445.5620117,253.7550049,16.76269913
288.1419983,3771.02002,45.9382019,444.2520142,229.3099976,14.7123003
295.2810059,3728.290039,44.49079895,442.2820129,230.3040009,14.79249954
289.598999,3772.409912,52.50479889,454.9989929,232.8730011,15.35820007
295.7770081,3759.649902,48.35760117,459.8559875,250.7980042,17.0340004
280.6350098,3777.310059,50.55960083,454.2399902,226.3370056,15.18620014
376.2969971,3265.800049,42.40039825,435.0350037,244.6549988,17.09420013
309.6789856,3705.459961,42.57590103,448.6809998,245.1589966,16.53549957
275.9930115,3770.77002,46.38570023,438.0109863,207.6719971,13.67259979
342.053009,3454.209961,39.75040054,427.1940002,229.727005,16.6196003
362.6199951,3274.25,41.86270142,431.677002,239.2070007,16.40559959
477.7709961,3487.429932,44.04719925,464.6690063,265.9320068,18.04759979
281.8529968,3781.409912,49.85359955,450.8940125,222.7519989,14.8434
270.3089905,3753.379883,46.82979965,435.322998,201.4029999,13.4861002
320.803009,3520.600098,42.51459885,435.1749878,229.9490051,15.24489975
291.7739868,3736.300049,43.90679932,437.5799866,221.7400055,13.96319962
273.7869873,3763.0,46.94580078,438.2420044,206.3139954,13.72430038
336.618988,3408.689941,40.86629868,425.8590088,228.9210052,16.35919952
299.6359863,3667.02002,43.47859955,431.1700134,215.9559937,13.53709984
276.9549866,3777.75,49.60540009,450.4779968,219.9989929,14.80119991
397.730011,3456.409912,41.604599,441.2529907,243.4810028,17.30690002
417.1919861,3344.409912,43.51380157,451.394989,258.7980042,16.97540092
450.5289917,3474.560059,44.73149872,458.3080139,263.9299927,17.54269981
284.4159851,3798.0,44.89889908,442.4869995,224.1199951,14.12629986
376.5849915,3256.780029,42.38790131,436.0079956,244.5639954,16.53149986
268.8540039,3763.919922,47.75389862,439.9899902,204.8359985,13.85439968
289.9710083,3743.02002,43.85490036,435.526001,217.8220062,13.64179993
280.321991,3779.649902,49.77249908,450.822998,221.9340057,14.83940029
332.6499939,3391.0,41.91690063,427.6629944,228.8699951,15.14659977
284.6549988,3785.209961,50.29359818,451.4389954,225.0059967,14.8888998
292.4219971,3643.050049,42.33599854,426.7789917,215.0110016,13.45129967
365.973999,3267.139893,42.50320053,432.2090149,241.9850006,15.91450024
315.8630066,3582.419922,43.26530075,438.5899963,228.5209961,15.17240047
424.4330139,3317.77002,44.17869949,450.7449951,259.1260071,17.14529991
359.7090149,3558.649902,43.38100052,457.9609985,249.8430023,17.34550095
327.7179871,3465.969971,42.1004982,429.6059875,226.5160065,14.94299984
338.3980103,3420.189941,40.56219864,426.2149963,229.2929993,16.44499969
416.9450073,3461.330078,42.34379959,446.4509888,248.7579956,17.4673996
300.8729858,3748.469971,42.80250168,447.4920044,239.7019958,15.6310997
277.7170105,3789.879883,45.81669998,438.5190125,209.6430054,13.63720036
404.9859924,3251.780029,43.36610031,444.493988,254.098999,17.01250076
376.3519897,3389.26001,43.25220108,448.3089905,248.9790039,17.13540077
446.9330139,3437.77002,44.83620071,457.7390137,263.6369934,17.47050095
411.2749939,3349.419922,43.30020142,450.2640076,257.5780029,16.87280083
289.7510071,3755.72998,44.5746994,440.7319946,225.2590027,14.28989983
401.1650085,3255.939941,43.22219849,443.4899902,253.0240021,16.93939972
375.6749878,3452.139893,40.61040115,435.5509949,237.8209991,17.13299942
429.6400146,3436.639893,43.24670029,450.4020081,254.5780029,17.49869919
469.4230042,3455.27002,45.31769943,466.0809937,267.0629883,18.14800072
318.269989,3480.929932,40.4557991,422.2590027,221.923996,16.11240005
475.5010071,3479.949951,44.36780167,464.730011,266.5010071,18.0007
393.7890015,3235.409912,42.74150085,440.5599976,250.3999939,17.10810089
294.2399902,3760.889893,50.41239929,458.1329956,246.4450073,16.54949951
348.7399902,3316.860107,42.21580124,429.70401,235.0460052,15.30650043
304.4769897,3642.219971,43.36029816,433.0100098,220.5749969,13.88679981
317.5509949,3530.919922,42.02610016,429.6749878,222.0509949,14.72799969
292.2130127,3751.550049,52.69720078,463.4769897,247.4340057,16.57659912
294.3760071,3788.189941,46.04180145,454.8980103,245.1230011,16.30940056
379.151001,3293.899902,42.47019958,438.9849854,246.7610016,16.43250084
278.4960022,3783.409912,47.12820053,442.6679993,212.5769958,14.05900002
298.8479919,3770.620117,44.99950027,456.3479919,249.4349976,16.6310997
362.3389893,3347.100098,42.55609894,434.4779968,244.1349945,15.75150013
282.2940063,3794.48999,48.32440186,447.1640015,219.147995,14.4350996
327.8840027,3569.060059,38.45589828,424.3840027,222.0449982,16.30080032
438.368988,3376.300049,44.43840027,455.9389954,262.5969849,17.33729935
281.4129944,3789.070068,48.42610168,447.1109924,218.3829956,14.45119953
336.230011,3585.550049,43.16270065,449.2890015,247.871994,16.31809998
414.8609924,3445.790039,42.40710068,446.0079956,249.1909943,17.42589951
322.7680054,3538.23999,39.11869812,423.0469971,221.75,16.21710014
351.6329956,3514.620117,43.18270111,447.0910034,249.2180023,16.4571991
348.2709961,3333.439941,41.84189987,428.4679871,233.7299957,16.34690094
281.1099854,3811.110107,44.82849884,438.1860046,215.802002,13.49650002
330.7099915,3390.22998,41.4557991,426.2659912,226.7400055,15.94200039
289.2130127,3775.780029,46.51160049,447.1409912,234.0249939,15.19130039
286.4930115,3783.709961,46.68830109,445.3330078,229.0019989,14.67930031
283.269989,3805.370117,48.4233017,447.3169861,221.3589935,14.40429974
339.8359985,3439.169922,40.13869858,426.57901,229.4029999,16.52910042
294.3179932,3746.060059,52.48809814,463.04599,249.5950012,16.76539993
455.7189941,3469.209961,45.02230072,459.8640137,264.2770081,17.65999985
328.447998,3526.429932,42.68159866,441.5669861,239.0579987,16.05669975
438.3569946,3410.360107,46.0094986,453.57901,260.9710083,17.06040001
270.0350037,3769.840088,48.29029846,443.3389893,208.8670044,14.13939953
291.9620056,3773.300049,49.66820145,453.5029907,240.3699951,15.85319996
345.4630127,3327.840088,41.79079819,428.1180115,232.5370026,16.01029968
282.57901,3816.949951,46.10969925,444.6329956,223.1950073,14.12460041
321.3049927,3551.060059,43.10290146,439.1130066,232.3379974,15.51259995
316.9760132,3660.709961,43.19829941,449.7550049,250.0800018,16.94499969
338.3900146,3361.290039,41.84009933,427.6759949,230.1239929,15.28689957
388.506012,3473.47998,43.7478981,458.4100037,255.503006,17.42340088
410.5140076,3296.669922,43.45940018,447.5270081,256.105011,16.95330048
310.2890015,3603.310059,43.2112999,432.1180115,221.5180054,13.96220016
284.9110107,3771.709961,51.67599869,457.9400024,233.5200043,15.62450027
272.5650024,3762.01001,47.18870163,438.5840149,205.7870026,13.7560997
365.6329956,3485.179932,43.22240067,454.0230103,248.3350067,17.21269989
471.1619873,3465.719971,45.10509872,465.5490112,267.2319946,18.02249908
271.5620117,3752.169922,46.57580185,434.7120056,201.8569946,13.44029999
464.5360107,3480.189941,43.84870148,460.5939941,262.4179993,17.90509987
295.6749878,3799.909912,43.52030182,453.0469971,244.2929993,16.11680031
321.5889893,3606.159912,42.69860077,446.3399963,244.822998,16.55859947
278.1830139,3801.540039,45.7154007,438.9419861,210.996994,13.6171999
274.32901,3774.780029,48.79230118,446.6210022,214.4440002,14.44190025
393.9169922,3266.560059,42.9396019,441.8340149,250.8690033,16.75769997
291.144989,3768.459961,52.8091011,454.0180054,234.6080017,15.36400032
272.8160095,3774.590088,48.8689003,446.8420105,213.9689941,14.45499992
270.151001,3762.75,47.57899857,439.4570007,205.0809937,13.81989956
