Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.325973004,62.37450027,0.490792006,159.2839966,50.58589935,4.338029861,0.289678991,50.03099823,0.308138013,114.6819992,44.9197998,2.340950012,75.20739746,1934.839966,5.214240074,64.47679901,63.37919998,4.877520084,76.69029999,1962.859985,6.163799763,51.14530182,62.29600143,2.855629921,416.8410034,3441.899902,42.53480148,446.598999,250.0529938,17.43300056,463.2749939,3414.790039,54.73130035,407.6929932,239.6260071,10.2244997,211.4600067,63.70289993,38.56069946,201.0449982,72.33149719,41.28340149
0.259187996,51.87960052,0.403706014,124.8949966,39.26309967,3.029759884,0.225218996,45.62950134,0.309652001,99.90740204,44.08929825,1.865669966,83.97489929,1900.709961,5.42223978,64.52490234,64.14659882,5.5082798,84.84449768,1919.339966,6.978700161,51.26919937,64.02829742,3.295929909,461.8829956,3466.449951,44.60760117,460.9700012,264.151001,17.80050087,514.0689697,3457.0,56.73199844,425.7739868,261.7160034,10.68620014,211.1750031,63.29019928,38.53409958,204.7290039,68.76119995,41.23659897
0.68985498,71.41480255,0.861356974,167.7799988,46.94329834,4.055240154,0.528568029,72.07710266,0.78867501,156.3370056,53.22750092,3.24255991,70.07830048,1955.109985,4.968289852,62.81930161,62.70650101,4.259290218,69.34339905,1995.400024,5.549860001,50.94279861,64.32980347,2.385710001,335.5939941,3467.969971,42.62360001,438.5150146,240.0939941,16.32379913,416.2139893,3481.02002,57.80960083,401.105011,242.6369934,9.727890015,218.2480011,67.2806015,38.90039825,198.246994,83.07849884,43.55749893
0.284345001,55.45149994,0.450289011,134.5070038,42.85189819,3.300390005,0.253302008,47.38430023,0.322896004,104.8740005,44.35480118,2.000989914,81.98760223,1907.890015,5.383110046,64.47679901,64.04550171,5.269350052,84.58650208,1918.459961,6.766170025,51.21080017,63.82500076,3.26109004,444.9819946,3440.399902,44.42200089,455.4200134,260.4349976,17.53070068,497.3299866,3408.409912,57.09019852,418.1690063,257.3779907,10.40999985,211.1360016,63.49209976,38.53179932,200.8829956,69.54270172,41.26459885
0.320181012,56.11339951,0.466187,133.3549957,42.92079926,3.135669947,0.27226001,48.65129852,0.382784009,107.189003,44.42739868,2.036499977,84.19730377,1876.719971,5.449540138,64.31390381,63.99499893,5.274159908,88.61779785,1903.459961,6.707270145,51.17829895,66.46170044,3.432329893,425.6329956,3323.360107,44.22940063,451.1229858,259.4049988,17.15629959,491.0799866,3365.469971,57.92779922,415.5090027,267.9179993,10.28170013,210.4349976,63.55260086,38.50429916,195.3119965,71.3839035,41.2560997
0.364764005,68.84989929,0.521484017,173.9129944,57.11809921,4.791900158,0.317342013,52.5196991,0.372103006,120.6880035,45.42900085,2.52534008,79.39040375,1885.890015,5.308440208,64.32009888,63.81719971,4.944459915,82.64080048,1941.02002,6.183030128,51.12530136,67.39700317,3.138829947,397.9710083,3253.070068,42.68899918,441.8250122,251.0399933,17.13409996,459.6390076,3304.120117,57.00939941,403.6600037,258.4500122,10.03369999,211.0619965,63.46419907,38.53900146,193.8950043,73.68979645,41.41130066
0.907563984,72.89710236,1.258460045,168.1679993,41.18970108,4.461359978,0.693325996,74.95860291,1.044160008,154.7599945,43.79729843,3.427129984,53.11660004,2046.829956,4.847509861,61.53760147,63.33980179,3.235440016,52.52529907,2068.27002,5.526120186,50.16159821,63.65999985,1.721199989,297.4249878,3769.590088,43.25559998,448.2940063,239.3179932,15.6239996,390.4549866,3707.72998,61.47859955,411.3429871,237.4649963,10.01179981,218.8840027,73.43859863,39.37810135,208.3029938,88.3463974,42.6651001
0.358047009,67.86160278,0.527199984,171.4759979,56.10229874,4.710919857,0.311951995,52.10879898,0.360246986,119.5749969,45.33000183,2.489190102,78.5007019,1896.51001,5.290609837,64.34980011,63.77750015,4.909850121,81.89260101,1944.73999,6.183909893,51.12409973,66.42890167,3.075279951,401.0140076,3291.379883,42.69250107,442.5920105,251.026001,17.1697998,460.3320007,3318.929932,56.6515007,403.6820068,254.9940033,10.0291996,211.1809998,63.41199875,38.5401001,194.9559937,73.4484024,41.38199997
0.640679002,66.3411026,0.852155983,154.1089935,43.44039917,3.762209892,0.477730989,64.91729736,0.765616,135.5429993,46.71250153,2.875829935,69.9681015,1954.900024,5.130420208,62.65670013,63.40829849,4.211890221,70.60610199,1986.459961,6.007989883,50.0340004,64.07119751,2.579710007,346.3120117,3492.929932,42.92739868,444.2810059,244.9349976,16.24090004,431.3420105,3496.98999,58.07799911,405.3819885,243.3350067,10.08889961,216.9329987,66.73549652,39.43769836,198.2079926,81.66960144,43.20589828
0.333039999,60.98749924,0.512452006,145.1159973,47.44950104,3.481899977,0.292712986,50.48130035,0.372770995,113.4530029,44.8927002,2.264630079,82.90670013,1861.22998,5.375879765,64.32279968,63.6894989,5.144949913,88.36669922,1907.079956,6.517449856,51.20429993,67.38339996,3.564480066,415.1730042,3263.620117,43.68579865,447.1669922,256.0369873,17.06419945,481.5130005,3297.02002,59.2220993,411.2470093,264.2250061,10.1310997,210.4149933,63.39749908,38.49380112,190.5240021,72.96659851,41.52590179
