Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
1.609820008,154.4349976,1.487269998,472.70401,167.4100037,35.74269867,1.629279971,137.897995,1.630720019,331.8510132,172.2819977,28.93919945,98.48120117,1658.420044,10.74540043,119.9550018,116.9690018,108.8730011,104.5029984,1553.98999,13.12279987,84.84300232,110.5100021,81.88950348,437.3160095,3305.810059,51.20700073,625.6079712,414.3359985,172.0449982,466.1000061,3375.199951,66.01239777,481.5840149,414.2319946,138.2550049,202.6809998,48.44260025,24.89179993,198.7089996,61.02600098,22.17989922,0.0
1.506520033,157.7610016,1.806049943,542.4580078,147.125,32.74860001,1.400269985,136.8820038,1.319399953,398.0759888,142.7180023,23.99570084,73.81739807,1816.689941,6.233870029,159.7169952,110.8840027,62.27059937,65.55419922,1680.380005,5.946879864,93.87030029,93.97270203,30.32010078,399.6940002,3565.350098,47.27180099,792.3670044,393.0310059,151.4730072,433.1910095,3678.090088,59.34730148,650.0889893,376.4049988,107.7990036,210.5200043,56.9455986,28.81879997,190.7899933,73.5789032,25.39039993,16.9
1.559569955,147.8760071,1.835860014,545.6669922,149.5429993,32.94879913,1.466359973,131.6369934,1.322610021,414.7770081,146.1490021,25.78380013,73.35299683,1832.150024,6.067860126,160.8359985,111.4290009,62.8987999,66.37809753,1681.150024,5.947559834,94.02890015,94.13259888,32.90269852,389.1910095,3503.689941,45.53210068,777.5770264,376.5620117,149.298996,421.9419861,3604.340088,58.04169846,637.9370117,362.2770081,111.7050018,210.2649994,55.7057991,28.71820068,192.048996,71.48449707,25.49309921,0.0
1.461310029,163.4080048,1.778800011,538.6450195,144.548996,32.52899933,1.348320007,140.298996,1.316949964,386.7739868,139.4550018,22.5977993,74.13220215,1804.040039,6.283170223,158.0870056,110.2450027,62.74729919,67.40660095,1681.839966,6.15128994,93.93060303,94.06109619,28.78370094,408.3240051,3572.929932,48.84989929,801.3330078,398.9649963,154.0769958,440.5589905,3696.070068,60.4178009,653.8670044,381.3599854,105.0589981,210.5249939,57.29660034,29.69709969,190.6649933,74.9618988,25.76950073,0.0
1.583260059,161.4409943,1.733540058,522.4089966,132.2350006,31.08139992,1.468999982,136.5010071,1.340610027,377.5350037,126.4540024,20.55389977,75.11569977,1796.430054,6.404019833,150.772995,106.5289993,54.47800064,69.43370056,1679.109985,6.425779819,93.14759827,92.34339905,24.58869934,436.5429993,3603.25,56.14189911,821.8870239,402.5140076,146.0549927,460.0620117,3698.610107,66.00910187,668.5939941,386.5379944,95.98539734,211.2120056,60.15629959,30.28700066,192.8589935,79.83049774,26.70969963,16.9
1.538509965,149.1170044,1.853839993,546.8239746,151.8840027,32.94689941,1.419860005,135.253006,1.32277,414.026001,148.9960022,25.58589935,73.05439758,1837.109985,6.03937006,162.7259979,111.7919998,63.87969971,68.40589905,1683.189941,6.039350033,94.23149872,94.38880157,34.59170151,381.3850098,3472.600098,43.87659836,768.0549927,368.1730042,149.8589935,413.1619873,3572.610107,56.75579834,630.9550171,354.0209961,113.6060028,210.147995,54.79970169,29.57500076,193.2669983,70.29879761,25.70299911,5.6
1.440840006,182.2599945,1.419510007,480.5549927,166.6199951,35.28110123,1.535590053,162.348999,1.636909962,342.131012,167.8849945,30.12249947,119.8499985,1532.439941,14.93350029,129.2720032,115.4599991,147.0140076,125.0110016,1546.849976,19.11759949,85.11419678,109.9700012,99.74590302,474.75,3354.679932,61.13710022,691.3900146,462.9819946,189.401001,516.8259888,3419.550049,77.47969818,550.9190063,457.2839966,145.5469971,202.4230042,47.29899979,27.48489952,188.7640076,61.07709885,22.36569977,16.9
1.491119981,152.1710052,1.872020006,549.0980225,154.7660065,32.99039841,1.332460046,142.154007,1.322460055,408.9360046,152.154007,25.15699959,72.45179749,1845.670044,5.971479893,166.302002,112.2139969,65.03179932,70.37660217,1685.699951,6.086239815,94.48639679,94.69940186,36.27159882,373.2489929,3437.01001,42.17470169,758.0139771,356.980011,150.2429962,404.1560059,3538.030029,55.40599823,619.9219971,343.2179871,115.5849991,210.0379944,53.6678009,30.6359005,194.6170044,69.06829834,25.6602993,0.0
1.621260047,157.9700012,1.791350007,527.3239746,137.5279999,31.3852005,1.500830054,134.9640045,1.344200015,388.8699951,132.8300018,22.05920029,74.86389923,1803.109985,6.424839973,152.6060028,108.1949997,56.73509979,68.31169891,1677.180054,6.24601984,93.11239624,92.30419922,27.78359985,420.9490051,3592.340088,51.75669861,808.2459717,398.4429932,147.0059967,448.2219849,3686.850098,62.74950027,663.4019775,382.7969971,101.6159973,211.1089935,59.00320053,29.52560043,192.6670074,76.95860291,26.41489983,0.0
1.659510016,136.9600067,1.896000028,551.1779785,151.1970062,33.06790161,1.532729983,126.1419983,1.326769948,443.5409851,148.5149994,27.92429924,73.25180054,1840.209961,6.239830017,163.6560059,111.9029999,64.6937027,70.86270142,1685.5,6.119430065,94.57569885,94.69059753,36.03789902,380.3269958,3435.590088,43.61610031,763.4050293,356.3340149,149.6190033,411.7059937,3503.159912,56.60549927,629.8449707,346.2380066,116.0490036,209.6589966,52.88819885,29.24410057,197.0310059,69.22699738,26.56229973,5.6
