Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.214252993,45.55310059,0.655278027,246.3569946,27.15250015,5.616799831,0.211235002,37.97409821,0.606778979,208.397995,22.1515007,3.800590038,50.2867012,1874.180054,4.235519886,65.26580048,39.77980042,1.71036005,57.51259995,1924.109985,4.803820133,50.92279816,34.92440033,1.476830006,170.2819977,4061.879883,30.34729958,399.8269958,127.7480011,13.43710041,226.2850037,4005.060059,42.24860001,355.7829895,117.9639969,8.555130005,221.2720032,86.76260376,131.9839935,210.7700043,103.1989975,47.08399963
0.180282995,48.0381012,0.639338017,259.8519897,27.11730003,5.598750114,0.200452998,39.61339951,0.553835988,209.0410004,22.67639923,3.736829996,44.27999878,1890.280029,4.624790192,64.50990295,39.47060013,1.726240039,51.09899902,1924.589966,4.807040215,50.81240082,33.53219986,1.45776999,179.0910034,4112.5,31.04030037,399.269989,117.3980026,13.42329979,231.2400055,4074.419922,42.28480148,351.9750061,109.8619995,8.454270363,220.9629974,87.84850311,132.4360046,231.0169983,106.026001,46.97330093
0.205936,41.30789948,0.76344502,235.345993,26.6385994,5.381370068,0.192306995,31.6996994,0.64845401,200.173996,19.77490044,3.802769899,60.56850052,1896.689941,4.109539986,65.98889923,39.71049881,1.729789972,66.11440277,1920.23999,4.798960209,51.60010147,34.75490189,1.488299966,186.7850037,3988.350098,30.17250061,398.0329895,139.8769989,12.94009972,246.3090057,3893.290039,42.41279984,364.1459961,123.0080032,8.323180199,220.9420013,84.80760193,131.8540039,210.1119995,101.0709991,46.27610016
0.369513988,40.50910187,0.987896979,274.0079956,27.66460037,6.592579842,0.398584008,31.50499916,0.848244011,215.3500061,21.81069946,4.242450237,37.99480057,1998.780029,4.48458004,68.93840027,43.25439835,2.463759899,43.30599976,2001.089966,4.87830019,54.82970047,39.38010025,1.625880003,85.73400116,4177.399902,31.60860062,401.7780151,128.298996,14.67099953,116.5299988,4148.120117,42.46419907,349.5,117.4380035,8.626170158,239.4730072,98.62760162,42.70130157,227.2929993,114.3219986,41.2071991
0.434805989,42.93579865,0.919241011,268.0169983,27.94650078,6.44175005,0.46272099,35.42449951,0.755378008,215.0829926,23.90110016,4.345530033,35.3606987,2105.189941,4.550670147,65.28279877,41.62810135,2.980560064,40.88339996,2079.959961,4.991300106,52.84880066,40.31529999,1.797770023,85.22070313,4260.220215,31.35849953,395.8190002,124.3649979,14.33790016,119.5599976,4246.290039,41.70270157,349.5629883,117.5709991,9.093370438,226.7940063,99.65409851,40.58029938,217.9920044,115.1409988,40.75099945
0.403492004,45.5882988,0.71134299,278.6950073,28.17569923,5.747769833,0.537109017,37.0121994,0.988898993,208.4080048,23.88199997,4.092020035,39.09550095,2152.050049,4.663269997,66.50309753,39.90269852,3.014199972,44.36050034,2173.5,4.950950146,50.3362999,37.74340057,1.709069967,118.4039993,4294.0,30.94120026,393.1340027,127.8590012,13.19260025,151.2640076,4330.140137,42.41960144,349.9159851,114.9329987,8.543720245,215.2920074,103.4540024,131.6009979,199.3280029,111.8450012,40.0848999
0.334710002,34.49620056,0.909842014,255.029007,25.25379944,6.470459938,0.338313013,28.96220016,0.747924984,207.4909973,19.76309967,4.348939896,41.80550003,1963.420044,4.186649799,68.12409973,42.03279877,2.066210032,48.03170013,1973.0,4.757430077,56.48059845,38.31930161,1.610200047,76.3470993,4052.439941,30.21419907,405.9379883,133.0010071,14.4034996,110.6940002,3989.51001,41.0284996,361.3540039,122.5670013,8.878899574,231.2330017,100.2419968,41.61769867,229.0010071,113.9860001,42.26290131
0.367166996,42.84289932,0.920839012,260.6019897,28.62509918,6.463039875,0.387692004,33.93000031,0.779771984,208.8560028,22.7052002,4.104690075,42.13479996,2027.550049,4.423890114,65.89640045,41.87749863,2.70024991,47.46229935,2034.290039,4.812829971,52.77199936,38.12850189,1.651800036,113.064003,4156.410156,31.42429924,398.2730103,129.6309967,14.76519966,142.276001,4133.140137,41.34999847,351.6029968,118.1429977,8.357839584,235.1430054,97.82170105,41.15119934,218.5910034,110.1210022,38.90390015
0.229876995,47.85359955,0.65537101,263.4100037,28.02249908,5.748429775,0.267064005,39.17369843,0.663689971,205.7440033,22.90640068,3.869349957,44.38349915,1904.119995,4.449679852,65.59329987,40.20780182,1.91505003,51.08530045,1945.0,4.876930237,50.72600174,35.62080002,1.476639986,163.7680054,4127.060059,30.90819931,391.4819946,123.348999,13.63650036,217.1940002,4089.679932,43.32220078,350.3919983,113.5960007,8.490340233,219.8150024,87.26390076,134.8560028,213.8339996,103.8349991,43.89429855
0.411442995,53.22700119,0.882523,276.5740051,32.96080017,6.365469933,0.43196699,41.62900162,0.768242002,205.7489929,26.6685009,3.876349926,42.76150131,2139.699951,4.659649849,64.47969818,41.42200089,4.537789822,49.70780182,2131.459961,4.986030102,48.63230133,37.85319901,1.80024004,151.4519958,4262.600098,32.26290131,396.9909973,130.2570038,14.76850033,190.3670044,4267.649902,42.11299896,345.8469849,117.2900009,7.899580002,234.0460052,98.44930267,36.39910126,207.6750031,110.6480026,30.98550034
0.442959994,58.27019882,0.900888979,281.3930054,35.26150131,6.73251009,0.496944994,44.82789993,0.76019901,205.4909973,27.42259979,3.850179911,43.8445015,2193.22998,4.478750229,65.27449799,41.55989838,4.377230167,50.85290146,2202.75,4.973480225,47.26079941,37.33670044,1.871690035,169.5610046,4242.669922,31.89679909,397.2109985,130.0189972,15.07339954,199.345993,4266.669922,42.09280014,340.70401,116.0110016,7.874820232,236.5050049,99.14279938,36.52149963,204.4290009,109.2180023,31.0230999
0.323352009,51.15930176,0.877734005,258.9179993,31.7833004,6.355060101,0.334556997,39.00469971,0.795351982,207.8470001,24.9510994,3.765919924,50.08739853,1986.959961,4.513050079,65.56600189,41.77780151,3.003520012,54.34249878,2013.339966,4.68930006,49.23820114,36.10630035,1.687260032,180.6349945,4159.680176,32.77019882,405.7829895,130.2230072,15.20429993,212.4629974,4153.640137,41.59329987,350.2770081,116.4759979,7.844880104,246.2019958,90.87590027,41.53820038,212.7120056,105.1490021,38.28030014
0.294180006,36.81520081,0.942282021,248.1799927,26.81100082,6.148709774,0.304946989,31.35479927,0.774151027,206.9069977,20.0272007,4.076109886,46.34280014,1937.910034,4.258170128,66.51599884,41.57989883,1.943120003,51.29729843,1961.099976,4.624820232,54.89009857,37.37400055,1.553519964,111.3840027,4040.629883,31.4659996,398.8469849,131.1869965,14.08259964,141.1909943,3980.73999,41.54909897,357.7149963,119.3619995,8.341850281,241.9369965,94.20469666,46.70100021,226.7369995,106.1230011,44.84619904
0.462110996,46.62409973,0.936083972,285.0079956,30.67180061,7.429279804,0.475385994,35.81309891,0.762776971,212.326004,25.07379913,4.360000134,36.09090042,2181.5,4.463449955,69.56900024,43.6114006,5.212170124,42.59659958,2171.5,4.869110107,50.85630035,39.87779999,1.915609956,97.0585022,4320.109863,30.99629974,411.7780151,133.4340057,16.57489967,127.9749985,4345.830078,42.0965004,348.2799988,121.7910004,8.96487999,238.8869934,105.9469986,39.67850113,218.772995,119.8570023,38.95569992
0.340573013,31.69560051,0.937681973,250.2330017,24.54710007,6.472740173,0.31734401,27.5557003,0.770735025,207.4409943,18.70700073,4.363840103,42.19789886,1947.689941,4.108620167,68.501297,42.0625,1.87353003,49.07089996,1961.699951,4.75466013,57.7276001,38.17139816,1.603839993,69.40670013,4012.129883,29.88999939,406.0310059,134.246994,14.40530014,103.2969971,3936.949951,41.02470016,362.6910095,123.3150024,8.895259857,231.6679993,101.0039978,41.7560997,231.7980042,113.6060028,42.36159897
0.293630987,47.94020081,0.879462004,252.8829956,30.84049988,6.297289848,0.312624007,36.88040161,0.782988012,204.2140045,24.21649933,3.811990023,52.10889816,1964.209961,4.467919827,65.48989868,41.17850113,2.75880003,55.43320084,1989.369995,4.645969868,49.61610031,35.75479889,1.663900018,181.0050049,4147.040039,32.44639969,407.321991,132.1569977,15.14890003,211.9900055,4125.970215,41.38199997,354.5859985,118.0500031,7.823289871,247.7169952,91.8391037,42.30270004,215.2030029,106.2020035,39.86460114
0.238839999,48.06290054,0.656553984,260.8129883,27.92420006,5.666100025,0.273642987,39.14080048,0.688793004,208.7380066,22.67720032,3.868040085,47.19889832,1914.52002,4.401000023,66.36219788,39.83359909,1.886639953,53.63750076,1953.650024,4.806970119,50.46849823,35.16690063,1.482059956,175.1199951,4109.160156,30.51169968,399.5079956,124.6819992,13.46630001,230.302002,4073.27002,42.26150131,352.9880066,114.1880035,8.61343956,220.6069946,87.90299988,135.253006,211.4980011,103.961998,47.08140182
0.307530999,47.62039948,0.674291015,275.54599,28.05900002,5.795979977,0.470192999,38.30530167,0.985576987,205.6490021,22.81570053,3.935250044,48.28279877,2038.25,4.468999863,67.45690155,39.87480164,2.102309942,53.30659866,2063.439941,5.059730053,50.14580154,35.89530182,1.48258996,166.1719971,4153.549805,31.20179939,389.2579956,127.2470016,13.76239967,214.8789978,4157.649902,43.56159973,350.7780151,112.5139999,8.608750343,214.3560028,94.4838028,138.0939941,200.7220001,104.7600021,42.50429916
0.442467004,55.28710175,0.902441025,288.0140076,34.11859894,6.61274004,0.434462994,42.67480087,0.75820899,207.0010071,27.30520058,3.928280115,42.33890152,2175.120117,4.559939861,65.65319824,41.62599945,6.039509773,50.73469925,2192.320068,4.835289955,48.20040131,37.81869888,1.981430054,152.4640045,4278.939941,32.12360001,399.6669922,134.7980042,15.07330036,192.2709961,4312.509766,41.7942009,346.7569885,120.5289993,7.817019939,240.2940063,100.9430008,36.97520065,209.4290009,111.9290009,31.37269974
