Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.927730978,99.93399811,1.40813005,640.0310059,84.77739716,58.08000183,0.998609006,83.67459869,1.435299993,397.3169861,69.35639954,50.44400024,33.30139923,2137.070068,4.19107008,245.5070038,110.5319977,36.44850159,40.8103981,2181.01001,4.551459789,141.8009949,95.13839722,25.08909988,155.9799957,4008.800049,43.88380051,822.2050171,326.1929932,200.0390015,210.6309967,4077.899902,55.87080002,575.585022,292.4110107,156.7579956,361.6820068,105.9319992,53.47729874,341.6059875,120.7860031,46.98820114
0.964688003,94.64260101,1.304260015,608.7180176,80.01529694,54.37779999,1.007910013,79.2779007,1.314149976,386.8980103,65.63770294,46.38600159,32.12229919,2121.580078,3.967210054,242.0440063,100.3300018,29.2336998,38.22439957,2161.27002,4.447169781,151.4129944,88.8015976,22.56220055,154.1049957,3980.820068,39.69449997,802.8870239,284.6099854,175.8029938,193.496994,4041.01001,51.42839813,598.9180298,259.7539978,145.0570068,349.8410034,108.5859985,51.19729996,336.0239868,122.8389969,46.56990051
1.00067997,89.47730255,1.262269974,592.4210205,74.24859619,54.42549896,1.035840034,75.8309021,1.248559952,414.2030029,63.24489975,46.44549942,32.70920181,2125.669922,3.392430067,234.1410065,91.58779907,24.92880058,38.27949905,2159.689941,4.072669983,154.1230011,82.15209961,20.93700027,155.0189972,4003.75,31.10479927,811.4849854,254.473999,163.8240051,188.4530029,4018.439941,39.69800186,617.5789795,229.7149963,137.3789978,343.7820129,111.8190002,50.59609985,343.0889893,128.7850037,49.66410065
0.946273029,89.76249695,1.267740011,581.1619873,75.97409821,51.89759827,0.973572016,74.72859955,1.296329975,368.4729919,62.16289902,44.52560043,31.62129974,2098.689941,3.833420038,238.3600006,95.58820343,24.52860069,36.94319916,2128.080078,4.266469955,162.7669983,88.59700012,23.32060051,157.1040039,3972.280029,35.2336998,805.4210205,257.9750061,167.8659973,189.3829956,4002.330078,48.03900146,640.8889771,246.0540009,152.0480042,347.2489929,112.6610031,49.93360138,341.0140076,124.0139999,48.03369904
0.985487998,95.0963974,1.336840034,623.7490234,79.41519928,55.45220184,1.00011003,80.88529968,1.333459973,402.0950012,66.84539795,47.96170044,32.57400131,2127.23999,3.733649969,241.772995,98.17430115,28.69389915,38.38069916,2165.48999,4.337800026,149.2879944,86.51129913,21.95840073,156.3950043,3987.949951,36.74779892,807.8950195,277.29599,176.0720062,193.9779968,4032.899902,46.80059814,599.5109863,249.7350006,142.326004,350.6919861,108.2060013,52.74499893,337.1809998,122.1999969,47.39260101
0.979704022,82.60479736,1.271029949,624.4829712,75.43579865,57.56930161,1.046640038,73.46569824,1.420429945,477.6359863,68.36430359,54.62250137,27.44389915,2088.610107,3.442840099,275.2109985,94.54049683,27.40859985,36.69580078,2138.179932,3.774389982,202.7220001,87.09130096,23.3404007,126.4319992,3949.090088,25.2154007,923.539978,250.9259949,180.9290009,163.7230072,4007.419922,38.2417984,755.0889893,228.2070007,158.3659973,360.1690063,120.987999,45.68880081,366.1929932,139.8650055,53.4151001
1.005990028,85.77829742,1.279219985,592.1599731,75.18689728,54.37450027,1.059980035,75.11799622,1.321059942,457.8340149,66.82080078,51.59069824,29.30970001,2100.929932,3.478879929,255.5299988,93.73470306,26.36569977,36.24269867,2140.129883,3.885819912,190.5330048,86.66529846,23.51169968,135.3959961,3990.959961,27.4904995,859.6400146,255.0189972,171.5540009,167.9629974,4015.530029,38.68560028,715.9500122,236.5619965,152.947998,343.2189941,118.8010025,47.57849884,347.7420044,136.223999,51.26509857
0.963935971,102.5830002,1.407240033,603.7839966,87.93209839,56.44950104,1.087489963,88.87159729,1.55934,395.1199951,74.49539948,50.44020081,31.75309944,2085.100098,4.450049877,239.9420013,100.5110016,27.30929947,37.37440109,2117.780029,4.738530159,168.4550018,94.48760223,25.57909966,161.6340027,3938.550049,44.49610138,813.8270264,274.2770081,173.8090057,194.8379974,3994.169922,59.66220093,647.2399902,265.2380066,164.5820007,353.3680115,106.0719986,47.68460083,338.9819946,116.7799988,47.41939926
1.039000034,86.75740051,1.314640045,617.9680176,74.12979889,55.44300079,1.088529944,72.61699677,1.297039986,444.553009,62.54370117,49.25030136,31.37820053,2161.51001,3.65012002,240.875,98.97669983,32.00550079,37.89619827,2211.810059,4.39839983,157.026001,85.11650085,21.57859993,140.0890045,4038.469971,38.88339996,812.4180298,286.5950012,180.8679962,174.6190033,4063.290039,45.06010056,615.6459961,248.5039978,140.8840027,349.6740112,112.4560013,53.27980042,351.0109863,131.0189972,50.04800034
0.965862989,95.20529938,1.321249962,609.3150024,80.74849701,54.42969894,1.010310054,79.93890381,1.324810028,388.7139893,66.23179626,46.89419937,31.95750046,2119.620117,4.035190105,245.2149963,101.1019974,29.33090019,37.95299911,2159.209961,4.460810184,153.5970001,89.71800232,22.87529945,152.4850006,3980.110107,40.56719971,807.1209717,287.5140076,175.197998,192.3390045,4046.389893,52.75519943,602.03302,263.9869995,146.6529999,349.9869995,108.4729996,50.97880173,336.0419922,122.4160004,46.52640152
1.09958005,81.90470123,1.371140003,629.9589844,74.88710022,58.76490021,1.206840038,72.47090149,1.495609999,510.0830078,67.2036972,57.6969986,28.23590088,2146.159912,3.8692801,256.2200012,96.91110229,27.4041996,35.56269836,2190.530029,4.184810162,197.8450012,89.33650208,24.60029984,116.7080002,4061.790039,35.58739853,865.9240112,270.243988,173.7810059,148.3739929,4078.25,43.76449966,725.9609985,251.5899963,157.6840057,348.9890137,124.1399994,47.7215004,352.8919983,141.802002,51.84830093
0.98477298,81.52390289,1.297549963,626.2039795,74.99130249,57.03490067,1.083639979,72.74189758,1.429960012,496.2070007,68.28929901,55.02690125,27.36249924,2107.570068,3.65177989,259.8869934,95.13659668,28.70999908,35.44300079,2153.620117,3.82604003,199.3049927,87.65899658,24.25090027,119.0550003,4003.899902,28.8696003,883.6119995,262.2579956,173.9859924,156.2079926,4036.070068,40.08959961,738.7150269,242.9689941,154.1040039,351.7929993,122.3450012,46.40530014,352.0660095,141.3939972,51.5658989
