M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
121.4209976,4014.129883,32.25040054,864.8250122,262.0299988,170.2749939,152.8580017,4035.129883,41.90470123,738.1489868,247.7920074,153.2680054,342.3940125,122.5350037,46.87530136,341.7579956,141.1699982,50.75839996,0,1,0,0,0.0
138.3350067,3996.51001,27.60790062,852.5960083,256.0700073,170.6340027,170.4660034,4018.709961,38.57690048,705.6110229,237.3630066,151.6419983,343.1300049,117.9980011,48.02370071,347.7030029,135.2779999,51.15459824,0,1,0,0,0.0
155.2149963,4015.090088,37.27529907,781.7630005,291.7070007,186.6369934,190.5820007,4052.27002,44.89979935,563.9539795,251.9889984,136.753006,346.8009949,106.3399963,55.45470047,342.4590149,123.9140015,48.71319962,0,1,0,0,0.0
175.7129974,3960.51001,48.3268013,803.8920288,316.9249878,189.1080017,220.8289948,4019.659912,63.19010162,603.5410156,295.0830078,170.7799988,356.9049988,98.27120209,51.42359924,346.3139954,111.9660034,49.77109909,0,0,1,0,0.0
148.1699982,4021.129883,33.36949921,811.7260132,265.0960083,170.1640015,181.1990051,4032.719971,41.36899948,626.8720093,237.6289978,141.0359955,349.5419922,114.2750015,51.56639862,351.0469971,131.8300018,50.22140121,0,1,0,0,0.0
163.2330017,3983.199951,26.28660011,831.7269897,251.9689941,170.3000031,199.4170074,3986.100098,36.77310181,667.2520142,234.098999,144.7630005,341.2200012,112.3359985,51.93420029,340.07901,128.0050049,50.87620163,0,1,0,0,0.0
117.2990036,4016.790039,31.04089928,861.7020264,264.5029907,169.6349945,154.5659943,4042.820068,41.4375,734.757019,246.2839966,150.7669983,338.1069946,122.5780029,46.07249832,340.2059937,141.4120026,50.57210159,0,1,0,0,3.4
119.3919983,4046.290039,34.05400085,862.3569946,266.6099854,170.9069977,149.197998,4064.02002,42.91550064,729.882019,250.3130035,154.3890076,345.1170044,123.1689987,47.33779907,344.868988,140.7129974,51.33990097,0,1,0,0,10.1
129.2839966,4057.98999,37.83800125,833.0130005,277.6180115,175.1159973,160.7740021,4078.120117,44.51860046,670.3289795,251.6100006,145.1040039,345.730011,117.348999,50.04629898,343.0400085,135.595993,49.63959885,0,1,0,0,3.4
219.2749939,3913.889893,56.74900055,790.1290283,353.5390015,206.2290039,269.7969971,3956.76001,73.09529877,600.4639893,333.1629944,189.1990051,359.928009,87.13040161,52.78219986,347.3729858,103.4449997,50.84889984,0,0,0,1,6.8
