H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
73.03379822,1832.459961,6.031939983,162.5059967,112.0199966,64.17639923,68.76159668,1683.540039,6.070640087,94.20469666,94.4272995,35.03760147,210.2660065,55.12139893,30.34289932,192.6269989,70.07099915,25.64970016,0,1,0,0,0.0
106.9970016,1612.98999,12.2336998,144.9420013,112.2509995,114.3069992,102.2040024,1474.430054,14.31840038,83.87349701,94.87270355,67.43360138,203.1450043,53.56629944,27.32819939,179.8110046,70.44439697,24.21579933,1,0,0,0,0.0
75.21779633,1793.589966,6.393320084,150.0059967,105.8799973,53.60279846,69.86129761,1679.859985,6.495649815,93.15969849,92.35700226,23.32839966,211.2559967,60.63090134,30.60000038,192.9100037,80.95950317,26.8288002,1,0,0,0,0.0
73.46219635,1829.930054,6.083380222,158.8800049,111.1460037,61.52180099,61.91479874,1677.150024,5.67042017,93.65840149,93.68489838,31.10759926,210.4400024,56.75899887,27.30279922,190.1170044,72.66259766,24.73520088,0,0,0,1,16.9
73.56150055,1818.089966,6.145329952,160.1779938,111.1389999,63.61959839,68.1536026,1682.77002,6.115960121,94.07489777,94.25189972,32.04219818,210.3860016,56.16590118,30.10199928,191.7689972,72.4272995,25.75819969,0,0,1,0,0.0
74.0585022,1811.329956,6.357600212,159.8399963,110.6930008,61.16859818,62.84180069,1677.890015,5.796919823,93.62619781,93.68530273,28.58300018,210.7720032,57.96889877,27.99370003,189.727005,74.83640289,24.99550056,0,0,0,1,0.0
75.37290192,1789.209961,6.328030109,147.9389954,103.9980011,50.30509949,71.13729858,1682.140015,6.688980103,93.21970367,92.40370178,20.22319984,211.3659973,61.94350052,31.63629913,193.8430023,83.92350006,27.25309944,0,1,0,0,0.0
101.1849976,1646.01001,11.20240021,120.4670029,117.1439972,112.2229996,106.1539993,1553.619995,13.27400017,84.85600281,110.5230026,81.76629639,202.6750031,48.29000092,25.18289948,198.4730072,60.99110031,22.44739914,0,0,0,1,0.0
73.50340271,1820.930054,6.137269974,160.5449982,111.2549973,63.49869919,67.88680267,1682.560059,6.079840183,94.07240295,94.24269867,32.32780075,210.375,56.06570053,29.90850067,191.8130035,72.16600037,25.68790054,1,0,0,0,0.0
128.348999,1476.910034,17.52079964,137.3110046,113.3759995,177.2160034,135.5189972,1518.310059,22.38599968,86.87909698,107.2919998,116.0999985,206.9660034,45.38290024,30.52529907,193.3130035,59.31549835,23.96120071,1,0,0,0,5.6
75.35220337,1790.290039,6.458499908,150.3760071,106.7649994,55.43859863,69.24739838,1678.780029,6.417980194,93.09519958,92.31620026,24.08580017,211.2720032,60.37210083,30.07740021,191.5050049,80.01329803,26.55870056,1,0,0,0,16.9
74.47450256,1797.160034,6.377190113,157.1139984,109.9309998,62.03170013,66.98329926,1681.23999,6.160299778,93.84220123,93.96170044,27.32869911,210.6210022,57.9408989,29.38459969,189.826004,76.08860016,25.69759941,1,0,0,0,0.0
141.3399963,1375.890015,22.57939911,154.7769928,112.1460037,232.723999,153.1179962,1510.660034,28.9197998,87.01190186,106.6340027,145.0240021,208.8090057,41.60430145,41.13600159,208.1710052,56.81380081,29.39590073,0,0,1,0,0.0
