Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
0.520618975,61.95869827,0.65308702,147.272995,44.35469818,3.446549892,0.404940009,56.81760025,0.537428975,125.9960022,47.16960144,2.41704011,207.5820007,64.93039703,38.42670059,188.5590057,79.34200287,40.62189865,0,0,0,1
1.08743,89.2059021,1.167549968,212.9519958,48.40829849,5.926469803,1.06851995,82.271698,1.265740037,169.1690063,44.10309982,3.822170019,219.9160004,83.92980194,39.42020035,219.8289948,89.55780029,42.88560104,0,0,0,1
0.646431983,70.12709808,0.660067976,172.647995,50.44540024,4.364459991,0.571066976,64.15059662,0.601378024,145.0429993,51.21509933,2.927730083,210.1179962,67.58769989,37.87549973,194.4600067,79.9960022,42.30490112,1,0,0,0
0.335588992,52.57030106,0.553650975,124.9860001,38.88600159,2.925149918,0.237393007,46.7859993,0.419844002,101.3170013,44.07440186,1.904229999,210.0930023,64.4763031,38.49520111,198.6640015,73.29399872,41.14300156,0,0,0,1
1.033149958,80.02159882,1.095800042,189.5169983,44.31269836,4.560850143,0.924776971,75.84449768,0.94186002,160.2050018,43.83990097,3.410900116,217.8899994,76.13349915,39.22380066,207.0789948,81.47640228,42.22769928,1,0,0,0
1.069679976,87.42639923,1.195140004,205.2480011,47.78950119,5.710169792,0.988174975,80.37270355,1.168949962,166.2949982,44.10739899,3.720570087,219.5330048,82.22599792,39.37929916,216.5950012,88.24019623,42.76739883,1,0,0,0
0.846671999,75.05249786,1.341750026,176.6190033,45.50040054,4.991479874,0.584123015,76.46080017,1.074689984,159.5350037,49.12969971,3.685129881,224.0950012,73.32659912,40.6568985,211.8730011,88.03710175,43.72669983,0,0,0,1
1.157539964,90.959198,1.251039982,214.9839935,46.41249847,6.072730064,1.287719965,87.85389709,1.489060044,176.1000061,43.92340088,3.971489906,219.5429993,81.80680084,39.49649811,213.9620056,92.01599884,42.7220993,0,0,0,1
0.393382013,75.87190247,0.545493007,200.1419983,65.90509796,6.01940012,0.337958008,54.08509827,0.362331986,126.8610001,45.89500046,2.757189989,211.772995,63.47949982,38.57450104,197.7570038,74.40139771,41.26250076,0,0,0,1
1.215270042,87.02459717,1.290040016,216.2749939,45.61600113,5.120259762,1.162520051,81.6072998,1.158030033,170.6060028,43.7118988,3.767549992,219.5910034,81.80000305,39.31980133,214.4080048,82.4469986,42.23320007,0,0,0,1
