Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
1.571449995,166.5070038,1.758630037,524.5419922,136.8419952,31.24349976,1.444460034,140.1549988,1.341279984,373.3649902,131.3370056,20.62050056,211.3009949,60.02180099,29.32740021,190.3970032,78.86340332,26.14780045,1,0,0,0
1.480069995,162.753006,1.785349965,539.8930054,144.9620056,32.59909821,1.369799972,139.2579956,1.317559958,389.1499939,139.8500061,22.9253006,210.602005,57.56119919,29.02319908,190.1900024,74.94599915,25.49749947,0,0,0,1
1.444540024,182.5359955,1.420959949,481.618988,166.9080048,35.31729889,1.521690011,159.8370056,1.636109948,336.269989,167.9069977,29.57379913,202.5709991,46.95539856,28.28039932,189.9100037,61.17110062,22.62100029,0,0,0,1
1.477499962,172.3910065,1.668300033,512.3359985,129.7259979,30.59620094,1.367789984,144.0619965,1.334929943,353.6369934,123.5699997,18.46050072,211.2590027,61.18970108,31.48870087,190.75,82.35630035,27.38129997,1,0,0,0
1.541829944,150.3659973,1.833680034,545.2150269,149.6759949,32.90650177,1.44017005,133.6380005,1.321920037,410.7399902,146.2279968,25.35210037,210.3029938,55.79100037,28.9211998,191.9980011,71.62999725,25.4951992,0,0,0,1
1.469480038,160.0659943,1.812049985,541.276001,149.0700073,32.65940094,1.346339941,140.8569946,1.318879962,392.3880005,145.4069977,23.29599953,210.3939972,56.24269867,30.1079998,191.7120056,72.62190247,25.77230072,1,0,0,0
1.628010035,156.4609985,1.558269978,493.2260132,159.5540009,35.90200043,1.658660054,144.6640015,1.582450032,370.743988,160.7059937,29.58340073,198.6269989,50.88359833,25.26429939,189.9369965,65.21820068,22.04879951,0,1,0,0
1.379269958,189.8500061,1.403300047,493.868988,165.1820068,36.14300156,1.49119997,170.1649933,1.63004005,345.0509949,164.4839935,30.33609962,206.6779938,46.1731987,28.84110069,191.1990051,59.78779984,23.24580002,0,0,0,1
1.424520016,180.5619965,1.412799954,476.572998,165.9080048,34.99689865,1.595479965,165.0579987,1.642050028,354.2489929,167.9210052,31.40649986,202.0980072,48.90670013,26.31809998,186.1349945,60.89640045,22.11269951,1,0,0,0
1.493100047,171.0740051,1.67343998,513.6240234,129.595993,30.64080048,1.381880045,142.8110046,1.335530043,355.8139954,123.3909988,18.51199913,211.2929993,61.26390076,31.3281002,191.1569977,82.30930328,27.23209953,1,0,0,0
1.563150048,164.8600006,1.727409959,521.3330078,132.9459991,31.0394001,1.445690036,138.7799988,1.339759946,371.6279907,127.1169968,20.09830093,211.2660065,60.41009903,30.19569969,191.8320007,80.16690063,26.62290001,1,0,0,0
1.26196003,212.2910004,1.333629966,514.0469971,161.2100067,36.21279907,1.337949991,179.3549957,1.624539971,329.2770081,152.4060059,29.35449982,208.2619934,42.3105011,38.97129822,200.8560028,57.36780167,27.49119949,0,1,0,0
