M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
405.6579895,3417.649902,43.29199982,452.6749878,255.9160004,16.71360016,482.7460022,3466.75,57.43700027,420.2460022,264.8559875,10.11600018,211.5789948,63.87789917,38.77310181,197.7870026,75.49520111,41.02230072,0,0,0,1
313.0539856,3617.800049,43.21590042,441.6419983,233.9940033,15.6257,385.2009888,3600.01001,59.9978981,403.0169983,236.9600067,9.362770081,222.9420013,71.58339691,40.54679871,205.1970062,83.4858017,43.40409851,1,0,0,0
350.0690002,3467.51001,39.62120056,430.1579895,230.5619965,16.9333992,390.0150146,3457.110107,48.51089859,389.197998,215.1869965,10.02700043,213.1519928,65.92949677,38.19100189,206.1430054,77.71299744,40.73289871,0,0,0,1
294.8649902,3751.040039,52.12549973,459.2099915,246.5149994,16.52420044,387.29599,3742.169922,65.59259796,415.8110046,237.3809967,11.49440002,221.8200073,86.52690125,39.52310181,225.4420013,93.8710022,42.99060059,0,0,0,1
276.894989,3782.449951,45.38600159,434.6499939,206.875,13.29489994,323.7919922,3758.280029,59.78300095,403.6059875,198.8910065,8.904459953,218.2489929,76.83830261,39.35070038,205.2299957,83.94210052,42.22890091,0,0,0,1
290.6090088,3770.189941,52.79320145,454.651001,233.8930054,15.36970043,351.0299988,3794.139893,65.04239655,413.7550049,230.8000031,9.794360161,220.7449951,85.75090027,39.49840164,221.7579956,93.43209839,43.00180054,0,0,0,1
390.5620117,3408.629883,43.59590149,453.9119873,253.5509949,17.32780075,462.7120056,3454.820068,57.50590134,415.8250122,256.5490112,10.64260006,212.276001,65.56510162,37.97529984,199.7859955,78.0625,40.7193985,0,0,0,1
293.1119995,3787.199951,45.16320038,450.3160095,239.5310059,15.71020031,386.598999,3733.820068,63.29199982,413.0539856,237.7870026,10.14430046,219.503006,76.87239838,39.41439819,211.7779999,89.78440094,42.74900055,0,0,0,1
280.42099,3819.590088,46.41199875,443.0409851,217.1909943,13.91989994,337.0589905,3774.580078,61.33430099,408.1690063,209.6959991,9.100720406,219.2949982,81.79450226,39.39099884,215.6309967,86.47250366,42.58720016,0,0,0,1
293.6409912,3752.02002,54.13029861,457.8880005,239.9029999,15.87269974,363.2130127,3777.949951,65.59660339,414.0010071,233.5449982,10.25279999,221.6569977,86.33670044,39.53129959,223.6649933,94.51360321,43.05360031,0,0,0,1
285.5700073,3775.840088,51.35319901,454.9620056,229.7940063,15.29220009,350.9389954,3789.840088,63.86709976,414.0450134,222.5099945,10.0376997,220.1499939,84.876297,39.51390076,218.5279999,93.59690094,42.87390137,0,0,0,1
267.5880127,3764.919922,47.87030029,440.3139954,204.4340057,13.86989975,311.6799927,3792.310059,60.93870163,407.7409973,200.4069977,9.44715023,218.6799927,76.76679993,39.46559906,206.1699982,89.03859711,42.46310043,1,0,0,0
418.0079956,3315.639893,43.88790131,447.5920105,255.7810059,17.13739967,478.8680115,3311.790039,58.39410019,409.2829895,260.0249939,10.06050014,210.8690033,63.56570053,38.51309967,193.6100006,72.01069641,41.41740036,0,0,0,1
437.4559937,3385.77002,44.04750061,457.7720032,263.8039856,17.27109909,507.2170105,3449.580078,56.8470993,423.4729919,274.4150085,10.5053997,210.2799988,64.02069855,38.50049973,199.8829956,72.02359772,41.16130066,0,0,0,1
409.2219849,3402.540039,42.50770187,444.631012,249.8280029,17.32430077,459.2680054,3384.469971,55.08850098,405.1400146,243.1970062,10.1281004,211.4429932,63.59790039,38.55599976,199.2920074,72.80560303,41.29800034,0,0,0,1
285.6470032,3787.399902,50.54460144,451.5090027,225.8820038,14.89220047,344.5090027,3794.040039,63.59389877,413.177002,221.0740051,9.639479637,219.7779999,84.30169678,39.48160172,218.3650055,92.34790039,42.86399841,0,0,0,1
368.0390015,3512.449951,40.32210159,433.3670044,231.9799957,17.04439926,404.8999939,3472.080078,51.62820053,395.6380005,210.0379944,10.02830029,211.6609955,64.97350311,38.59690094,201.8289948,75.88749695,41.27170181,1,0,0,0
273.7529907,3751.25,45.95259857,433.3070068,203.0079956,13.30379963,314.6329956,3786.280029,59.28739929,403.0859985,199.8470001,8.893429756,217.2579956,73.646698,39.38219833,197.4369965,85.48919678,42.13150024,0,0,0,1
283.3429871,3777.330078,44.49639893,434.3330078,212.2850037,13.28969955,329.2210083,3723.530029,59.72800064,402.677002,205.0079956,8.863389969,218.4850006,79.07839966,39.27719879,209.6150055,81.30879974,42.22570038,1,0,0,0
448.3280029,3466.860107,43.56330109,455.7470093,258.42099,17.72319984,495.6910095,3442.840088,55.65530014,418.0469971,250.1699982,10.47719955,211.3399963,63.46369934,38.54930115,203.345993,70.20580292,41.26679993,0,0,0,1
425.3559875,3384.659912,43.61520004,455.355011,261.7399902,17.05780029,497.519989,3448.25,56.52339935,420.2219849,273.0840149,10.36470032,210.0579987,64.5164032,38.49380112,198.2859955,73.50930023,41.13759995,0,0,0,1
282.9549866,3800.02002,48.38700104,447.3340149,220.2570038,14.42759991,342.2250061,3782.969971,62.42990112,410.8970032,214.1940002,9.342740059,219.4689941,82.31880188,39.45240021,216.3390045,90.23519897,42.75019836,0,0,0,1
