M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
413.9530029,3346.3300781,43.3964996,450.75,258.125,16.9193993,483.8999939,3415.3999023,56.2580986,414.9419861,269.2449951,10.2070999,209.9250031,64.4203033,38.4864006,196.2599945,74.1621017,41.1062012
295.0329895,3746.2600098,51.5573997,462.1270142,250.5659943,16.9405003,398.3190002,3727.3798828,65.2593994,417.7390137,237.5399933,12.3081999,221.6589966,88.4945984,39.5307999,227.2019958,94.2432022,42.9585991
390.9909973,3404.8300781,43.5957985,453.7479858,253.5350037,17.3267994,462.8299866,3452.0900879,57.476799,415.6549988,256.6610107,10.6310997,212.2630005,65.5047989,37.9734001,199.6640015,77.9804993,40.7159004
309.5069885,3578.3000488,42.1408005,432.3089905,219.8540039,14.6871996,362.7229919,3561.1899414,56.1063004,396.5889893,211.5809937,9.05439,214.0899963,71.7077026,38.9129982,203.1179962,79.8792038,41.4688988
322.6579895,3503.8000488,42.452301,434.4079895,229.6130066,15.2312002,388.4689941,3514.4399414,57.4281006,398.7770081,232.1459961,9.2418203,219.2519989,68.8851013,39.7314987,200.7700043,81.3703003,42.9014015
281.9899902,3774.7900391,51.1987991,457.3900146,231.223999,15.5275002,354.3779907,3787.6101074,63.6767006,414.9330139,221.151001,10.3479996,220.1340027,84.9720993,39.5365982,217.602005,94.1648026,42.8507996
319.5140076,3561.7600098,43.1548004,439.0950012,231.477005,15.4341002,380.5490112,3559.1201172,59.0177994,399.7539978,234.4080048,9.1685305,222.720993,71.1458969,40.5228004,204.223999,81.4011002,43.2985992
275.6059875,3767.7900391,46.2781982,437.1419983,206.8569946,13.6022997,324.7399902,3780.2600098,60.0551987,405.1359863,201.6230011,9.0227003,218.0579987,75.5210037,39.4081993,203.0070038,86.8336029,42.3114014
282.2810059,3779.2600098,44.6214981,433.9219971,211.0110016,13.2349005,327.5950012,3725.4199219,59.709301,402.5820007,202.8899994,8.8683901,218.4759979,78.8862991,39.2825012,209.0039978,81.3634033,42.2036018
280.5450134,3787.1298828,44.8436012,434.1820068,210.1029968,13.2167997,326.4339905,3732.5400391,59.8036003,402.9020081,201.0119934,8.8914604,218.5359955,78.922699,39.2956009,208.7890015,81.6899033,42.1987
285.5140076,3799.0800781,48.2924995,447.70401,227.8860016,14.6152,343.6159973,3799.5900879,63.4585991,410.6659851,229.8930054,9.17659,219.7630005,83.4965973,39.4039001,219.4600067,88.7006989,42.8595009
345.3710022,3554.6699219,39.6559982,428.598999,224.9669952,16.7716007,381.269989,3503.5800781,51.0704994,392.3259888,199.9210052,9.90065,211.5099945,65.5835037,38.0957985,201.9029999,77.1604004,40.601799
297.1470032,3772.1599121,46.0382996,457.3529968,249.5140076,16.7201996,407.6830139,3707.0900879,62.4688988,416.1459961,237.6000061,11.9364004,220.3269958,80.4272003,39.4665985,219.0540009,91.2143021,42.8311996
344.0499878,3472.1999512,39.4001999,427.9719849,229.5359955,16.7119999,386.7680054,3463.4699707,50.4500999,389.0859985,217.5910034,9.7478905,211.8139954,65.4912033,38.0945015,201.4790039,77.6766968,40.5480003
293.598999,3752.5900879,54.1487007,457.5690002,239.4859924,15.8312998,362.2049866,3779.1201172,65.6100998,413.8389893,233.5189972,10.1871004,221.6629944,86.2095032,39.5294991,223.5850067,94.4336014,43.0559998
299.8469849,3672.1599121,43.4827995,433.230011,219.0160065,13.7596998,348.4760132,3653.6398926,59.286499,400.8070068,221.3560028,8.8026199,217.7689972,75.4419022,39.2131004,206.1410065,81.4070969,42.1977005
323.2340088,3581.7199707,38.0666008,422.9490051,220.9559937,16.0851994,368.3510132,3556.8400879,51.3652,391.230011,205.4960022,9.5361004,210.1349945,66.0824966,38.0313988,197.9349976,78.8630981,40.5191994
308.3429871,3614.8601074,43.2491989,431.8590088,220.4179993,13.8753004,356.7600098,3609.9899902,58.7570992,399.256012,224.2749939,8.8160896,217.4219971,73.4738007,39.1814003,203.5549927,81.1535034,42.1081009
293.8919983,3767.5100098,49.5507011,457.1279907,245.6880035,16.4564991,391.6730042,3735.1499023,64.8528976,415.8940125,237.7480011,11.5431995,221.1920013,84.0963974,39.4939995,222.6699982,92.5962982,42.9136009
379.7590027,3310.1201172,41.598999,436.1719971,244.8009949,17.1947002,431.0109863,3334.2399902,54.2375984,394.2170105,246.4230042,9.8576603,211.8789978,63.6441994,38.5845985,198.0859985,74.2070007,41.2589989
308.1440125,3645.7199707,43.3730011,439.6990051,231.6179962,14.8608999,381.2680054,3623.9899902,60.4225006,404.3590088,236.6139984,9.2310801,217.7749939,72.672699,39.240799,204.1049957,84.8059998,42.2965012
295.6029968,3743.1999512,55.9800987,456.7940063,240.6600037,15.8940001,366.0119934,3771.4199219,66.4554977,411.6809998,235.7910004,9.8320704,223.5059967,84.9898987,39.5575981,225.1490021,94.4429016,43.2060013
380.5020142,3476.1398926,40.8269997,436.6919861,237.5800018,17.1674995,420.9370117,3445.4399414,52.3078995,397.723999,219.8289948,10.0578003,211.6940002,64.450798,38.5890007,201.4660034,75.1216965,41.2728996
426.2470093,3326.0,44.3097992,451.1690063,259.4639893,17.1541004,491.3399963,3361.2900391,58.1162987,415.3930054,267.5119934,10.2697001,210.4550018,63.5432014,38.5042,195.0149994,71.2266006,41.2697983
322.7879944,3526.7399902,42.5793991,437.0369873,233.552002,15.5003004,395.2709961,3530.9399414,58.0872002,400.5490112,236.9029999,9.4122696,219.4960022,68.9669037,39.7596016,201.5469971,82.5541,42.9757996
396.7600098,3257.6000977,42.6228981,441.427002,250.6100006,17.1422997,457.5390015,3306.1899414,56.787899,402.9159851,257.5669861,10.0199003,211.1369934,63.4838982,38.5433006,194.3119965,73.6856003,41.3974991
288.0379944,3775.0500488,51.9608994,454.8770142,231.3200073,15.3070002,350.2080078,3792.8601074,64.3384018,414.2000122,225.8500061,9.9389296,220.3000031,85.5373993,39.5061989,220.0740051,93.6300964,42.9306984
