H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
84.0705032,1889.3699951,5.51052,64.1977005,63.8646011,5.2211099,85.3275986,1926.0500488,6.5466499,51.1439018,66.6735992,3.1159999,209.9250031,64.4203033,38.4864006,196.2599945,74.1621017,41.1062012,0.0
49.5483017,2068.6499023,4.7298698,61.7854996,66.4983978,2.9663301,50.2513008,2075.3100586,6.0799499,50.2738991,62.8368988,1.87453,221.6589966,88.4945984,39.5307999,227.2019958,94.2432022,42.9585991,0.0
79.4244995,1911.8399658,5.3101301,63.8289986,63.7476006,4.9632201,79.4685974,1941.0699463,6.35286,51.2750015,65.0758972,2.9196501,212.2630005,65.5047989,37.9734001,199.6640015,77.9804993,40.7159004,9.0
57.4617996,1999.4499512,4.4118199,62.5419998,58.5026016,3.2668099,56.6537018,2049.9899902,4.3186698,49.7509003,57.6899986,1.88253,214.0899963,71.7077026,38.9129982,203.1179962,79.8792038,41.4688988,27.0
65.572197,1973.2399902,4.7875099,62.7010002,60.5704002,3.7168801,64.9906006,2020.2199707,4.9741998,49.9967995,61.9497986,2.0646901,219.2519989,68.8851013,39.7314987,200.7700043,81.3703003,42.9014015,9.0
44.8737984,2089.1298828,4.1784501,61.3370018,61.3933983,1.94839,49.9836006,2087.0200195,5.4900799,50.1892014,57.1969986,1.44372,220.1340027,84.9720993,39.5365982,217.602005,94.1648026,42.8507996,0.0
62.6823997,1991.4699707,4.6498499,62.8633003,61.030899,3.6754501,61.9021988,2034.5400391,4.8954601,49.8181992,62.0904999,1.9844199,222.720993,71.1458969,40.5228004,204.223999,81.4011002,43.2985992,9.0
43.9748001,2069.5500488,3.7888501,60.7765999,54.7402,1.79592,48.4001007,2090.7800293,4.1841302,50.0358009,52.2476006,1.3056901,218.0579987,75.5210037,39.4081993,203.0070038,86.8336029,42.3114014,0.0
46.8129997,2054.6298828,3.82583,60.8975983,55.4375,2.38026,46.4681015,2082.5600586,3.72911,50.0033989,52.7246017,1.52781,218.4759979,78.8862991,39.2825012,209.0039978,81.3634033,42.2036018,0.0
45.9802017,2057.9899902,3.8006899,60.8778992,55.2510986,2.29181,45.9082985,2084.6999512,3.7278399,50.0026016,52.2071991,1.49976,218.5359955,78.922699,39.2956009,208.7890015,81.6899033,42.1987,0.0
47.7300987,2083.1398926,4.17943,61.2845001,60.1169014,2.4472001,50.2886009,2093.0800781,4.84551,50.1282997,59.3210983,1.4005899,219.7630005,83.4965973,39.4039001,219.4600067,88.7006989,42.8595009,0.0
58.3446999,2006.8399658,5.1223202,64.1622009,61.3438988,3.8353701,56.5592995,2043.8900146,4.91995,50.8186989,56.9538994,2.0979199,211.5099945,65.5835037,38.0957985,201.9029999,77.1604004,40.601799,27.0
51.6367989,2051.5200195,4.9714699,61.7655983,66.0981979,3.2794499,51.4967995,2060.9799805,6.0683298,50.2491989,63.5838013,1.92237,220.3269958,80.4272003,39.4665985,219.0540009,91.2143021,42.8311996,0.0
62.135601,2000.8000488,5.0520301,64.0643005,61.9668007,4.0159202,59.9448013,2041.8599854,5.0843601,50.7667999,59.5797997,2.0115399,211.8139954,65.4912033,38.0945015,201.4790039,77.6766968,40.5480003,0.0
49.0560989,2086.5800781,4.3899002,61.5587006,63.6766014,2.4893899,50.7953987,2085.9399414,5.4928598,50.2170982,60.7911987,1.50494,221.6629944,86.2095032,39.5294991,223.5850067,94.4336014,43.0559998,0.0
54.9398994,2022.8699951,4.11904,61.0696983,57.3147011,3.0693901,54.1057014,2062.1000977,4.1045499,50.026001,57.9085999,1.75719,217.7689972,75.4419022,39.2131004,206.1410065,81.4070969,42.1977005,0.0
55.0834007,2026.7700195,5.0542402,63.8764992,60.0640984,3.72913,54.7014008,2068.1599121,4.8632398,50.7092018,57.2986984,1.7618099,210.1349945,66.0824966,38.0313988,197.9349976,78.8630981,40.5191994,27.0
58.5500984,2006.5100098,4.1902099,61.0978012,57.6043015,3.32529,57.2784996,2049.1699219,4.1679902,50.0270004,58.9000015,1.87879,217.4219971,73.4738007,39.1814003,203.5549927,81.1535034,42.1081009,0.0
49.8964996,2067.4899902,4.73979,61.7038002,65.3415985,3.0033,49.9780998,2080.4299316,5.81214,50.2378998,63.3128014,1.77922,221.1920013,84.0963974,39.4939995,222.6699982,92.5962982,42.9136009,9.0
73.5549011,1937.0999756,5.2274098,64.3202972,63.9406013,4.6427999,73.3658981,1989.1400146,5.7795401,51.0285988,65.8991013,2.5406799,211.8789978,63.6441994,38.5845985,198.0859985,74.2070007,41.2589989,0.0
58.3815994,2015.8900146,4.5658598,61.3506012,60.8255997,3.4753599,57.3790016,2054.9199219,4.96907,50.0892982,62.8129005,1.88168,217.7749939,72.672699,39.240799,204.1049957,84.8059998,42.2965012,18.0
49.777401,2081.0800781,4.4667301,61.6315994,64.2514038,2.6171899,50.2457008,2089.7399902,5.4533701,50.2019005,61.846199,1.47177,223.5059967,84.9898987,39.5575981,225.1490021,94.4429016,43.2060013,0.0
66.9791031,1971.2399902,5.0769401,64.4310989,62.4930992,4.3917999,66.6761017,2008.0799561,5.4970198,51.0674019,59.8684006,2.43768,211.6940002,64.450798,38.5890007,201.4660034,75.1216965,41.2728996,9.0
84.0998001,1877.0799561,5.44698,64.3201981,63.9982986,5.2659602,88.7451019,1901.9499512,6.7158098,51.1787987,66.3640976,3.4528201,210.4550018,63.5432014,38.5042,195.0149994,71.2266006,41.2697983,27.0
65.4054031,1978.3499756,4.8677001,62.7523994,61.5405006,3.73788,64.6942978,2020.8199463,5.1888599,50.0228004,63.0377007,2.0537901,219.4960022,68.9669037,39.7596016,201.5469971,82.5541,42.9757996,18.0
78.9661026,1890.0799561,5.3021598,64.3220978,63.8389015,4.92133,81.9456024,1944.6099854,6.1534801,51.1170998,67.2779007,3.0901201,211.1369934,63.4838982,38.5433006,194.3119965,73.6856003,41.3974991,18.0
