Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.387799,54.4720993,0.890759,280.4020081,33.5345993,6.49225,0.378996,41.1960983,0.753636,206.5059967,27.4911995,3.8710301,241.8849945,97.6808014,37.2853012,210.5850067,109.5530014,31.5662003
0.404355,41.8941994,1.0047801,273.6239929,27.7943001,6.5117502,0.415382,33.3661003,0.76184,214.7929993,22.6669998,4.28369,233.201004,97.1567001,43.2729988,224.0169983,113.1389999,41.6730003
0.274326,45.5619011,0.921906,247.9470062,30.0869999,6.1300402,0.290696,35.2780991,0.759393,200.0690002,23.7502995,3.80251,245.3370056,92.3768005,42.9333,216.1869965,105.1500015,37.5788002
0.248743,40.2484016,0.803644,240.7290039,26.1779003,5.4689598,0.232167,31.7285995,0.716558,200.3910065,19.5016994,3.8815801,221.9210052,89.0772018,132.654007,214.8910065,103.1169968,46.4068985
0.401445,45.7829018,0.709902,279.7200012,28.1763,5.7466898,0.544044,37.1899986,1.00486,208.3769989,23.8875008,4.0867,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.1245003
0.350399,31.1189003,0.971824,250.0420074,24.2007008,6.3949599,0.30795,26.6749001,0.799562,207.4550018,18.0415001,4.2999301,229.5610046,99.9247971,43.0023003,230.6629944,111.5599976,41.5385017
0.381005,54.7462997,0.894389,271.3479919,33.2288017,6.5775399,0.380181,42.0401001,0.772537,204.677002,26.5790005,3.80231,240.4230042,93.6722031,39.5293007,210.5240021,106.3069992,33.4627991
0.323258,33.0728989,0.907058,248.2369995,25.0130005,6.42062,0.312741,28.3588009,0.738455,207.151001,19.0821991,4.32936,231.2640076,99.9292984,41.6349983,228.5399933,113.2030029,42.2725983
0.496369,42.589901,0.877032,274.2789917,28.1009007,6.6352901,0.525884,33.9040985,0.856951,215.4409943,24.0177994,4.4103498,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.2431984
0.306777,48.6325989,0.860504,272.7749939,31.0431004,6.4984698,0.344977,38.0579987,0.761906,208.625,24.3213997,3.86831,246.7250061,91.9241028,41.6957016,215.4309998,107.0770035,38.7095985
