DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
436.6480103,2791.1101074,68.3798981,318.9729919,223.8059998,40.0110016,418.7000122,2894.7099609,70.9954987,261.0669861,209.8849945,27.4326992,95.9643021,2712.5200195,11.8238001,75.7220993,57.2868996,40.2215004,121.5469971,2613.7600098,17.0221004,65.4517975,54.3249016,30.7567997,177.0950012,45.2761002,18.1893997,149.2720032,55.9886017,18.7155991,33.8
296.5870056,2492.7700195,36.1503983,260.2749939,209.8049927,39.0178986,250.8529968,2579.6999512,53.3376999,205.9790039,202.4340057,29.3015003,109.4970016,1793.2900391,14.2354002,59.4623985,52.8984985,35.1450996,66.6387024,1855.1800537,7.1520801,60.7260017,60.1581001,27.0666008,180.3639984,43.1095009,17.0648003,146.3840027,54.7979012,17.1590996,0.0
328.2279968,2973.9499512,45.7783012,330.3089905,211.4470062,36.8153992,308.2770081,3034.4399414,57.3474998,282.151001,205.7879944,26.2583008,84.7894974,2561.3798828,9.91152,67.4372025,57.303299,33.3653984,81.5302963,2563.9899902,9.7093,68.186203,55.8630981,26.1534996,163.5939941,51.0317993,18.3722992,147.2870026,62.3815002,18.4652004,11.3
185.7559967,3248.4399414,38.2921982,342.3349915,176.2689972,10.8625002,220.0630035,2613.7700195,69.7360001,242.4140015,142.5789948,5.9772301,63.1842003,2909.3500977,5.4665699,57.533699,36.5611,4.7213001,62.546299,2921.6398926,5.5199399,66.8936996,36.1329002,4.1227198,171.326004,57.0073013,19.7992992,158.6529999,66.4981995,21.0723991,0.0
459.6059875,2284.4099121,73.8255997,256.553009,224.8209991,42.0261993,463.9859924,2470.0200195,76.1131973,196.5720062,212.1439972,31.0165005,131.2680054,1452.2199707,18.1434994,64.5218964,72.0854034,44.7123985,125.0569992,1316.2800293,18.5074005,60.4365997,76.3896027,34.5582008,186.2149963,35.9715996,16.8540001,143.5850067,47.5046997,15.9805002,0.0
535.1820068,2290.4899902,95.1772995,263.5369873,270.3439941,47.3376999,545.8189697,2436.1398926,93.6980972,202.2420044,231.0590057,33.3888016,133.2369995,2038.4899902,18.8325996,76.2652969,86.6252975,63.3487015,182.776001,1803.0500488,30.1065998,61.0332985,75.6712036,48.4440994,193.9299927,30.5405006,17.0028,142.5950012,43.2916985,16.5251007,33.8
274.2510071,3270.8400879,44.4784012,342.0539856,171.2619934,10.8386002,301.3580017,2815.1899414,69.3694992,256.7999878,143.9109955,5.8685899,65.9088974,3090.8400879,5.9593601,62.0196991,46.5523987,5.06389,51.8027992,3278.7700195,5.3056402,66.8047028,45.4557991,3.63886,158.7850037,57.8291016,19.9722004,148.6829987,69.3822021,18.3752995,0.0
381.67099,2353.25,55.1638985,259.4259949,216.5330048,40.0780983,365.1440125,2544.1398926,64.4092026,203.0330048,205.9869995,29.8966999,121.3970032,1602.1099854,16.3995991,60.9975014,62.7503014,39.0555992,93.3043976,1526.3599854,12.3275003,60.8067017,69.3563004,30.2367992,183.6660004,39.3422012,17.0723991,144.3950043,51.4539986,16.8435993,22.5
294.1789856,3259.25,43.4609985,344.1480103,172.6430054,11.0527,317.9049988,3089.8200684,54.3442001,283.4320068,154.8959961,6.2169199,63.4952011,2971.2700195,5.57056,60.5681992,58.8857994,5.3151898,72.4578018,2903.8798828,6.5069499,67.1147995,58.9025002,4.0837898,150.401001,58.0589981,20.2660999,148.3049927,70.2457962,18.7805996,11.3
450.6789856,3279.3300781,44.353199,349.1199951,166.3619995,11.6595001,429.3850098,3054.7299805,61.040699,277.0570068,148.7109985,6.4221201,68.0851974,3373.8798828,6.6100402,66.0475006,46.8347015,5.0431199,56.4958992,3673.1999512,6.5171599,68.0123978,45.8440018,3.4297099,161.8569946,64.8800964,20.0667992,146.4450073,81.089798,18.0373001,0.0
373.2980042,3303.25,48.5629005,349.5069885,166.4210052,11.6125002,326.348999,3346.6101074,51.2388,307.881012,162.3280029,6.7581301,61.2554016,3207.0400391,5.6466498,64.3554001,42.1685982,4.82974,63.5239983,3223.4399414,6.76864,67.1913986,42.8986015,3.9874201,171.3000031,58.4855995,20.4613991,153.2330017,71.8815994,21.1114998,0.0
334.7090149,3271.2299805,45.8238983,344.6579895,165.7700043,11.4558001,338.6539917,3336.2700195,51.1800003,306.2600098,163.9490051,6.6574998,62.1837997,3025.3701172,5.4903498,62.1829987,62.3049011,4.9755602,63.5337982,2973.1799316,5.88972,67.5064011,61.8339005,4.1177101,156.8289948,59.0004005,20.3071995,149.0140076,71.0936966,20.2903996,22.5
469.0950012,2432.1499023,73.7014999,266.1119995,255.5870056,44.9415016,480.7160034,2528.4099121,77.4937973,211.3760071,226.0429993,31.6243992,120.7720032,1838.7900391,16.6266994,71.8507996,95.569397,56.9323006,135.095993,1793.25,21.2952995,61.1080017,92.3566971,45.0716019,161.8910065,33.7435989,16.7192001,136.9349976,48.4682007,14.2103004,0.0
370.3840027,3295.6101074,48.3970985,349.0960083,167.0330048,11.6659002,330.4190063,3343.5600586,51.1632004,308.2799988,162.5070038,6.7797699,62.0503998,3176.2199707,5.6923499,64.0972977,42.7550011,4.86129,60.5098991,3203.1000977,6.3740401,67.3059006,43.2955017,4.08674,171.1130066,57.8530998,20.4291,153.7660065,70.703598,21.3953991,0.0
