DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
228.5010071,165.1959991,119.3270035,34.6729012,38.0513992,2.9971499,253.0310059,180.1990051,134.6529999,33.4315987,41.1772995,3.1336999,217.5839996,68.232399,39.4905014,201.8480072,82.8462982,43.3377991
242.8480072,174.1380005,135.2910004,36.5607986,40.6542015,2.96119,263.6849976,178.0379944,140.4140015,35.2829018,43.7747002,3.1094401,210.9790039,63.1223984,38.5228996,208.4689941,68.6596985,41.1715012
258.4519958,184.9360046,147.7019958,40.1435013,41.3905983,3.15892,275.0320129,190.3679962,156.102005,37.703701,43.1661987,3.6012101,218.2929993,77.1365967,39.3400002,205.7149963,83.4459,42.2155991
261.3510132,196.7830048,155.0970001,40.5438995,41.6295013,3.18103,276.4970093,206.0870056,162.7949982,38.1016998,43.6072006,3.6121199,219.8289948,84.0587997,39.4199982,219.9929962,89.4618988,42.8857002
262.5979919,179.4320068,139.0209961,39.0340004,43.1488991,3.1767099,283.2210083,191.7929993,150.3730011,36.8641014,45.4771996,3.3262401,216.3359985,70.1079025,38.3819008,199.9400024,80.7361984,41.8037987
246.7740021,185.3179932,127.0479965,34.6039009,41.5331993,2.9145701,267.1499939,206.3509979,137.8930054,32.8362999,44.3116989,3.07107,209.3809967,67.4291992,37.7430992,198.147995,79.1079025,41.0242004
235.8170013,168.2319946,115.6689987,34.9644012,40.0685005,2.9358301,261.4599915,190.2129974,129.904007,33.982399,43.344101,3.0239501,210.1519928,64.2882996,38.5029984,193.3059998,75.1517029,41.0696983
238.8430023,184.279007,122.0709991,35.4429016,40.4001999,2.94697,262.7359924,204.4790039,133.1179962,34.3322983,43.6057014,3.0318699,211.2630005,63.5609016,38.540699,198.7380066,71.4891968,41.3083992
253.4869995,177.3990021,132.9530029,36.8288002,42.2084999,3.04527,272.9060059,191.5370026,142.8939972,34.7605019,44.5297012,3.23788,211.8390045,69.2667999,38.1930008,197.0919952,80.1722031,41.6111984
250.8630066,202.7279968,125.8580017,36.108799,42.0909004,2.9981799,271.2579956,224.3269958,138.048996,34.7125015,44.9733009,3.0511401,210.8560028,66.2530975,38.0661011,199.8240051,78.7496033,40.5549011
235.7359924,166.0500031,115.8270035,34.9048996,40.0290985,2.9298601,261.3500061,185.352005,129.9060059,33.9402008,43.3003006,3.02595,209.3090057,64.2443008,38.4518013,190.6620026,76.7510986,40.8933983
235.477005,171.8300018,114.2210007,34.8865013,40.0812988,2.94156,261.5369873,196.279007,129.3710022,33.9079018,43.3872986,3.01158,211.0599976,64.7408981,38.5643997,196.3179932,74.5370026,41.1693993
250.7250061,203.4799957,126.0090027,36.2582016,42.0484009,3.00315,271.1480103,219.0639954,138.0039978,34.8482018,44.9295006,3.03301,211.5070038,65.713501,38.0957985,201.8739929,77.3902969,40.5992012
252.3209991,167.4100037,132.552002,39.3488998,40.7097015,3.1647999,273.5950012,180.8540039,150.4640045,37.3722,42.8347015,3.46295,219.7259979,76.7120972,39.4398003,214.6569977,90.1352005,42.7879982
259.9440002,188.5180054,150.6029968,40.1212006,41.5038986,3.1656699,275.6940002,197.3470001,158.5039978,37.7999001,43.4245987,3.51069,218.3439941,77.5980988,39.2769012,209.7570038,84.3511963,42.4417
249.3639984,174.4409943,124.4950027,36.270401,41.9166985,2.99944,270.4159851,196.2109985,136.5180054,34.7384987,44.6660995,3.0632801,209.6390076,65.3984985,37.9127007,192.7149963,78.740097,40.137001
245.6900024,174.5429993,143.3509979,37.2151985,40.9006004,2.97405,264.6069946,176.8410034,145.2700043,35.7953987,44.0028992,3.14538,211.4559937,63.0822983,38.5261993,213.8200073,68.3110962,41.2142982
259.9320068,190.3280029,150.8919983,40.2433014,41.5357018,3.1625299,275.1329956,189.5149994,156.3789978,37.7160988,43.2338982,3.5624199,218.4409943,78.8207016,39.2771988,209.0610046,81.2649002,42.2081985
250.6900024,203.7870026,125.8160019,36.2336006,42.0541992,3.0030799,271.1940002,219.6159973,138.0559998,34.8214989,44.9438019,3.0362101,211.5220032,65.9473038,38.0970001,201.8760071,77.7979965,40.5965996
255.9109955,187.875,142.0559998,39.9906006,41.0792007,3.1828301,275.2619934,199.5249939,157.6549988,37.7825012,43.2276001,3.5986099,221.647995,87.3738022,39.5410995,224.5339966,94.9205017,43.0326004
236.1779938,166.0829926,117.1829987,35.075901,40.0710983,2.9342599,261.4960022,185.4060059,130.697998,34.0835991,43.3297997,3.0385101,209.753006,64.1607971,38.4761009,192.7149963,75.3005981,41.0261002
261.5929871,199.0780029,155.7870026,40.675499,41.6561012,3.1834099,276.5,207.6649933,162.9909973,38.1456985,43.6138992,3.63887,219.6759949,84.9511032,39.4487,220.2059937,91.1396027,42.924099
249.0119934,175.3350067,123.439003,36.225399,41.8914986,3.0002899,270.3160095,198.1660004,135.9440002,34.7174988,44.6596985,3.0554199,210.0299988,65.2249985,37.9463997,194.026001,77.8098984,40.2235985
256.3259888,188.8789978,143.0149994,40.0399017,41.1202011,3.1805301,275.2680054,199.7160034,157.5780029,37.7845993,43.2196007,3.6183901,221.0500031,87.4437027,39.542099,222.7250061,95.0603027,42.9847984
261.2829895,193.9859924,154.6349945,40.3876991,41.6166,3.17682,276.4060059,204.2830048,162.1759949,38.0259018,43.5982018,3.56282,219.2709961,81.4753036,39.3596001,215.2050018,87.5302963,42.7092018
243.3939972,166.1349945,127.2409973,36.9305,40.1505013,3.1321001,270.0289917,184.0390015,142.848999,35.5456009,43.417099,3.25962,218.1100006,67.0262985,38.8861008,197.5659943,82.764801,43.5172997
235.7299957,169.2380066,115.2519989,34.9732018,40.0775986,2.9385099,261.4760132,192.6809998,129.6600037,33.9854012,43.3540001,3.0216701,210.5509949,64.2910995,38.5266991,194.3589935,74.3795013,41.1542015
240.9680023,172.9859924,130.1410065,36.1561012,40.4911003,2.9535301,263.0710144,179.7070007,137.4869995,34.9580002,43.6347008,3.09179,210.6999969,63.2994003,38.5161018,204.4380035,69.4205017,41.1702003
239.7590027,183.7259979,124.9589996,35.6851006,40.469101,2.9500201,263.0,199.2749939,134.5829926,34.5287018,43.6416016,3.0448401,211.2160034,63.4942017,38.5377007,201.1199951,70.0522003,41.2739983
250.6959991,203.7030029,125.5960007,36.1727982,42.0714989,3.0016899,271.2630005,221.5169983,138.128006,34.7615013,44.9700012,3.0443499,211.3710022,66.3077011,38.0918999,201.4049988,78.4624023,40.5872002
259.6679993,194.7649994,151.2230072,40.4262009,41.4679985,3.1852901,276.3959961,208.3249969,162.3829956,38.0761986,43.5682983,3.61888,220.8789978,84.964798,39.4803009,221.4620056,92.4988022,42.9921989
252.6880035,176.9149933,137.5559998,39.3086014,41.030899,3.2377999,269.8070068,189.9329987,148.0809937,36.766201,42.864399,3.36376,222.6999969,71.0223007,40.5219002,204.0700073,81.343399,43.2916985
256.0050049,173.0650024,142.0279999,39.9099998,41.1511993,3.1538301,275.006012,189.3609924,155.7129974,37.6696014,43.1110001,3.6271701,217.8829956,74.1063995,39.4043007,200.8990021,86.3656006,42.2565002
235.7259979,171.0700073,115.026001,34.8885002,40.0811005,2.9373701,261.5400085,194.2610016,129.7709961,33.9174995,43.3806,3.0160699,210.4730072,64.6496964,38.5281982,194.4559937,75.5121002,41.0852013
238.1089935,185.0379944,119.2770004,35.1203003,40.3667984,2.9478099,262.7990112,209.076004,132.6029968,34.0780983,43.6801987,3.01612,211.7660065,63.3917999,38.5699005,198.5630035,75.0048981,41.243
235.8659973,174.1799927,114.8089981,34.9780006,40.1301994,2.9428101,261.6879883,201.4170074,129.3170013,33.9854012,43.405899,3.0191801,211.2850037,63.8016014,38.5601006,195.2359924,73.5114975,41.3571014
