H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
105.3560028,1885.7600098,13.7163,58.4646988,41.1912003,33.6932983,95.2529984,1968.9499512,10.4249001,60.6267014,45.3703995,26.0196991,181.3470001,41.7807007,16.9097996,151.0359955,52.4726982,17.0883999,0.0
100.3779984,2059.4099121,12.8470001,59.0127983,42.112999,32.6133003,81.8968964,2162.8000488,8.8110905,60.7416,45.4166985,25.1665993,174.3569946,43.5928001,17.0459003,148.8829956,55.1352005,17.4419994,11.3
116.6460037,2227.6499023,15.9905005,74.4514999,77.7890015,59.4342995,149.2100067,2213.4899902,23.4640007,61.1838989,71.3242035,46.1557999,168.5740051,34.6022987,16.8701992,140.8049927,47.4275017,15.2241001,0.0
64.3476028,3391.7900391,6.08459,67.9095993,41.5242004,4.98526,60.6348991,3569.2900391,6.6307302,67.0318985,41.1058998,3.49524,172.6820068,63.6040001,20.2891998,149.6119995,79.2251968,19.3281994,0.0
66.5749969,3174.7900391,6.1666002,63.6530991,50.9646988,5.1674099,55.7426987,3384.2299805,5.7066002,68.0902023,49.5680008,3.67291,156.9689941,61.1683998,19.9512005,146.6289978,74.9313965,17.8658009,0.0
133.5200043,1647.6800537,18.8243999,71.2509003,106.8710022,56.6972008,158.3370056,1453.7099609,27.3271008,60.9179001,92.7263031,43.5509987,190.8840027,31.2133007,17.1485996,140.5800018,44.1102982,16.6842003,0.0
66.1163025,3193.1298828,6.1389899,64.1966019,55.9584999,5.1914802,56.2266006,3388.4599609,5.6875701,68.2064972,54.1302986,3.61994,155.5149994,61.5662003,19.9197998,145.4170074,75.9106979,17.4591007,22.5
110.9919968,2426.1201172,15.0181999,73.1940002,62.5001984,54.2943993,162.4029999,2438.1000977,23.3689995,61.3073006,55.466301,41.8353996,174.2400055,37.2444992,17.0997009,142.2890015,47.0592003,16.0995007,22.5
130.25,1479.7600098,18.0282001,64.8723984,76.5156021,45.5045013,127.1039963,1347.4699707,19.0545006,60.4768982,81.4260025,35.3903008,183.253006,35.4616013,16.8286991,141.8589935,47.8376007,15.6545,0.0
91.0832977,2343.6499023,11.3156996,60.5127983,43.9676018,32.3875999,72.2144012,2449.8701172,9.1040497,60.9289017,43.8931007,24.9529991,164.8679962,45.3992004,17.2369003,147.0180054,57.8815002,17.8880997,0.0
115.8769989,2406.5700684,15.8844995,74.4980011,64.8013,56.7551003,174.3309937,2388.7399902,25.5447006,61.3442993,57.3819008,43.7391014,176.7129974,35.911499,17.0935001,142.2160034,45.7683983,16.0167007,22.5
125.935997,2228.3898926,17.6424999,87.5727997,98.8132019,87.7956009,155.5,2254.8500977,27.8057995,62.4716988,89.3498993,68.0021973,168.9100037,31.7537994,16.3696003,137.3730011,46.1231003,13.7639999,22.5
64.4251022,2952.4099121,5.5968399,58.2131996,40.1875992,5.0735698,57.0682983,3080.8798828,5.41962,67.0877991,39.2565002,4.2009201,162.1999969,57.4959984,19.5701008,154.5469971,67.1320038,19.5128002,0.0
129.2460022,1751.8299561,18.0932007,72.6965027,101.7070007,59.1521988,144.6130066,1630.7199707,24.1984997,61.1231995,91.9332962,46.3951988,173.4199982,32.5797997,16.7553997,136.802002,47.2985001,14.8653002,22.5
112.1579971,1744.5400391,14.7585001,59.7952995,54.0312996,36.2398987,79.7445984,1774.3900146,9.15662,60.7411003,62.5463982,28.0139999,181.1439972,41.7686996,17.0375996,145.9640045,53.5177002,16.9323006,11.3
94.0487976,2533.4799805,11.6288004,71.4080963,59.1414986,40.1585007,108.8539963,2462.1499023,14.6153002,65.3119965,56.2764015,31.0086994,171.5980072,45.1549988,18.6721992,149.6670074,56.3987007,18.4188995,22.5
138.4499969,1906.25,19.7091999,73.9262009,82.1331024,57.7527008,196.0930023,1654.1800537,31.6382008,60.7270012,71.6500015,43.9934998,199.3430023,31.5876999,17.0916996,144.7120056,40.7076988,16.7856007,0.0
104.9229965,1902.9200439,13.4966002,59.1239014,47.9673996,34.0512009,69.9807968,2001.1600342,7.1120601,60.7128983,54.9604988,26.2395992,179.026001,43.5769997,17.0461006,147.5590057,55.3204002,17.2728004,0.0
112.5419998,2166.5300293,15.2200003,71.0677032,73.2947006,53.1693993,133.1869965,2169.8400879,19.9524002,61.0010986,68.3368988,41.3377991,164.3540039,36.3121986,16.8666992,140.7259979,48.7783012,15.2874002,33.8
135.4570007,1515.2900391,19.0653,67.762001,93.1258011,50.0270996,149.3679962,1297.5899658,24.5883999,60.6239014,86.993103,38.6843987,188.4230042,32.8793983,17.0016994,141.2169952,45.0441017,16.2171993,0.0
143.4940033,1499.7800293,20.4097004,67.919899,80.4977036,49.4729004,164.8179932,1235.5899658,26.3705006,60.5325012,77.1409988,38.030899,193.0189972,33.0449982,16.9838009,143.9230042,43.1655998,16.4113007,0.0
127.2030029,2334.6799316,17.8467007,76.3363037,66.3442001,61.2602005,197.2050018,2248.2600098,29.8950005,61.0079002,59.0299988,46.9779015,185.0800018,33.5792999,16.8314991,144.0480042,43.0742989,15.9117002,33.8
63.1567993,2904.3400879,5.4581599,57.6099014,37.6833,4.8318801,70.1274033,2870.3000488,6.19836,66.8490982,37.8161011,4.2079,170.9550018,57.5186996,19.8204994,158.7279968,68.2806015,20.8803005,0.0
126.9540024,2325.6101074,17.8001003,80.471199,78.8336029,70.9813004,179.4629974,2218.5600586,29.2306004,61.4608002,70.5542984,54.598999,182.3269958,31.4018002,16.718399,141.5099945,44.9061012,15.4727001,0.0
63.8549995,3057.0800781,5.7548699,62.2652016,73.2233963,5.1145601,56.3520012,3120.4299316,5.1753998,67.6751022,70.5645981,3.8136401,148.6560059,59.1175995,20.0974998,145.3970032,72.1939011,17.5865002,22.5
137.2200012,1651.9399414,19.4570007,70.9481964,99.1738968,55.0200005,171.6549988,1405.5999756,29.1847,60.7574997,86.2879028,42.0228996,196.9369965,31.1506004,17.1779995,142.6959991,42.3031006,17.0303993,33.8
63.3578987,2907.2299805,5.4819598,57.5611,37.3535004,4.8998299,67.8158035,2907.1599121,6.08254,66.8766022,37.2938995,4.2557402,169.0390015,57.4164009,19.7681999,157.9100037,67.768898,20.5863991,0.0
65.2733994,3148.6201172,5.9990301,63.2672997,64.1580963,5.1431098,55.151001,3310.7399902,5.3597398,67.3280029,61.6076012,3.64431,152.0440063,60.6927986,20.1028004,145.9259949,74.5979996,17.1119995,22.5
111.810997,2475.9499512,14.8030996,74.0094986,58.5376015,51.6511993,164.4089966,2438.5500488,23.8967991,62.2900009,52.6385002,40.1208,185.2910004,38.0877991,17.7031994,149.0870056,47.8188019,18.0802994,33.8
104.3180008,2588.9599609,13.4681997,73.9220963,60.5345993,44.2491989,156.4290009,2545.5100098,22.5923996,65.8551025,57.2113991,34.2877007,179.7480011,41.5432014,18.3162994,144.602005,50.7277985,18.3801994,0.0
62.9673004,3103.5500488,5.7009401,63.2383995,54.9874001,5.0054402,56.9728012,3138.6398926,5.6069698,67.6339035,54.2098007,4.1194301,161.2660065,58.4583015,20.2313004,150.727005,70.9729004,20.4078999,0.0
65.4849014,3166.1599121,6.0392098,63.4252014,61.2588997,5.1317101,55.3003998,3341.6899414,5.4597998,67.2509995,58.9418983,3.6326301,153.2350006,60.9925003,20.1296005,146.378006,74.955101,17.2712002,22.5
126.2050018,1558.8699951,17.4680996,64.8660965,86.0950012,44.6516991,127.2819977,1420.7600098,19.0594006,60.4992981,88.6499023,35.5405998,172.272995,35.0667992,16.9834995,137.6069946,49.3746986,14.8423004,0.0
