H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
48.2731018,2100.75,4.5309801,65.3022995,41.530899,6.0441599,55.7229004,2119.1899414,4.8277502,48.2487984,36.9178009,1.89461,241.8849945,97.6808014,37.2853012,210.5850067,109.5530014,31.5662003,0.0
35.9305992,2033.0500488,4.5048399,67.7619019,42.4496002,2.6386001,41.1386986,2019.8499756,4.9357901,53.8376999,40.1769981,1.64303,233.201004,97.1567001,43.2729988,224.0169983,113.1389999,41.6730003,22.5
53.8698997,1952.6099854,4.4317098,64.6911011,41.4016991,2.6219699,56.3075981,1976.2399902,4.68576,50.0718002,35.6175003,1.6435601,245.3370056,92.3768005,42.9333,216.1869965,105.1500015,37.5788002,22.5
56.0437012,1907.2700195,4.1173301,66.626503,39.8028984,1.75977,62.3035011,1933.5400391,4.79737,52.7985992,35.3221016,1.49353,221.9210052,89.0772018,132.654007,214.8910065,103.1169968,46.4068985,0.0
39.2695007,2150.8701172,4.6549501,66.6740036,39.8941994,2.97509,44.4571991,2172.0100098,4.9507899,50.3067017,37.6479988,1.6993901,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.1245003,0.0
42.6176987,1944.6500244,4.0123601,69.6171036,42.3418999,1.81243,50.3801994,1959.4200439,4.7912402,58.1390991,38.1636009,1.61629,229.5610046,99.9247971,43.0023003,230.6629944,111.5599976,41.5385017,0.0
47.4424019,2070.25,4.53161,64.7613983,41.6544991,4.25805,54.1492004,2094.3300781,4.9440598,48.4875984,36.7268982,1.77867,240.4230042,93.6722031,39.5293007,210.5240021,106.3069992,33.4627991,28.2
43.8576012,1951.5500488,4.1691098,67.7315979,41.9588013,1.9357899,49.907299,1963.3900146,4.75348,56.6500015,37.8903999,1.5988899,231.2640076,99.9292984,41.6349983,228.5399933,113.2030029,42.2725983,0.0
33.2979012,2221.25,4.7009802,68.0317001,42.4320984,4.3158302,38.8167,2204.1899414,4.9714298,51.6141014,40.5653,1.7995,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.2431984,0.0
45.5275002,1980.4599609,4.3944602,67.7450027,41.9875984,2.813,50.5365982,2007.4300537,4.68188,51.1677017,36.9145012,1.67563,246.7250061,91.9241028,41.6957016,215.4309998,107.0770035,38.7095985,16.9
45.6820984,2149.4599609,4.5001898,66.0066986,41.6245995,6.4583101,54.0934982,2165.5900879,4.8313699,47.8174019,37.2401009,1.9516,241.7299957,98.9709015,37.1883011,210.2630005,110.3840027,31.4825993,0.0
42.2321014,2143.0100098,4.7023902,64.2518997,41.4062996,4.4028602,48.8805008,2125.1999512,4.9902301,48.8753014,38.0806007,1.78177,233.0720062,99.3500977,36.2985001,207.3679962,111.3219986,30.9466991,0.0
34.7412987,1963.6199951,4.2904801,69.1966019,41.6879005,2.2655101,40.8969994,1976.9000244,4.9748502,55.4776001,40.112999,1.62362,228.7969971,94.9377975,41.2480011,231.0740051,116.1070023,41.7627983,0.0
35.9844017,2096.0600586,4.5128798,65.0807037,41.540699,2.9660201,41.9752998,2080.3999023,4.9906702,52.9455986,40.0014992,1.80628,226.7799988,99.0551987,40.618,218.2129974,114.401001,40.7601013,0.0
35.6607018,2128.9699707,4.5336499,68.9354019,42.6918983,3.5548501,41.3081017,2121.4199219,4.9310398,53.6464996,40.1493988,1.7357301,219.9329987,104.9990005,139.3059998,207.8699951,116.4520035,48.8698997,16.9
36.0909004,2181.5,4.46345,69.5690002,43.6114006,5.2121701,42.5965996,2171.5,4.8691101,50.8563004,39.8778,1.91561,238.8869934,105.9469986,39.6785011,218.772995,119.8570023,38.9556999,0.0
41.3801994,1944.3299561,4.05688,68.9766998,42.1198006,1.82628,48.8053017,1960.1199951,4.7544899,58.4888992,38.262001,1.60579,231.9559937,101.9199982,41.8525009,234.2749939,113.75,42.428299,0.0
42.8624992,2121.4799805,4.5414,69.5903015,39.7621002,2.5766001,48.1245003,2146.9399414,5.0880599,50.8988991,36.9808998,1.50172,210.6569977,101.9020004,142.7079926,190.8869934,107.5680008,40.4659996,0.0
41.1828003,1941.0300293,4.51863,67.0839996,40.3876991,2.16065,47.2621994,1975.4899902,4.8771601,50.7733994,36.5155983,1.48622,219.8650055,89.1001968,137.6860046,210.3329926,104.5550003,43.9920006,0.0
55.3167,1970.1400146,4.28091,68.0840988,39.453701,1.9158,60.3162003,1995.3699951,4.7666001,49.9929008,35.2505989,1.48963,221.697998,90.0249023,137.1329956,206.7299957,104.4749985,48.6174011,0.0
50.3520012,1953.7299805,4.3563399,67.5184021,39.964901,1.96084,56.0667992,1985.8299561,4.80688,50.2636986,35.3792,1.48277,220.348999,89.5826035,136.647995,206.2709961,103.8119965,47.1142998,28.2
48.6907997,2077.1899414,4.5622101,64.8915024,41.4105988,5.3541799,56.4687996,2107.9599609,4.9654999,48.4687004,36.7765999,1.79447,238.2149963,96.6392975,36.8033981,209.9089966,108.6640015,31.2245007,0.0
40.1753998,1934.8499756,4.6009302,66.4726028,39.8480988,2.20403,45.9009018,1962.0300293,5.05899,50.6311989,36.6640015,1.49836,214.5269928,87.6334991,135.1580048,210.3710022,104.6460037,42.3697014,0.0
40.2541008,2167.0900879,4.6698799,64.6119003,41.5488014,5.4014401,47.9914017,2187.7099609,4.8372798,49.0881996,38.3200989,1.97366,238.5879974,102.6839981,36.7747002,208.875,113.4250031,31.3006992,0.0
46.0049019,1976.5500488,4.2451301,68.5344009,40.9930992,2.0478001,51.7430992,1971.3299561,4.8733201,53.5304985,37.2794991,1.49875,224.4600067,93.6951981,108.7289963,216.628006,107.3219986,46.4458008,0.0
56.6483994,1909.9899902,4.3384299,64.4344025,41.2859001,1.88719,57.6248016,1930.3399658,4.6726198,51.4576988,35.0667,1.55918,244.572998,93.2702026,43.0125999,215.8549957,104.3099976,37.7333984,0.0
40.9602013,1957.2900391,4.14463,68.678299,42.0914001,2.00752,47.6245003,1969.4200439,4.7575302,57.1375008,38.4426003,1.61026,231.5339966,100.8180008,41.7008018,231.1080017,114.2389984,42.3250999,0.0
35.7028008,1977.6600342,4.3873801,70.0211029,43.2798004,2.3352101,41.3890991,1984.3000488,4.8768601,55.3214989,40.0113983,1.61746,238.6950073,96.4646988,42.7400017,228.9340057,115.2279968,41.3261986,0.0
47.2322998,2115.4399414,4.52385,65.483902,41.5559006,6.1466599,55.0559006,2133.3100586,4.8291001,48.1134987,37.0210991,1.91168,241.7830048,97.8707962,37.2557983,210.4830017,109.7450027,31.5370998,0.0
34.8408012,2035.4200439,4.5349202,68.3828964,42.0946007,2.60306,39.9654007,2014.4300537,4.8544302,53.8928986,40.2202988,1.66603,230.9869995,97.072197,40.8624001,228.4570007,116.2340012,41.4966011,22.5
51.1343994,1913.0500488,4.58323,64.4499969,41.1539001,2.15558,54.7649994,1941.7800293,4.6442599,50.1450996,35.0900002,1.59742,248.1929932,90.444603,42.4319,216.2960052,105.5530014,39.9841003,0.0
46.6006012,2097.3898926,4.5153298,68.0,39.7391014,2.3220201,50.4973984,2115.0900879,4.9463601,49.8538017,36.1083984,1.57233,215.3820038,98.4651031,137.276001,197.6369934,107.5449982,40.6542015,0.0
61.1258011,1914.0,4.1855898,66.1378021,39.6580009,1.79452,66.2310028,1939.3599854,4.8042698,50.5163002,34.7809982,1.48615,219.9730072,85.2473984,134.0529938,208.1360016,101.4319992,46.2388,0.0
51.2028008,2013.4399414,4.4400401,66.9962997,39.8459015,2.01139,56.3377991,2040.8900146,5.0581198,50.1329994,35.6651001,1.48172,214.3659973,92.6146011,136.7279968,201.6089935,104.0920029,42.4650993,0.0
62.1901016,1896.8499756,4.1038198,66.0276031,39.7182999,1.73239,67.4673004,1917.4200439,4.79883,51.3045006,34.5978012,1.4882801,220.6470032,83.221199,131.503006,208.4340057,100.2009964,46.2370987,0.0
46.5289001,2127.7800293,4.5159798,65.6500015,41.5783997,6.2118001,54.5876007,2145.1000977,4.83008,48.0017014,37.1036987,1.92599,241.7299957,98.1173019,37.2319984,210.3619995,109.9189987,31.5154991,0.0
