Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.966767,96.1727982,1.33792,609.4719849,81.2509003,54.5064011,1.0099601,80.501503,1.31792,389.9349976,66.6886978,46.9295998,349.8999939,106.5670013,52.1763992,336.0020142,121.8909988,46.6118011,3.4
0.951448,92.6035995,1.32019,583.4420166,78.5370026,52.1595993,0.981747,78.2683029,1.3168499,377.6740112,64.7767029,46.0079002,347.4580078,109.6689987,50.0900002,340.8190002,122.3150024,47.7364998,0.0
0.95367,116.5699997,1.47881,590.940979,96.8531036,56.7005005,1.04672,101.9639969,1.51552,386.7070007,83.0435028,50.5430984,357.2900085,100.6750031,48.1147995,346.401001,113.0039978,48.4962997,0.0
1.03971,87.0939026,1.3216799,618.1380005,74.6103973,55.4230995,1.09039,73.5981979,1.3046401,449.7019958,63.4977989,49.6622009,349.7659912,114.336998,52.2016983,351.1650085,132.5070038,50.243,0.0
1.1517,88.9494019,1.36028,573.802002,72.9394989,53.3226013,1.13481,74.3844986,1.26519,397.0840149,61.0153008,44.1367989,337.1640015,108.9560013,51.6071014,338.3099976,125.6289978,48.3050995,0.0
1.1526901,150.1750031,1.8591,584.3309937,126.9410019,56.7113991,1.05608,138.3589935,1.47323,407.2590027,112.2570038,53.1277008,354.0910034,79.0070038,51.6824989,350.355011,96.9179001,52.1893997,0.0
1.03844,87.5058975,1.31162,617.5700073,74.4882965,55.3721008,1.08746,73.6025009,1.2972701,443.5939941,63.0830002,49.1105003,349.6459961,113.2839966,52.6105003,351.0379944,131.5019989,50.1189003,0.0
1.08561,83.7089996,1.34443,613.7080078,75.6455002,56.8501015,1.18858,74.0031967,1.48032,499.697998,68.2457962,55.0835991,342.3980103,122.4950027,46.8825989,341.7669983,141.1490021,50.7911987,0.0
0.940897,90.6723022,1.23674,584.0209961,75.1233978,51.9151001,0.976396,75.3265991,1.2531199,366.3349915,61.6535988,43.0596008,346.2170105,112.447998,51.203701,337.9679871,124.9140015,47.7801018,0.0
0.976597,113.2890015,1.65579,597.6279907,98.6154022,56.5103989,1.04693,100.3339996,1.54751,396.644989,84.2754974,51.4239998,356.9590149,95.1856995,52.6985016,346.4509888,110.2139969,50.1561012,0.0
0.9124,101.7649994,1.51179,604.90802,88.1442032,55.1221008,0.928306,86.9141998,1.47868,385.8659973,73.1465988,49.5730019,363.8039856,103.0920029,53.2980003,348.1369934,116.9629974,49.3047981,3.4
1.05479,130.9920044,1.82658,609.2819824,114.9970016,57.4071999,1.11079,120.0739975,1.63983,403.8850098,100.4260025,52.7989998,360.1719971,83.5770035,55.412899,347.1019897,101.1699982,51.4327011,0.0
0.985617,95.4392014,1.34109,624.0239868,79.7886963,55.4748001,1.00049,81.3246994,1.33664,403.0880127,67.2293015,48.1495018,350.7460022,108.3280029,52.6875992,337.1830139,122.098999,47.3830986,0.0
1.00404,86.3233032,1.26465,591.3989868,75.3040009,54.287899,1.0561,75.427597,1.31464,451.7950134,66.7711029,51.0635986,343.1380005,118.4160004,47.7276001,347.7019958,135.7830048,51.2587013,0.0
0.946119,89.5537033,1.27027,581.5609741,76.3188019,51.9385986,0.9744,74.4268036,1.3008,368.6629944,62.2440987,44.6436996,347.3580017,112.7259979,49.718399,341.0100098,123.8690033,47.9611015,0.0
1.03484,89.5630035,1.28623,615.2230225,74.6295013,55.0713997,1.07945,75.3843002,1.28162,427.7770081,63.0306015,47.5083008,349.2749939,112.5090027,51.6875,350.7820129,130.2019958,49.9390984,0.0
1.1542799,91.2565994,1.3214099,591.7420044,74.3659973,52.4776993,0.996547,76.0047989,1.08109,379.1180115,61.7481003,42.7789001,339.8439941,106.5009995,51.3459015,334.9500122,123.3759995,47.4035988,0.0
1.02518,85.0171967,1.31397,617.8060303,74.322998,56.5752983,1.09633,72.5950012,1.31286,463.9649963,63.9882011,51.4207001,345.644989,116.0490036,50.8955002,342.9129944,134.4290009,49.4704018,0.0
0.990043,130.8619995,1.74585,617.5499878,111.822998,58.2043991,1.04733,119.3529968,1.60008,417.3940125,98.5087967,54.5049019,359.95401,88.2334976,52.5890007,347.2999878,104.1500015,50.6927986,6.8
0.968741,140.7200012,1.6501499,583.9609985,113.4189987,55.1898994,1.01263,126.625,1.47315,402.3349915,100.3420029,51.6815987,355.8059998,89.8800964,47.6707001,349.3420105,104.9349976,50.1365013,10.1
1.12152,87.5905991,1.32595,573.7910156,72.808197,52.5884018,1.09264,73.6270981,1.13448,399.9769897,60.9033012,44.2369003,343.0809937,108.4789963,52.7492981,338.2149963,124.0910034,47.4113007,6.8
0.997958,107.6910019,1.59747,601.6450195,93.5731964,55.7190018,1.01141,93.7949982,1.51658,390.2839966,78.9234009,50.7002983,360.1749878,98.8098984,53.2947006,353.3649902,113.0770035,50.2779999,0.0
0.902458,136.1360016,1.84874,576.3889771,120.3980026,57.9258995,0.983433,124.5650024,1.53802,385.0620117,105.2139969,51.8480988,360.723999,80.3715973,58.3992996,357.8540039,99.0330963,54.2294998,0.0
1.2114,83.6855011,1.42379,629.6279907,74.9092026,58.4710999,1.3168401,73.5214996,1.5694,511.20401,67.1868973,57.0083008,345.0650024,120.0589981,47.5680008,344.822998,137.8999939,51.2957001,10.1
0.947104,138.1730042,1.6288199,579.3880005,111.8909988,54.9900017,1.02979,124.0049973,1.52493,396.9049988,98.5799026,51.3708,355.3970032,90.7022018,48.1133003,347.7590027,105.8649979,50.232399,10.1
1.00148,89.0098038,1.2678601,592.8670044,74.3134003,54.5023994,1.0378,75.5861969,1.25357,418.3200073,63.4953003,46.9101982,343.8609924,112.1940002,50.7075996,343.1380005,129.1790009,49.7476006,6.8
1.0169801,81.5460968,1.37011,652.8380127,74.1389008,61.0527992,1.13712,71.0421982,1.4359699,512.3330078,64.9764023,57.3650017,355.5150146,121.7770004,50.212101,352.1570129,139.8580017,50.9361,0.0
1.12352,96.5531006,1.4395,616.8439941,81.7957001,55.209301,1.18092,81.4110031,1.54655,396.4899902,67.3125,49.3905983,351.1719971,106.2160034,50.2192993,334.2080078,118.7470016,46.5116005,10.1
1.08525,83.0142975,1.34191,613.2849731,75.5515976,56.8237,1.18796,73.6138,1.47762,497.1870117,68.146698,54.8255005,342.3609924,122.6729965,46.7887001,341.7229919,141.2689972,50.7056007,0.0
0.947351,104.7679977,1.57973,605.4119873,91.2994003,55.3751984,0.959688,90.5017014,1.50095,387.5029907,76.3886032,49.9669991,365.5440063,100.8889999,53.1054001,355.4869995,114.8590012,50.0087013,3.4
0.999036,89.1852036,1.2536401,592.9580078,74.9152985,54.5467987,1.03535,76.6708984,1.26325,425.0419922,65.1137009,47.7983017,344.026001,115.0189972,49.9174995,343.3909912,131.473999,50.2827988,0.0
0.898983,91.2146988,1.2754,588.6519775,76.6078033,54.3767014,0.931363,74.7291031,1.16582,381.3529968,62.6820984,45.0978012,346.9389954,105.8850021,56.6904984,342.4890137,123.7470016,48.6912994,0.0
0.985344,95.0302963,1.33499,623.6229858,79.3123016,55.4379005,0.999829,80.8283005,1.33234,401.7250061,66.7667999,47.8894005,350.6719971,108.2710037,52.7158012,337.1839905,122.2559967,47.4006004,0.0
0.949575,92.1651001,1.31156,584.1779785,79.0108032,52.2008018,0.98191,77.4913025,1.32511,378.2799988,64.6847992,46.1803017,347.6839905,110.9169998,49.3336983,340.8380127,122.5149994,47.5555992,3.4
