DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
310.3729858,222.1150055,158.6340027,45.7476997,44.6273994,4.7020102,326.348999,244.0800018,168.5240021,35.6731987,42.4230995,3.63466,241.8849945,97.6808014,37.2853012,210.5850067,109.5530014,31.5662003,0.0
263.196991,210.3139954,140.602005,38.4695015,37.2286987,3.82953,248.0639954,226.5319977,133.5099945,33.7538986,34.25,4.0741701,233.201004,97.1567001,43.2729988,224.0169983,113.1389999,41.6730003,22.5
290.3670044,220.9459991,152.9450073,33.4332008,37.4048004,3.10096,286.8640137,226.6239929,150.9720001,31.1159992,37.7862015,3.0325601,245.3370056,92.3768005,42.9333,216.1869965,105.1500015,37.5788002,22.5
242.223999,240.3869934,131.7070007,34.1632004,33.7016983,2.6677101,249.4160004,235.5319977,136.0850067,31.4563999,33.8674011,3.23651,221.9210052,89.0772018,132.654007,214.8910065,103.1169968,46.4068985,0.0
262.5289917,243.9409943,137.6719971,48.2369995,40.9578018,4.4348602,290.70401,260.2139893,154.720993,37.5368996,39.0163994,4.0289001,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.1245003,0.0
289.5570068,227.5,155.3049927,46.1296997,43.3429985,3.7083499,270.322998,249.6309967,146.9579926,35.8195,37.6553001,3.8709199,229.5610046,99.9247971,43.0023003,230.6629944,111.5599976,41.5385017,0.0
262.5950012,200.5480042,133.7799988,39.8069992,38.8056984,4.0485001,272.4979858,222.9960022,140.397995,31.3502998,35.3368988,3.5099499,240.4230042,93.6722031,39.5293007,210.5240021,106.3069992,33.4627991,28.2
299.3729858,225.8329926,159.8130035,42.8788986,43.1735992,3.57371,282.1579895,248.1210022,151.2070007,35.7136993,39.2294998,3.7383201,231.2640076,99.9292984,41.6349983,228.5399933,113.2030029,42.2725983,0.0
304.7810059,257.1910095,160.0339966,51.3973999,47.9800987,4.6587701,285.552002,269.5,150.4140015,41.3899994,39.7165985,4.5293398,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.2431984,0.0
269.7019958,209.6300049,140.9129944,36.2835999,36.3111,3.5352001,277.5750122,223.5420074,146.0359955,30.9631004,36.2611008,3.4612501,246.7250061,91.9241028,41.6957016,215.4309998,107.0770035,38.7095985,16.9
313.7820129,222.9389954,159.7319946,48.9510002,46.8179016,4.9739399,328.4729919,248.3860016,169.3390045,36.7352982,42.7044983,3.8312299,241.7299957,98.9709015,37.1883011,210.2630005,110.3840027,31.4825993,0.0
297.5570068,217.9920044,150.6860046,44.6385994,43.7160988,4.2470298,308.9649963,243.5590057,158.4219971,35.6346016,40.2896004,3.8713901,233.0720062,99.3500977,36.2985001,207.3679962,111.3219986,30.9466991,0.0
285.2099915,217.529007,154.7089996,38.0814018,36.6679993,3.8740301,275.1990051,231.9459991,149.9279938,34.5793991,38.1409988,4.1334,228.7969971,94.9377975,41.2480011,231.0740051,116.1070023,41.7627983,0.0
290.6340027,218.1439972,152.8450012,41.4654999,41.165699,3.93571,260.9020081,235.3849945,138.5209961,35.4854012,35.9971008,4.1368599,226.7799988,99.0551987,40.618,218.2129974,114.401001,40.7601013,0.0
272.9289856,255.1589966,144.4700012,45.7817993,39.9520988,4.1654701,260.4769897,260.6879883,137.8789978,37.1488991,36.6433983,3.98368,219.9329987,104.9990005,139.3059998,207.8699951,116.4520035,48.8698997,16.9
