DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
327.5419922,2529.4699707,42.3270988,263.9909973,203.1410065,38.3633003,278.6700134,2590.1398926,55.4706001,207.526001,204.3480072,29.4185009,181.3470001,41.7807007,16.9097996,151.0359955,52.4726982,17.0883999,0.0
297.0440063,2575.9699707,38.9131012,264.4219971,204.1600037,38.294899,221.5659943,2612.8898926,51.3138008,210.5010071,204.4170074,29.0802994,174.3569946,43.5928001,17.0459003,148.8829956,55.1352005,17.4419994,11.3
456.1140137,2478.6899414,73.7108002,268.7260132,263.7650146,45.3694992,439.4859924,2534.5300293,79.126503,214.3829956,229.7149963,31.6828995,168.5740051,34.6022987,16.8701992,140.8049927,47.4275017,15.2241001,0.0
433.3559875,3295.4499512,46.3465004,349.7269897,162.9429932,11.8087997,393.8590088,3364.3500977,53.7444,305.8980103,160.3119965,6.8035698,172.6820068,63.6040001,20.2891998,149.6119995,79.2251968,19.3281994,0.0
361.0870056,3263.5,43.4025002,346.3380127,169.4219971,11.5071001,372.2869873,2942.4099121,62.8950996,267.8959961,146.6649933,6.32479,156.9689941,61.1683998,19.9512005,146.6289978,74.9313965,17.8658009,0.0
524.8870239,2294.1899414,93.1268997,260.6279907,253.5050049,45.577301,535.6939697,2435.1398926,90.542099,198.345993,224.7180023,32.5007019,190.8840027,31.2133007,17.1485996,140.5800018,44.1102982,16.6842003,0.0
385.3760071,3268.6899414,44.1383018,346.9240112,167.9069977,11.5642004,389.5849915,3032.8000488,59.1282005,274.980011,148.9320068,6.3681502,155.5149994,61.5662003,19.9197998,145.4170074,75.9106979,17.4591007,22.5
406.553009,2534.25,66.3667984,268.2739868,252.3470001,45.1837997,364.7829895,2526.9899902,76.8377991,211.1309967,229.0019989,31.3323002,174.2400055,37.2444992,17.0997009,142.2890015,47.0592003,16.0995007,22.5
468.7219849,2305.2900391,75.7117004,257.4450073,226.2890015,42.2792015,473.8850098,2469.1899414,77.3519974,196.6300049,213.6580048,31.1681004,183.253006,35.4616013,16.8286991,141.8589935,47.8376007,15.6545,0.0
264.0090027,2659.9599609,41.9421997,266.7250061,207.9109955,38.4897995,157.4420013,2642.2099609,48.0966988,215.8699951,206.1009979,28.8582001,164.8679962,45.3992004,17.2369003,147.0180054,57.8815002,17.8880997,0.0
436.0629883,2487.7800293,72.2228012,268.1830139,257.7059937,45.8168983,406.7730103,2513.4399414,81.0149994,210.5279999,231.052002,31.6681004,176.7129974,35.911499,17.0935001,142.2160034,45.7683983,16.0167007,22.5
504.5859985,2433.5200195,83.1108017,275.5299988,320.6390076,56.5227013,532.1049805,2549.2099609,87.055397,231.3280029,247.2250061,38.3806992,168.9100037,31.7537994,16.3696003,137.3730011,46.1231003,13.7639999,22.5
235.6459961,3252.2900391,41.5463982,342.4630127,175.6560059,10.9394999,270.0849915,2656.2900391,69.5322037,245.2519989,142.9080048,5.9953499,162.1999969,57.4959984,19.5701008,154.5469971,67.1320038,19.5128002,0.0
505.2749939,2357.4899902,83.6959,263.526001,258.3529968,46.8577003,520.8330078,2478.4899902,84.8585968,204.9570007,226.5650024,33.4062996,173.4199982,32.5797997,16.7553997,136.802002,47.2985001,14.8653002,22.5
327.5539856,2460.7299805,42.3296013,260.6520081,210.9940033,39.2672005,292.2019958,2569.8601074,56.9738998,205.2330017,203.9689941,29.5070992,181.1439972,41.7686996,17.0375996,145.9640045,53.5177002,16.9323006,11.3
395.3450012,2797.4399414,60.2248001,310.1229858,224.4750061,39.5769005,379.0220032,2846.0400391,67.1965027,256.2139893,211.4320068,27.3561001,171.5980072,45.1549988,18.6721992,149.6670074,56.3987007,18.4188995,22.5
552.4940186,2210.2700195,100.1009979,260.4769897,258.4830017,45.3478012,556.7160034,2409.5,97.3253021,196.0919952,228.1089935,32.3470001,199.3430023,31.5876999,17.0916996,144.7120056,40.7076988,16.7856007,0.0
288.4440002,2537.4599609,34.3806,261.8320007,207.276001,38.6796989,229.9230042,2593.3300781,51.3521004,207.5590057,202.8110046,29.2031002,179.026001,43.5769997,17.0461006,147.5590057,55.3204002,17.2728004,0.0
426.5140076,2508.3200684,67.0350037,267.2709961,249.4450073,43.6072998,391.7019958,2544.8300781,73.8401031,212.4380035,224.8070068,30.7703991,164.3540039,36.3121986,16.8666992,140.7259979,48.7783012,15.2874002,33.8
517.9140015,2248.2199707,90.6480026,257.946991,237.6230011,43.5457993,523.8649902,2441.0700684,86.9236984,195.3919983,219.0220032,31.6417999,188.4230042,32.8793983,17.0016994,141.2169952,45.0441017,16.2171993,0.0
548.6610107,2123.8300781,97.0759964,256.1109924,236.5249939,43.2195015,551.1829834,2434.3400879,89.7270966,194.5970001,218.6649933,31.4993992,193.0189972,33.0449982,16.9838009,143.9230042,43.1655998,16.4113007,0.0
