Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.793609,83.7782974,1.62621,239.9250031,34.3098984,3.8652301,0.656128,83.5587006,1.32268,207.6459961,35.8465996,3.1665201,148.6560059,59.1175995,20.0974998,145.3970032,72.1939011,17.5865002,22.5
0.750874,162.1380005,1.34448,248.1260071,83.4817963,9.93332,0.768851,125.2009964,1.5128,169.6080017,65.4719009,4.2616701,196.9369965,31.1506004,17.1779995,142.6959991,42.3031006,17.0303993,33.8
0.664703,106.2180023,1.5375201,238.2070007,39.8796997,4.01864,0.665904,94.4620972,1.31302,206.3820038,38.3871002,3.11729,169.0390015,57.4164009,19.7681999,157.9100037,67.768898,20.5863991,0.0
0.820818,99.6884995,1.61233,241.772995,39.7896004,4.6219101,0.760803,86.0678024,1.3211401,203.5180054,35.3754005,3.1207299,152.0440063,60.6927986,20.1028004,145.9259949,74.5979996,17.1119995,22.5
1.19542,131.6230011,1.49845,217.173996,57.6139984,6.8933201,1.13989,139.9889984,1.57064,197.7890015,58.9808006,4.1385498,185.2910004,38.0877991,17.7031994,149.0870056,47.8188019,18.0802994,33.8
1.15073,121.939003,1.64698,213.8009949,51.3171005,6.7000098,1.08613,136.0839996,1.4711699,199.1809998,56.7248993,4.1000199,179.7480011,41.5432014,18.3162994,144.602005,50.7277985,18.3801994,0.0
1.07418,49.7450981,1.7113,229.4329987,18.7075005,2.94259,0.770748,92.4082031,1.32587,226.5570068,35.6999016,3.41221,161.2660065,58.4583015,20.2313004,150.727005,70.9729004,20.4078999,0.0
0.837674,101.9779968,1.61403,241.9170074,40.5140991,4.7259898,0.787367,86.990799,1.32118,203.7409973,35.3268013,3.1215,153.2350006,60.9925003,20.1296005,146.378006,74.955101,17.2712002,22.5
0.587529,134.9470062,1.3305,249.9149933,66.0916977,7.1771698,0.642107,99.0378036,1.5024,171.6000061,56.0293999,3.44385,172.272995,35.0667992,16.9834995,137.6069946,49.3746986,14.8423004,0.0
1.20638,202.5879974,1.40071,248.427002,85.1379013,9.5937796,1.56343,142.8179932,1.5136,168.9340057,65.0270996,4.3432798,202.7070007,29.3836994,17.1639004,145.0310059,44.1834984,17.8472004,33.8
1.01711,112.9199982,1.68095,239.0399933,42.7845001,5.3134699,0.975031,92.8575974,1.3420399,206.9490051,32.9485016,3.1569901,162.0209961,65.0173035,20.0706005,146.246994,81.3761978,17.9880009,0.0
0.557724,134.9329987,1.3137701,249.6670074,61.5858994,6.4821501,0.690323,95.9714966,1.51056,176.1840057,51.7394981,3.4260499,182.1790009,37.9271011,17.0070992,143.0549927,50.4140015,16.2791004,0.0
1.0390199,103.0970001,1.60868,221.2949982,39.7257996,5.39362,0.938442,118.7590027,1.32081,203.3959961,49.6791,3.7737701,174.1089935,45.6515007,18.1107998,148.8890076,56.1861,18.6639004,11.3
0.747454,84.9681015,1.6341799,235.470993,35.2447014,4.1487198,0.624108,78.3460007,1.31924,201.6549988,33.7840996,3.12551,153.826004,62.1669006,19.6956005,145.121994,77.4372025,16.1203995,0.0
0.76984,105.2770004,1.59403,242.2929993,41.8945007,4.6768198,0.759478,89.4046021,1.32033,204.3470001,37.0027008,3.0982599,153.4530029,59.2463989,20.1692009,148.3959961,71.7256012,17.8938999,11.3
0.714909,105.8310013,1.54238,237.6730042,39.2071991,4.0043001,0.674443,92.0907974,1.31286,205.4089966,38.2747993,3.0708399,160.8269958,57.6739006,19.6425991,154.651001,68.895401,19.6145992,33.8
0.660464,143.3710022,1.33083,249.2279968,70.1980972,8.0790195,0.780159,108.8479996,1.51873,172.3170013,57.3174019,3.78965,188.6679993,35.0446014,16.9022999,143.7839966,46.1707001,16.1609993,22.5
0.679586,104.2320023,1.54601,237.9799957,39.8914986,3.87321,0.676761,95.0674973,1.3137,209.3480072,38.7001991,3.17664,173.8170013,57.1934013,19.8616009,159.5630035,67.6063004,21.3526001,0.0
0.76904,138.9900055,1.36007,252.5559998,59.5917015,6.3587198,0.860888,115.6169968,1.5388,184.4360046,54.5810013,3.6094301,168.0950012,40.0553017,16.4846001,144.0950012,50.7667007,16.3029003,22.5
0.640704,117.6449966,1.3555,247.5189972,48.7014999,4.7983198,0.70211,96.6294022,1.51077,185.0630035,48.2901993,2.9863,155.947998,41.3768997,16.7637005,138.5899963,52.3320007,15.3442001,22.5
0.974195,112.2890015,1.6710401,239.1329956,43.3776016,5.2848802,0.941179,92.0369034,1.34161,206.1159973,33.4606018,3.1468899,160.8280029,64.2567978,20.0365009,146.2449951,80.0751038,17.9074993,11.3
0.830802,80.8936005,1.63929,239.3280029,33.0886993,3.7427399,0.671315,84.1776962,1.32368,210.0469971,35.7893982,3.19768,149.7169952,59.1935005,20.1467991,146.0220032,72.1211014,18.1520004,22.5
