DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
203.6450043,221.2389984,108.776001,37.1665993,28.9323997,3.3809199,230.8370056,233.0480042,123.6179962,30.1434994,30.8756008,3.29773,214.2200012,94.3445969,139.3639984,201.3070068,105.1959991,42.5334015
192.3209991,216.6009979,103.9940033,34.7561989,28.3071995,3.1533899,221.1820068,226.2920074,119.8899994,29.3901005,29.4937,3.2369001,218.9839935,91.1379013,138.7610016,205.7089996,103.9749985,44.0138016
205.701004,220.6260071,109.5039978,39.7629013,30.9967995,3.62321,231.9459991,233.0789948,124.125,30.3584995,31.0338001,3.2822299,214.3869934,93.8534012,137.4850006,200.845993,104.4700012,42.4924011
303.3710022,228.2429962,161.2489929,48.5273018,46.9892998,3.88007,279.6390076,254.2369995,150.477005,36.4356995,38.9917984,3.91097,232.2870026,103.185997,42.0615997,238.848999,112.9309998,42.5535011
215.0339966,226.8320007,117.2300034,30.7756996,28.5765991,2.8940301,239.9140015,224.526001,130.8560028,29.8847008,32.2173004,3.2902,221.6230011,87.9327011,133.9450073,212.2539978,104.3840027,47.1763992
242.7279968,204.3630066,129.9660034,37.796299,35.9412003,3.4402599,235.1840057,223.9499969,126.4670029,31.1627007,32.2386017,3.5526099,236.0579987,95.6603012,44.6040993,225.8679962,108.5139999,42.7173004
237.3320007,236.9579926,125.0800018,41.7378006,33.8095016,3.9171801,266.2070007,243.901001,141.0980072,32.5943985,35.5237007,3.3130801,211.6679993,95.8226013,135.4219971,198.3549957,106.302002,40.2770004
246.677002,235.272995,131.9179993,42.108799,35.706501,3.89662,245.6889954,248.0379944,131.7409973,34.9682007,34.2638016,3.8728199,222.572998,100.7220001,121.7460022,218.279007,114.2060013,46.9003983
214.1260071,226.0410004,116.9800034,29.1679993,27.7602005,2.8255601,239.852005,221.9320068,130.8659973,29.7735004,32.1963997,3.2778201,221.371994,87.3581009,133.6380005,215.5950012,104.4560013,47.1207008
299.5390015,260.848999,158.5010071,50.5696983,44.3860016,4.60992,281.1669922,268.6659851,148.9089966,39.1943016,39.1497993,4.2227702,224.8070068,106.887001,141.6100006,206.3500061,117.0240021,48.9001999
311.1019897,222.2839966,158.9199982,46.3377991,45.0284004,4.7536402,326.7520142,244.3480072,168.7200012,35.8377991,42.4873009,3.70035,241.7610016,97.7609024,37.257,210.4470062,109.6959991,31.5363998
299.4830017,225.9069977,159.8569946,43.1464005,43.296299,3.5862999,282.0490112,248.3540039,151.1730042,35.7478981,39.2184982,3.74353,231.3300018,100.0510025,41.6543007,228.9869995,113.2099991,42.2871017
254.7189941,247.7189941,134.8630066,52.5545998,37.9398994,4.6191401,285.1109924,265.9249878,151.9279938,35.5463982,38.1301003,3.5488801,215.2709961,105.5599976,143.8959961,189.5910034,109.1330032,40.8142014
289.8760071,227.3419952,155.4530029,48.1212997,43.5325012,3.83957,270.5360107,251.5540009,147.0410004,36.5976982,37.7103004,3.97858,229.878006,101.1380005,42.9785004,232.3710022,112.9280014,41.5657997
212.3410034,224.246994,116.5080032,26.5400009,26.0662003,2.7460001,240.0509949,220.1640015,131.0370026,30.0310001,32.1930008,3.27089,220.9069977,87.5621033,132.6660004,226.6649933,105.3840027,46.993
325.5840149,232.3800049,169.875,46.2466011,46.4664001,4.3878598,295.8930054,252.1080017,155.477005,38.6963997,40.6966019,4.26718,230.2489929,103.1910019,38.5607986,214.1699982,116.6780014,38.7272987
291.2219849,222.0749969,153.6970062,34.9681015,38.3671989,2.95682,285.9909973,231.7619934,150.7740021,31.6968994,37.7705994,3.1012199,245.1990051,94.270401,43.1962013,220.0780029,105.5469971,37.8678017
296.9869995,217.2230072,150.3159943,43.7561989,43.3516006,4.45046,308.3059998,235.9989929,158.0330048,34.2825012,40.0439987,3.67904,237.2279968,96.0560989,36.7016983,207.7429962,108.4980011,31.1210003
294.605011,218.6970062,154.1629944,42.4846992,42.1769981,3.9681799,287.8110046,239.3540039,151.5950012,35.4249001,38.6393013,3.9062099,238.75,98.8464966,40.9113007,219.8800049,112.8050003,38.2932014
242.0359955,236.9389954,131.223999,41.4603004,36.0558014,3.24982,259.322998,248.4579926,141.4889984,34.8642998,35.3391991,3.61292,226.625,94.9145966,133.6049957,217.0500031,108.6620026,49.1898003
244.6329956,241.595993,132.496994,38.0242996,35.5778008,3.00563,249.8659973,240.9589996,136.2230072,32.6845016,33.9618988,3.38135,222.6239929,92.8219986,133.5950012,217.5140076,104.6949997,46.5117989
266.9150085,209.6649933,144.7129974,30.3873005,32.9257011,3.80196,256.4089966,218.0480042,139.7879944,32.5681992,35.6763,4.1834202,231.0559998,93.0168991,40.9692993,227.9250031,115.8539963,41.5349998
290.0979919,217.0980072,152.1159973,37.1244011,39.2214012,3.48436,296.4429932,232.4629974,155.9900055,32.7700996,39.0624008,3.1344299,247.6609955,93.8921967,42.2478981,215.8040009,107.1299973,39.7813988
313.4159851,222.8350067,159.6260071,48.4059982,46.5171013,4.91716,328.1900024,247.3600006,169.2409973,36.5508003,42.6688995,3.8103499,241.6990051,98.6761017,37.1959991,210.1410065,110.2210007,31.4864998
256.927002,247.7389984,135.5950012,53.8008995,39.4757996,4.7329898,286.4219971,267.2879944,152.4459991,36.2625008,38.3179016,3.65084,215.4160004,106.3470001,142.9949951,190.095993,109.7809982,40.7327003
234.7819977,225.2149963,126.9020004,37.5766983,34.0628014,3.2544,234.9029999,232.8899994,127.5970001,31.4405003,32.1525002,3.51282,224.378006,93.430397,108.8079987,216.447998,107.1520004,46.4375992
280.5130005,214.8150024,149.9819946,30.3640995,33.1488991,2.9119899,291.0400085,218.2100067,154.4019928,29.9631996,38.5083008,3.0580101,248.496994,91.3178024,42.4775009,217.496994,106.112999,40.0569992
299.803009,226.1029968,159.9880066,44.0326004,43.6290016,3.6393399,281.7359924,249.0679932,151.0780029,35.9197998,39.1899986,3.78248,231.4880066,100.4720001,41.7010994,230.2669983,113.3860016,42.3218994
292.9100037,228.9349976,156.3959961,48.5379982,46.1278,3.8586299,269.5960083,253.2369995,146.7590027,36.1207008,37.6118011,3.9124501,230.2129974,102.4789963,43.1711006,236.8609924,111.487999,41.6968002
287.1839905,220.3269958,152.4779968,30.9071007,35.9831009,2.7223101,285.6210022,225.9080048,150.6130066,30.4333,37.7112007,3.01863,244.9539948,92.3458023,43.0709,216.6529999,104.9759979,37.7638016
300.3770142,226.6940002,161.973999,44.4901009,42.4417992,3.8143599,286.0629883,246.3399963,155.4179993,36.6231995,39.6310005,4.02039,228.9660034,99.3784027,41.8923988,227.1519928,114.1320038,41.7949982
201.7089996,220.2669983,108.0839996,33.639801,27.3017998,3.1359,229.3560028,227.598999,122.9729996,29.5028992,30.6809998,3.30951,214.1100006,93.3823013,138.7420044,202.1150055,105.6360016,42.4747009
238.0639954,193.7420044,124.9589996,22.8990993,26.9811993,2.9642899,253.1829987,183.1089935,133.3930054,25.1982002,32.707901,3.2332001,244.3280029,82.2897034,42.2014999,212.3399963,101.6429977,35.142601
238.246994,238.25,130.4190063,30.9085007,31.4705009,2.7099199,249.904007,229.1940002,136.2590027,30.1585999,33.8484993,3.1265399,220.6100006,85.2711029,131.7870026,207.3990021,101.1709976,46.2169991
292.0580139,222.3860016,153.9680023,35.7322006,38.8510017,3.0083399,286.1140137,232.621994,150.8320007,32.0012016,37.7916985,3.14027,245.2949982,94.6957016,43.2318993,220.9900055,105.8079987,37.8973007
283.1010132,217.3339996,154.1820068,39.105999,35.1054993,3.9561701,273.2909851,229.9499969,149.3200073,33.8707008,37.9107018,4.1500502,229.7019958,92.509903,41.3866997,230.9869995,116.2170029,41.8420982
234.0749969,234.9889984,128.1799927,31.7607002,30.5601997,2.7557099,256.9519958,231.951004,140.2330017,30.9834995,34.8185005,3.09986,222.0469971,87.8275986,135.4869995,208.1580048,103.8529968,48.6020012
267.1279907,208.6009979,140.0709991,31.4102993,34.0429001,3.2427399,276.9140015,213.7460022,145.8600006,29.3556004,36.1521988,3.17678,246.2070007,89.9605026,41.5744019,212.8880005,104.7210007,38.3060989
300.196991,226.3439941,160.1459961,45.0461006,44.0443001,3.69365,281.401001,249.9859924,150.9799957,36.1122017,39.1601982,3.82041,231.6660004,100.9649963,41.7560997,231.727005,113.538002,42.361599
278.394989,217.128006,148.2579956,40.9073982,39.0945015,3.82002,261.4570007,237.947998,139.345993,35.5820007,36.2965012,4.0560598,229.7489929,98.7247009,39.1064987,220.1119995,114.9189987,40.3834
261.4379883,200.1119995,133.3370056,36.8465996,37.3653984,3.7898901,271.2269897,216.4190063,139.947998,30.4585991,35.1547012,3.47141,240.0110016,91.6231003,39.5278015,209.2359924,105.5189972,33.4574013
289.4559937,216.9459991,151.973999,36.3022003,38.7256012,3.4124899,296.0610046,231.0350037,155.8739929,32.4963989,39.0205002,3.1240799,247.6640015,93.4824982,42.2603989,215.673996,106.939003,39.8036995
228.8090057,239.2610016,124.9469986,37.6403999,34.4127007,2.9870701,232.1649933,241.7089996,128.4810028,31.8724995,32.2202988,3.40115,223.0630035,92.3368988,136.4369965,219.477005,104.5210037,52.6470985
261.0899963,209.4160004,140.1660004,32.3282013,33.6875992,3.8120699,246.2720032,217.3249969,133.1150055,32.2234001,34.0698013,4.1374302,233.003006,93.7090988,43.2543983,225.2700043,114.1210022,41.7256012
304.7330017,228.4940033,161.9470062,59.5714989,49.1948013,4.0764499,282.1329956,270.9960022,151.345993,41.3572006,39.3988991,4.1500902,233.4160004,109.9759979,42.1456985,245.4830017,117.2990036,42.5999985
290.5849915,221.0050049,152.9929962,33.6360016,37.5583992,3.11413,286.9679871,227.0279999,151.0039978,31.1907997,37.7980003,3.0326099,245.3379974,92.4810028,42.9308014,216.2369995,105.1930008,37.5755005
316.4200134,224.2409973,161.0700073,48.7719002,47.6352997,4.7373199,330.2770081,253.3869934,170.6439972,38.408699,43.1797981,4.1763902,239.0809937,101.7740021,36.850399,209.0839996,112.7839966,31.3307991
291.3819885,228.25,155.9069977,47.8572006,44.9290009,3.7969501,270.0090027,252.1190033,146.875,36.1349983,37.6444016,3.89836,230.0,101.5559998,43.0979004,234.3209991,111.6869965,41.6333008
215.4400024,228.1399994,117.1829987,32.3328018,29.1770992,2.9116099,240.2380066,228.0279999,130.9120026,29.9461994,32.2540016,3.17344,220.397995,88.8746033,136.0110016,207.2129974,103.6500015,47.0974998
268.3670044,210.1439972,144.9730072,39.2182999,37.264801,3.72837,258.9060059,234.9669952,140.4880066,35.2116013,35.9244995,4.09201,231.220993,96.6874008,40.8263016,232.7749939,114.9860001,41.4548988
244.7460022,241.3899994,132.552002,36.8889999,35.4786987,2.8287301,249.7409973,239.9049988,136.2140045,32.4071999,33.9483986,3.32635,222.6439972,91.6837006,132.727005,217.7839966,104.1800003,46.4902992
248.5570068,197.125,128.2689972,37.5926018,36.6395988,3.75121,260.9899902,218.8589935,135.9880066,30.2576008,33.7750015,3.3538201,244.9579926,92.8383026,42.0158997,212.7400055,105.5859985,35.0783997
295.8460083,223.7339935,155.2050018,39.9477997,41.2368011,3.3529401,286.9920044,237.5319977,151.2120056,33.5001984,37.9291,3.38326,245.7570038,96.9181976,43.354599,224.5070038,107.0970001,38.0018005
300.7090149,226.625,162.0379944,41.8717003,42.408699,3.62117,288.4689941,244.8849945,156.4100037,36.2999992,39.8772011,3.8586099,227.5619965,97.6427994,41.7280998,219.5090027,112.2990036,41.6109009
270.6870117,211.102005,145.7610016,39.0247993,37.7780991,3.80443,259.3280029,235.0130005,140.6990051,35.3017006,36.0373993,4.17203,231.1629944,97.4701996,40.8867989,229.9069977,116.0100021,41.5144997
234.9250031,233.4380035,128.8789978,31.3169994,31.2637005,2.77145,258.0929871,228.9340057,140.8659973,31.2796001,34.9998016,3.2282701,223.1519928,87.3299026,132.2949982,211.6320038,104.0049973,48.6488991
262.3909912,200.4909973,133.7169952,39.4426994,38.610199,4.01544,272.3420105,222.3119965,140.3450012,31.2430992,35.3162003,3.50102,240.3919983,93.4573975,39.5326996,210.4620056,106.2170029,33.4642982
243.6239929,206.7189941,131.8840027,38.5107002,36.4067001,3.4772999,229.9019928,227.1340027,124.887001,30.9076004,31.9326,3.4946499,241.9100037,96.2565002,45.7234001,227.5630035,108.4369965,44.392601
296.9779968,224.2030029,155.5890045,41.3092003,42.0512009,3.4305899,287.2080078,239.7830048,151.3099976,33.9793015,37.9714012,3.4377501,245.8339996,97.774498,43.4047012,225.7640076,107.4700012,38.0479012
238.8919983,240.1320038,129.9179993,32.3484993,31.8167992,2.56478,249.2449951,233.5809937,135.7669983,30.6560001,33.7428017,2.98856,219.7100067,87.7845993,135.9080048,208.201004,102.4089966,46.2719994
299.2579956,225.7700043,159.7640076,42.5223007,43.0657997,3.5471499,282.2799988,247.8820038,151.2440033,35.6283989,39.2397995,3.7151799,231.2129974,99.7566986,41.6208,228.0720062,113.0780029,42.2616005
244.0010071,207.1600037,133.8699951,37.5998001,35.4425011,3.2277901,237.0330048,230.0910034,131.4940033,31.5956001,32.6963005,3.56832,227.095993,93.1458969,45.2794991,228.5059967,107.3430023,43.9439011
289.2609863,221.5370026,152.9859924,33.7705994,37.6120987,2.8766899,286.052002,233.4060059,150.701004,30.8698006,37.7593994,2.9509699,244.5449982,93.3816986,43.0143013,215.8860016,104.2679977,37.7383003
234.7140045,235.5870056,128.2570038,33.0349998,31.0944004,2.81074,257.0809937,234.3589935,140.220993,31.2712002,34.8319016,3.0836799,221.8990021,88.7525024,136.2449951,207.3899994,104.1029968,48.6113014
270.0299988,210.7910004,145.5090027,39.8116989,37.9939995,3.7908199,259.4509888,236.3079987,140.7039948,35.5018005,36.0256004,4.1434398,231.154007,97.5887985,40.8418007,231.1560059,115.5889969,41.4766998
286.9649963,226.5130005,154.4100037,42.4197998,40.9707985,3.58565,270.9880066,245.2810059,147.1629944,35.1209984,37.6870995,3.8292799,228.4559937,97.0546036,42.8128014,223.4389954,110.901001,41.3282013
305.0660095,222.5850067,158.7449951,45.3386993,43.8736,4.4586501,291.6159973,242.4230042,152.8399963,36.6823997,39.0775986,4.1721001,237.1439972,100.2949982,40.3003998,217.4750061,113.5930023,37.6422997
193.3339996,217.102005,104.4219971,37.7178001,29.5872002,3.36462,221.4309998,228.4440002,120.0660019,29.5559998,29.5655003,3.2102001,218.7169952,92.0233002,138.9530029,203.2960052,103.7180023,44.0214996
263.25,210.3289948,140.6719971,37.8390999,36.8855019,3.82126,247.9100037,226.1069946,133.5110016,33.6627998,34.2476006,4.0917301,233.1840057,96.8003998,43.2719994,224.4980011,113.4860001,41.6966019
263.0020142,208.1390076,143.602005,24.5736008,29.0788002,3.86465,253.6009979,204.3549957,138.9069977,30.4013996,35.3111992,4.1763601,231.2940063,89.6734009,41.0918999,229.3079987,115.1679993,41.5742989
261.0130005,199.8540039,133.1119995,35.2575989,36.6833992,3.6086199,270.2780151,212.2030029,139.6100006,29.8915005,35.0220985,3.46052,239.5890045,90.2733002,39.5019989,207.7449951,105.0230026,33.4459991
292.9620056,222.720993,154.2640076,36.6190987,39.3923988,3.07356,286.2730103,233.6450043,150.9049988,32.3409996,37.8182983,3.18927,245.401001,95.1820984,43.2677994,221.9299927,106.1009979,37.9275017
204.2779999,221.1239929,108.9919968,37.8922997,29.5151997,3.4466701,231.2460022,233.4089966,123.7829971,30.2691994,30.9276009,3.2999001,214.2630005,94.3214035,138.923996,201.3880005,105.0559998,42.5215988
293.4240112,222.7630005,154.4060059,37.2313004,39.5312004,3.2011299,286.4609985,232.9290009,150.9909973,32.5214996,37.8359985,3.28073,245.6130066,95.2390976,43.2612991,222.1089935,106.3590012,37.9141998
279.5660095,251.4069977,146.5659943,45.6225014,43.2327995,4.03373,265.0490112,258.4150085,139.6340027,38.8362999,37.2234001,4.3285398,221.1060028,105.9830017,129.0509949,209.897995,118.7870026,48.2599983
291.9859924,221.3309937,153.2859955,35.0340996,38.5284004,3.2390299,287.6889954,229.322998,151.2319946,31.6802006,37.8768997,3.0516,245.3950043,93.1197968,42.9031982,216.4609985,105.5100021,37.5402985
204.0079956,218.0050049,108.7300034,36.0626984,29.6037006,3.58166,230.029007,224.901001,122.9830017,29.4876003,30.7502003,3.45051,213.7929993,94.0208969,134.3350067,203.4400024,105.887001,42.2686005
235.3690033,239.5200043,124.6760025,43.2938995,32.3821983,3.8856599,264.7529907,249.9530029,140.625,32.6413994,35.4132004,3.3713901,210.9850006,99.5201035,140.0110016,194.4960022,107.2789993,40.3698997
300.4230042,218.0930023,151.2050018,45.6963997,45.3941994,4.6278701,310.0450134,239.6119995,158.5630035,35.1228981,40.2541008,3.7303801,236.8249969,98.0699997,36.5784988,204.6940002,108.7829971,31.0548
249.2870026,197.4140015,128.6560059,39.8628006,37.6180992,3.9374499,261.5679932,222.7440033,136.2819977,30.7968998,33.8879013,3.3731,245.0449982,94.1278,42.0009995,213.404007,106.1070023,35.0633011
248.7259979,197.2030029,128.3639984,38.1920013,36.9085007,3.7887199,261.1459961,220.0659943,136.0619965,30.4057007,33.8055992,3.35238,244.9720001,93.2195969,42.0140991,212.947998,105.723999,35.0769005
237.0,238.2619934,129.8090057,29.7259998,30.4822998,2.5688701,249.3540039,227.6320038,135.9779968,29.7966995,33.7546997,3.0517399,220.0310059,84.7730026,133.1269989,207.2649994,101.1719971,46.2058983
289.4159851,217.6069946,152.3079987,40.574501,40.5649986,3.8325,259.3900146,230.6179962,137.8249969,34.4723015,35.7419014,3.9872899,226.4929962,97.1051025,40.6563988,217.5749969,112.6080017,40.7440987
280.1610107,217.5919952,148.8829956,41.4337006,39.8964005,3.8975501,262.4509888,239.8600006,139.8070068,36.1044006,36.4580994,4.15378,229.6809998,99.733902,39.1716995,220.3220062,115.862999,40.4213982
300.2019958,226.6799927,161.9459991,45.2853012,42.4117012,3.8526399,285.5690002,246.927002,155.2290039,36.7429008,39.5820007,4.0494399,229.2960052,99.6430969,41.9390984,228.7890015,114.4990005,41.8423996
235.0469971,237.727005,129.2870026,26.7691002,28.2940006,2.12832,246.973999,222.3639984,135.2899933,27.8477993,33.4748001,2.9488699,220.0599976,80.3483963,131.2769928,206.4259949,98.6143036,46.1859016
346.4729919,234.7519989,178.9360046,51.032299,50.3087006,4.72123,337.1000061,265.8529968,175.2890015,41.8288002,45.3792,4.43854,237.1150055,104.7089996,36.6430016,214.4869995,120.2570038,35.6758003
291.7070007,221.401001,153.2489929,34.7112999,38.4457016,3.1217301,287.3859863,229.9609985,151.125,31.6065998,37.8521004,2.9898601,245.2519989,93.2359009,42.9422989,216.9019928,105.3850021,37.5828018
249.0659943,197.3119965,128.5050049,38.9786987,37.2775002,3.85972,261.3900146,221.3549957,136.1690063,30.6049004,33.8457985,3.3666301,245.0090027,93.6432037,42.0070992,213.1170044,105.9059982,35.0707016
279.6799927,217.4799957,148.7129974,41.3973007,39.7169991,3.8799801,262.1549988,239.4550018,139.6710052,35.9702988,36.4104996,4.1242199,229.7220001,99.4735031,39.1568985,220.3630066,115.5690002,40.4135017
235.5919952,236.220993,128.3619995,34.8121986,31.8831997,2.91747,257.3510132,237.2910004,140.2389984,31.6926003,34.8582001,3.0652499,221.6629944,90.0350037,137.0809937,206.7359924,104.4599991,48.6119995
292.6319885,221.4839935,153.4170074,35.7444,39.0017014,3.30007,288.0249939,230.5319977,151.3379974,31.9200993,37.9143982,3.05829,245.4179993,93.4695969,42.8911018,216.6119995,105.6669998,37.5233994
291.4649963,221.6970062,156.3470001,40.8787003,41.2140999,3.5771999,277.625,242.5130005,149.2870026,35.5163994,38.655201,3.76127,235.8079987,99.2134018,42.1212006,226.9609985,115.0019989,42.5069008
270.4750061,210.9929962,145.6679993,39.6915016,38.0415993,3.7994599,259.4590149,236.1499939,140.7230072,35.4785004,36.0401001,4.1565399,231.1730042,97.680603,40.8653984,230.6699982,115.7890015,41.4971008
252.8679962,244.3480072,134.25,47.3120995,36.2510986,4.3730102,284.4219971,254.7910004,151.7380066,34.5047989,37.9990005,3.46262,215.3439941,100.9589996,139.5379944,195.2550049,108.1910019,40.6930008
