DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
490.3829956,326.2049866,278.9360046,172.3769989,80.6539001,23.5361996,500.0899963,328.0539856,240.0310059,135.5379944,69.7734985,20.5258999,338.1830139,122.2320023,45.9450989,340.2820129,141.0059967,50.8869019
505.1359863,320.4530029,270.9450073,146.4929962,78.3404999,21.8554001,519.8569946,332.3179932,250.2899933,109.564003,72.036499,18.6580009,343.8989868,112.9919968,50.4291992,343.2330017,129.7369995,49.9189987
530.7280273,301.7780151,280.875,139.1230011,79.4561005,23.7770996,572.7379761,346.1669922,309.9450073,126.5920029,85.4122009,23.0331993,361.5809937,109.1839981,47.5245018,345.3919983,119.9309998,47.2364998
494.3070068,335.9979858,277.9979858,156.1390076,81.8579025,24.0063,531.4749756,347.1459961,255.8630066,119.1350021,74.6102982,20.8808994,355.4379883,122.1500015,48.605999,352.0390015,140.2089996,50.7598991
491.8880005,260.848999,264.3760071,114.8440018,74.5446014,27.0501995,530.3070068,284.9240112,289.5849915,85.9714966,79.2046967,26.2879009,353.9259949,81.2220993,51.2099991,350.1040039,99.3377991,52.0382996
489.6359863,259.7879944,262.1000061,108.9970016,74.1968002,27.0846004,510.9880066,279.105011,280.2340088,72.5497971,76.6210022,26.4825001,356.2510071,79.7576981,55.0019989,352.2640076,98.4136963,53.3922005
505.7479858,299.8370056,242.0200043,127.8079987,70.850502,20.4955006,537.7089844,335.5939941,258.5920105,97.2954025,73.8983002,18.3889999,345.9960022,109.4329987,51.6869011,337.7019958,124.0279999,47.5373001
494.8450012,329.4949951,278.5620117,167.2449951,81.6493988,23.8040009,516.9869995,333.7019958,245.8509979,133.3350067,72.1717987,20.7080994,342.3349915,122.9309998,46.8255005,341.697998,141.4470062,50.6325989
476.5499878,287.3670044,224.8480072,123.1999969,67.6108017,21.2367001,522.4459839,326.7059937,249.5,91.7506027,72.4469986,19.3834991,343.901001,106.0169983,51.6436996,329.1119995,120.6490021,46.2318993
486.0360107,254.4550018,261.4030151,117.6620026,73.5429993,26.9922009,543.3549805,290.3850098,297.0239868,98.1042023,80.8637009,27.0091991,357.1080017,80.3178024,49.6105995,347.947998,97.9738998,51.1054001
512.1329956,299.6839905,245.0700073,130.4400024,71.6192017,21.0522003,541.3010254,336.5230103,261.052002,109.5189972,74.6176987,19.9368992,347.4089966,110.7320023,49.9103012,340.8829956,122.8580017,47.8109016
494.8540039,328.8980103,278.4289856,166.1040039,81.6046982,23.7598,516.8189697,333.2399902,245.7310028,129.8130035,72.1401978,20.6739006,342.3940125,122.5350037,46.8753014,341.7579956,141.1699982,50.7584
511.0,327.2730103,276.1879883,162.3329926,79.7939987,22.7441998,520.1779785,338.1099854,250.6629944,129.279007,72.3563995,19.9472008,343.1300049,117.9980011,48.0237007,347.7030029,135.2779999,51.1545982
502.5740051,302.6600037,241.0540009,124.0090027,71.3088989,20.5021,510.480011,326.743988,246.576004,87.9748993,70.9778976,17.6047993,346.8009949,106.3399963,55.4547005,342.4590149,123.9140015,48.7131996
502.7720032,265.125,239.0119934,120.2030029,69.3631973,23.9097004,556.026001,299.8599854,267.8429871,95.7891006,74.9035034,22.3167,356.9049988,98.2712021,51.4235992,346.3139954,111.9660034,49.7710991
515.9180298,327.776001,277.2380066,144.5279999,80.197197,22.0415993,528.2509766,339.0750122,255.7899933,104.7009964,73.4872971,18.7844009,349.5419922,114.2750015,51.5663986,351.0469971,131.8300018,50.2214012
523.0430298,338.8009949,297.0480042,157.8439941,83.861702,22.1555996,541.6040039,342.6059875,263.6229858,127.3679962,74.1836014,18.2164001,341.2200012,112.3359985,51.9342003,340.07901,128.0050049,50.8762016
489.8670044,326.5480042,277.743988,168.1100006,80.4589996,23.4340992,499.8259888,328.4060059,239.5330048,136.1369934,69.7020035,20.6355991,338.1069946,122.5780029,46.0724983,340.2059937,141.4120026,50.5721016
501.177002,334.5799866,282.5310059,165.2850037,82.8806992,24.1208992,530.7949829,345.4230042,253.4519958,128.7350006,74.3470001,21.0706997,345.1170044,123.1689987,47.3377991,344.868988,140.7129974,51.339901
499.2260132,321.9719849,267.6849976,150.2570038,78.288002,22.5583,514.257019,334.6910095,246.7819977,114.560997,71.649498,19.5389004,345.730011,117.348999,50.046299,343.0400085,135.595993,49.6395988
506.2850037,270.4460144,261.8259888,121.1709976,74.5585022,25.9720001,548.2659912,301.8829956,288.8120117,94.4748993,79.6123962,25.2467995,359.928009,87.1304016,52.7821999,347.3729858,103.4449997,50.8488998
515.0679932,326.4710083,275.9559937,140.102005,79.9004974,21.8393002,527.7880249,338.3469849,255.3029938,98.072403,73.3858032,18.5100002,349.4089966,112.4079971,52.4291992,350.848999,130.3939972,49.9696999
499.6940002,295.1759949,238.1790009,126.9960022,70.4072037,21.1231003,532.617981,329.7869873,255.9609985,91.5697021,73.5759964,18.3848,350.6440125,105.4660034,54.6106987,337.1180115,121.9469986,47.3163986
499.1600037,321.7200012,267.5379944,149.6040039,78.2408981,22.5028992,514.1879883,334.526001,246.7299957,113.5780029,71.6298981,19.4379005,345.6929932,116.9560013,50.2364998,342.9930115,135.2420044,49.5912018
564.2230225,316.3259888,273.4450073,142.0749969,78.0616989,22.2702007,607.4089966,361.8410034,297.848999,128.4960022,83.0663986,21.5095005,366.7290039,113.9440002,48.2845001,356.8729858,123.7659988,48.8935013
511.7850037,277.6279907,265.5700073,128.621994,75.0646973,25.1259003,553.8029785,312.4869995,292.269989,120.3470001,80.2423019,24.6679993,355.3909912,96.9320984,48.9323006,347.5029907,110.1880035,49.8451004
506.5100098,300.3240051,242.6230011,129.3769989,70.961998,20.4853001,538.0900269,336.0299988,259.0,102.7870026,73.9690018,18.5070992,346.0180054,110.4820023,51.3568993,337.8120117,124.4570007,47.6652985
506.2720032,271.1669922,261.6289978,123.1999969,74.5358963,25.7703991,548.4119873,303.2980042,288.7479858,98.1981964,79.6383972,24.8174992,359.9890137,89.6067963,52.4373016,347.2099915,105.0459976,50.5087013
492.447998,301.5390015,235.5500031,122.9179993,69.9504013,20.1636009,499.5929871,322.3080139,239.375,88.9638977,69.7050018,17.7956009,343.0440063,108.2020035,53.0066986,338.1960144,124.0459976,47.4308014
502.6380005,263.6530151,238.9830017,118.0149994,69.3125,24.177,555.6950073,297.5570068,267.6279907,93.2573013,74.7960968,22.7681999,356.9309998,93.870697,52.8409004,346.5069885,109.2470016,50.3105011
500.8070068,333.2869873,281.1940002,158.1889954,82.6016006,23.8752995,530.1469727,344.7399902,252.7330017,121.8799973,74.2133026,20.9661007,345.0599976,119.7320023,47.5668983,344.7940063,137.5709991,51.2480011
500.8869934,333.3519897,280.9370117,156.7429962,82.5659027,23.8591003,529.960022,344.9519958,252.5390015,123.8929977,74.1790009,20.9706001,345.0580139,120.223999,47.5306015,344.82901,138.0709991,51.293499
514.8590088,326.5740051,275.9989929,141.3869934,79.9432983,22.0088005,527.8590088,338.7420044,255.4160004,100.1829987,73.4409027,18.6795998,349.6319885,112.1009979,53.4584007,350.9639893,130.6629944,50.0028992
522.5839844,339.1390076,297.1170044,158.5879974,83.9097977,22.2598,541.4879761,342.5119934,263.4370117,124.8239975,74.1540985,18.1751995,341.1740112,112.447998,51.524601,339.9790039,128.2120056,50.8157997
483.4970093,296.4710083,230.8789978,121.0650024,68.6513977,20.1912003,507.4549866,324.3420105,241.7489929,84.0234985,70.3704987,17.5578995,339.9819946,106.2310028,51.7126999,335.053009,123.1930008,47.4762001
513.072998,300.5830078,245.8609924,132.0780029,71.7637024,20.9500999,541.625,337.0109863,261.4330139,117.3270035,74.6634979,19.9291992,347.2929993,112.810997,49.842701,341.019989,124.0159988,48.0122986
502.8510132,264.7380066,239.0919952,119.7210007,69.3607025,23.9694004,556.0120239,299.2479858,267.8590088,96.0505981,74.8840027,22.4456005,356.8840027,97.4638977,51.4588013,346.3569946,111.3619995,49.8834991
511.5549927,256.8580017,276.4299927,124.1279984,76.3587036,27.2863998,561.5239868,292.3349915,309.4760132,117.1220016,82.9179993,27.5569992,357.5020142,79.6025009,49.3538017,351.2739868,98.0167999,51.1358986
492.2529907,301.4379883,235.397995,122.163002,69.9225998,20.1352005,499.5050049,322.2030029,239.2489929,88.3615036,69.6800995,17.7954998,342.9729919,108.0500031,52.9109001,338.1690063,124.0390015,47.4598007
