DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
344.6140137,3268.5600586,44.9410019,345.5620117,170.3289948,11.1857996,362.2789917,3004.4399414,60.1507988,273.7730103,150.3450012,6.25387,151.2339935,59.1987,20.1413002,147.2050018,72.0063019,17.5503006
490.0289917,2278.6599121,81.7058029,257.5329895,230.2550049,42.7363014,495.8259888,2458.75,81.0623016,196.0549927,215.6260071,31.3465004,184.451004,34.4679985,16.8824005,141.3399963,46.9034004,15.7833996
430.1210022,3274.8701172,44.0242004,348.4389954,166.9810028,11.6260004,417.1719971,3027.3999023,61.6389008,274.7149963,148.1069946,6.3992701,160.7819977,64.1155014,20.0361004,146.4499969,79.7830963,17.9673004
471.2019958,3299.6599121,45.7798996,349.4689941,161.4799957,11.7137003,436.9240112,3373.3898926,55.671299,305.0029907,159.8209991,6.76442,167.3639984,66.2349014,20.3565006,146.6360016,83.5419998,18.0760994
509.82901,2394.7600098,86.3823013,269.5069885,288.9169922,50.4236984,520.6710205,2488.3400879,89.2767029,214.4290009,237.8240051,35.0825005,181.3040009,31.4172993,16.6968994,141.2220001,45.0311012,15.3648005
334.3619995,2405.7900391,44.6250992,258.894989,213.4499969,39.5525017,306.4320068,2559.5800781,58.6063004,204.0399933,203.3500061,29.5536003,182.5690002,41.4178009,17.0827999,145.2830048,53.1767998,17.0541992
319.473999,3265.2900391,44.3660011,345.0010071,171.6060028,11.1289997,343.3280029,2931.5800781,62.7545013,268.0780029,148.6629944,6.2144899,153.095993,58.8172989,20.1658001,148.6529999,71.0307007,17.9627991
269.9689941,3254.6799316,42.2779007,342.5450134,175.2870026,10.9596996,304.9179993,2974.8898926,58.1192017,274.4410095,152.6450043,6.0632501,151.0549927,57.6939011,19.4496994,151.2039948,69.7774963,18.5757999
406.0499878,2322.4499512,60.9572983,259.5859985,218.5890045,40.4001999,394.868988,2535.3898926,67.5671997,202.4720001,207.3650055,30.0835991,184.3480072,38.2369003,17.0755997,143.8639984,50.5764008,16.7721004
362.8739929,2473.9799805,49.6320992,262.9590149,209.3040009,39.1813011,338.8760071,2565.25,60.6557007,205.3179932,206.3999939,29.7355995,180.7220001,40.1543007,16.8652,146.2960052,51.5658989,16.1264
226.8280029,3247.5900879,37.7067986,342.7210083,173.9060059,10.8499002,252.5169983,2927.9299316,56.7016983,268.9979858,151.3549957,6.0560999,173.2230072,57.8092003,19.8934994,159.9149933,69.3026962,21.1832008
440.4509888,2403.4099121,67.0731964,260.0220032,220.7389984,39.5862007,444.8240051,2514.8898926,71.5582962,200.5639954,212.401001,29.1109009,172.7400055,36.7038994,16.8206005,139.2610016,50.3471985,14.4198999
423.3619995,2787.8601074,65.6334991,312.0969849,225.9109955,39.5219002,409.9930115,2851.7199707,70.2167969,257.8259888,211.8970032,27.3160992,174.9340057,44.6194,18.7247009,150.4779968,55.3470001,18.7787991
456.8479919,3288.6899414,45.0438004,347.7470093,163.072998,11.6042004,434.0669861,3360.8798828,55.2400017,303.4259949,160.7700043,6.7141399,162.6000061,65.1468964,20.1847,146.4299927,81.4923019,17.5825005
492.6940002,2288.8601074,82.1682968,257.9119873,231.423996,42.9235992,499.0119934,2458.2600098,81.5979996,196.1210022,216.3399963,31.4389992,182.8589935,34.230999,16.8805008,140.4400024,47.0769005,15.6632004
395.3420105,3304.0600586,48.7345009,350.2820129,166.4329987,11.7156,343.723999,3350.7099609,51.9163017,308.3829956,161.75,6.8034101,173.5650024,58.924099,20.4598007,153.5720062,72.7053986,21.1800995
378.2900085,2562.7199707,58.6615982,266.2160034,234.5469971,41.5018997,311.9049988,2562.3898926,67.2785034,211.2669983,219.2160034,29.6606007,163.3659973,39.3436012,16.9592991,142.2200012,50.7597008,15.8046999
290.0090027,2687.5600586,46.9846001,269.3160095,222.3820038,40.830101,186.3370056,2614.9099121,55.0239983,215.4309998,212.5549927,30.0646992,164.927002,42.9804001,17.0813999,144.1080017,55.6862984,17.0480995
402.0469971,2916.2700195,59.7778015,322.5820007,188.3000031,13.9728003,379.3789978,3116.1298828,63.0052986,277.8680115,172.1309967,7.69028,179.3639984,48.2476997,20.5438995,151.1300049,63.2396011,20.816
298.894989,3259.9399414,44.092701,344.196991,173.072998,11.0615997,325.678009,3087.4799805,55.0866013,283.5710144,154.8970032,6.2171502,146.9790039,57.7128983,20.1716003,147.4880066,70.0906982,18.2553005
346.4590149,2587.4399414,57.7276001,270.1149902,231.2920074,41.5878983,260.54599,2584.75,64.3707962,213.8049927,218.5330048,30.4992008,165.4049988,40.6302986,16.4740009,143.7519989,51.5248985,16.2275009
434.2999878,2764.8798828,67.8392029,305.8630066,229.0850067,41.0550003,428.0050049,2819.7700195,72.4210968,252.8829956,213.2619934,27.9050999,176.9609985,43.8041,19.0205002,149.4340057,54.0892982,18.8337002
343.7399902,2446.3300781,45.696701,260.9089966,211.6909943,39.4081993,314.0310059,2564.5100098,58.9369011,204.8410034,204.8370056,29.6219997,181.3999939,41.0560989,17.0188999,145.6470032,52.8536987,16.7761002
222.6260071,2876.7600098,38.0341988,299.7139893,200.6750031,34.9700012,158.6970062,2916.8999023,48.8086014,255.2039948,196.6779938,26.3132,164.0789948,51.2252998,17.7903004,149.1900024,63.5792007,18.5505009
268.4119873,3253.3000488,43.0334015,342.9869995,174.2680054,11.0403004,298.4779968,2732.1999512,69.5812988,251.4830017,144.1679993,6.0480099,159.3470001,58.3387985,19.4799004,152.4980011,68.7778015,18.9659004
313.9460144,3263.7700195,44.0926018,345.1900024,168.3670044,11.2096004,323.8179932,3149.4199219,51.3088989,288.3049927,155.5460052,6.29848,156.4640045,59.2575989,20.4624996,148.9299927,71.1453018,20.2383003
434.4920044,2326.75,67.3986969,260.9599915,220.7660065,40.7980995,430.5499878,2526.0300293,71.4235001,202.0469971,209.901001,30.3675003,183.1360016,36.9068985,17.0352001,142.4900055,49.6573982,16.3304005
