DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
262.9750061,189.3890076,142.2899933,39.6977005,42.9402008,3.1772699,280.3099976,197.6139984,151.2599945,37.3394012,44.8498993,3.4091401,217.5099945,72.8158035,39.699501,204.227005,79.9063034,43.0064011,27.0
259.6170044,189.6580048,150.4019928,40.2672005,41.5047989,3.16294,275.0589905,189.9810028,156.2429962,37.7192993,43.1911011,3.5901501,218.5870056,78.8592987,39.3133011,208.5549927,82.2863007,42.2094002,0.0
256.0629883,188.1699982,142.3430023,40.0032005,41.0912018,3.1798699,275.1539917,198.477005,157.1100006,37.7555008,43.1870003,3.6168399,221.003006,87.6407013,39.5452995,222.6419983,95.1766968,42.9777985,9.0
231.2920074,164.5420074,119.5749969,33.8813019,38.6189003,2.92453,251.5110016,181.7590027,131.4559937,32.3070984,41.2243004,3.0443101,210.6940002,65.6613007,37.7014999,193.9830017,80.2161026,41.2019005,27.0
249.4109955,163.8040009,130.0690002,38.9898987,40.6442986,3.23718,268.9909973,182.7279968,145.8659973,36.6679001,42.6436005,3.3443601,223.397995,69.8565979,40.6113014,206.9329987,85.5580978,43.5354004,9.0
257.2969971,190.4470062,145.5330048,40.1861,41.2318993,3.1856599,275.8729858,205.125,160.2129974,37.9398003,43.4062004,3.6156199,221.7590027,86.2416992,39.5318985,223.7969971,94.495903,43.0617981,0.0
254.973999,170.4620056,138.572998,39.5750008,41.0022011,3.1615,274.4719849,189.4660034,153.5079956,37.5373993,43.1067009,3.45856,218.5820007,72.0330963,39.3484993,206.8509979,87.600502,42.5848999,0.0
258.1170044,181.8880005,145.4210052,39.8270988,41.3361015,3.1574199,275.0440063,193.1710052,155.2619934,37.5955009,43.2792015,3.4582901,217.7369995,73.8470001,39.2262001,204.8289948,83.7180023,42.2639008,9.0
257.7120056,189.6040039,146.3760071,40.1990013,41.2826996,3.1731801,275.5450134,202.3939972,158.4360046,37.8431015,43.2762985,3.6588399,219.7839966,83.1299973,39.5060997,215.8240051,92.7585983,42.7849007,0.0
256.625,189.3910065,143.7429962,40.0784988,41.1529007,3.1796,275.3359985,200.4309998,157.8000031,37.800499,43.2335014,3.6290801,220.8099976,87.0442963,39.5401993,221.651001,94.9317017,42.9599991,9.0
