H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
61.0882988,3107.2700195,5.5917501,66.6232986,50.2060013,14.5866003,100.8929977,2797.75,13.1393995,66.2669983,48.3204002,10.7413998,179.3589935,48.3221016,20.5442009,151.1289978,63.3190994,20.8195992
61.9305992,2916.1699219,5.3298302,58.5014,45.5821991,4.7183499,73.5361023,2799.4199219,6.3198299,67.1255035,45.7731018,4.14468,172.2400055,57.8289986,19.8826008,157.9559937,69.2748032,21.4367008
67.2020035,3425.8798828,6.5757899,66.8546982,46.5290985,5.1107302,58.0117989,3730.1101074,6.8641801,66.9459991,45.6924019,3.5239401,163.3500061,65.7101974,20.2584991,146.9790039,82.4738998,17.8505993
110.7330017,2258.1699219,14.9231005,71.0177002,67.8996964,52.4019012,135.7480011,2269.6398926,20.2390995,60.9584007,62.7939987,40.5740013,166.8820038,37.0181007,16.9377995,141.8789978,48.8846016,15.6217003
78.1430969,2591.5900879,8.7555799,65.4925995,53.2475014,30.2106991,79.3226013,2552.2700195,8.5709896,66.4937973,52.537899,23.5718002,163.9120026,51.1123009,18.4985008,149.375,62.8690987,18.8054008
102.0479965,1998.5300293,13.1974001,59.6174011,43.1450005,34.338501,91.3363037,2073.6899414,10.4649,60.8097,48.4196014,26.5657005,170.595993,42.4524002,16.9682999,146.529007,53.4141006,16.6968002
119.4300003,1622.4000244,16.0958004,60.9300003,61.6038017,39.0483017,96.7556992,1561.4899902,12.6356001,60.8050003,69.8339005,30.3047009,182.8679962,39.2495003,17.0426998,144.2749939,51.3928986,16.6639996
109.685997,1987.1999512,14.6075001,65.2021027,65.0110016,43.1814003,109.9599991,2003.1400146,14.5347996,60.6889992,64.9235992,33.6416016,158.4210052,38.4199982,16.8050003,139.7489929,50.4949989,15.1280003
67.4150009,3385.2199707,6.5244899,66.4916,47.8409004,5.04386,57.5709991,3667.7700195,6.5546098,68.0410995,46.7573013,3.3926301,162.1100006,65.0639038,20.0681992,146.0140076,81.4961014,17.9155006
62.1912003,3194.9599609,5.7322402,64.3396988,41.4095993,4.85675,60.3045998,3234.3400879,6.4292402,67.2898026,42.0029984,4.0722399,172.1239929,57.9513016,20.4374008,153.9759979,70.9494019,21.4260998
105.3880005,1904.7099609,13.8283005,60.7193985,49.4556007,37.5415001,99.4513016,1951.7900391,11.9435997,60.8945999,58.8353004,29.2471008,166.6990051,40.5084,16.8258991,142.746994,51.8410988,15.7006998
125.875,1549.6099854,17.3083992,62.3465996,69.7518997,42.0175018,114.9059982,1390.0899658,16.4782009,60.8905983,75.0342026,32.657299,184.9859924,36.6615982,17.0774994,142.9880066,49.3889008,16.6375008
64.9589996,3022.1899414,5.8169498,61.2442017,56.0,5.3186202,62.5546989,3113.2399902,5.8845901,67.1215973,55.0238991,3.93454,148.7440033,57.9389992,20.1257992,147.4349976,70.1688004,17.6606998
108.8130035,2344.3798828,14.6631002,71.4033966,63.5509987,51.6138992,140.0500031,2325.7800293,21.8127003,60.9863014,57.7062988,39.9838982,170.7070007,37.4682007,16.4220009,143.3090057,48.2607994,15.9694004
61.3805008,3116.6999512,5.5257201,63.3051987,47.0330009,4.8647699,63.3367004,3092.0600586,6.3536601,67.2584991,47.4406013,4.09624,168.298996,57.9454002,20.4218006,152.9700012,70.5077972,21.1406994
65.0735016,3051.1101074,5.88304,61.9650002,64.9654999,5.2335,58.5646019,3174.6298828,5.50946,67.3268967,63.0629997,3.81549,147.5140076,58.4505997,20.1082993,145.697998,71.1517029,17.1739006
120.1149979,1599.6199951,16.2933006,61.4151001,64.0839005,40.3661995,107.2699966,1517.1400146,14.5146999,60.835701,73.9673996,31.4789009,182.2120056,38.0533981,17.0081005,143.1790009,50.5018005,16.3043003
67.7480011,3332.8999023,6.5082202,65.6031036,48.1483002,5.0697598,56.0265999,3613.6201172,6.2874498,68.0330963,46.9860992,3.47036,160.8269958,64.1858978,20.0373001,146.3849945,79.9199982,17.9503994
89.3438034,2382.25,11.1311998,63.5124016,49.5950012,39.3664017,87.9107971,2456.1298828,11.7926998,61.1285019,47.4924011,30.2952995,164.3300018,43.0402985,17.0811996,144.1490021,55.4361,17.0063
65.5376968,3060.4799805,5.8909202,61.6610985,47.6879005,5.1269898,55.0213013,3216.9099121,5.4636502,66.8342972,46.6403008,3.7049799,156.9230042,57.5898018,19.948,148.4199982,69.094101,18.2462997
