H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
30.1711006,2166.9799805,3.8343799,245.2799988,98.5896988,29.9545002,36.4224014,2211.4799805,4.34867,176.1959991,87.3768997,23.4591999,345.7999878,117.5019989,50.3911018,343.1019897,135.7250061,49.6259995,0.0
31.4526005,2121.7900391,3.4628501,244.3789978,94.3223038,26.6469002,37.0112,2158.1101074,4.02912,169.6880035,84.7906036,22.2523994,344.04599,113.8000031,50.2103004,343.2669983,130.7440033,50.0023994,6.8
27.1804008,2103.7099609,3.6175001,265.3940125,95.3354034,27.1991997,35.7499008,2151.8601074,3.9194801,201.6080017,88.2789001,23.9477005,360.5249939,121.5179977,47.2201996,366.5010071,140.9299927,53.2475014,0.0
31.6037006,2111.3701172,4.0432901,246.9309998,99.2057037,27.3787003,36.7440987,2146.8500977,4.3726001,161.2559967,90.2941971,23.5016003,347.6340027,109.6559982,49.857399,340.7749939,122.0630035,47.5709,0.0
27.4622993,2101.5300293,3.6056299,262.5929871,94.5674973,27.8423004,35.3507004,2146.8798828,3.8412499,201.4470062,87.5718002,24.1140995,351.7489929,122.0709991,46.1044006,352.0390015,141.076004,51.6935005,0.0
29.7966003,2172.8100586,3.91186,250.951004,100.4560013,29.6961002,35.8586006,2215.9199219,4.3582602,185.7720032,89.9300995,24.7866001,352.7049866,119.2129974,50.4620018,351.3680115,136.7160034,50.9570999,0.0
27.8320007,2105.6499023,3.72984,267.4119873,94.2247009,26.1266994,34.5705986,2145.8300781,3.9992099,211.5859985,89.9757996,24.9705009,342.4729919,122.1060028,47.6953011,341.8370056,140.9120026,50.9939003,0.0
32.5710983,2153.1000977,3.63363,242.326004,102.1399994,34.7064018,39.0488014,2204.2700195,4.42941,139.371994,85.5184021,20.9988003,349.4429932,105.2099991,55.3995018,335.2219849,121.9580002,47.0598984,0.0
32.9313011,2136.3798828,4.0933299,245.6990051,106.8730011,35.6379013,40.148201,2181.4399414,4.4944501,145.3930054,92.5152969,24.1828995,354.04599,104.6640015,53.1036987,336.1530151,119.3769989,46.8967018,0.0
32.6232986,2133.2299805,3.7488599,242.4019928,99.4882965,30.2341003,38.6413002,2174.6201172,4.3696499,147.6779938,86.8841019,21.9517994,350.7340088,107.3300018,53.1553993,337.1520081,121.9509964,47.3487015,6.8
32.7064018,2143.4499512,3.84303,244.8470001,102.9800034,34.2988014,39.6996002,2192.0700684,4.4559302,145.6150055,88.6083984,22.4029999,350.973999,105.4140015,53.792099,337.1119995,121.1009979,47.2672005,0.0
