M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
125.9300003,4074.0100098,39.9738998,832.0529785,282.8729858,176.3730011,157.8739929,4091.4599609,45.7813988,670.1060181,255.8040009,145.5590057,345.7999878,117.5019989,50.3911018,343.1019897,135.7250061,49.6259995
145.5879974,4006.8798828,30.9941998,831.8309937,262.7709961,171.4730072,176.6560059,4026.1499023,39.8352013,657.6119995,238.8110046,143.9100037,344.04599,113.8000031,50.2103004,343.2669983,130.7440033,50.0023994
121.4380035,3996.4799805,27.1112003,903.4520264,257.4530029,177.4100037,158.1820068,4029.7900391,39.8860016,744.5460205,238.5449982,159.897995,360.5249939,121.5179977,47.2201996,366.5010071,140.9299927,53.2475014
152.0059967,3972.8701172,40.0677986,811.9680176,277.4790039,169.4900055,187.6199951,4033.1699219,52.5768013,623.1599731,261.625,151.7680054,347.6340027,109.6559982,49.857399,340.7749939,122.0630035,47.5709
122.0169983,3987.7199707,28.0277004,888.7750244,257.3720093,174.3099976,158.201004,4020.1201172,39.6484985,743.434021,238.5769958,155.220993,351.7489929,122.0709991,46.1044006,352.0390015,141.076004,51.6935005
119.7460022,4102.1298828,40.4673996,852.0189819,286.7369995,179.6329956,148.2960052,4115.2299805,46.2584,692.901001,262.8519897,154.4340057,352.7049866,119.2129974,50.4620018,351.3680115,136.7160034,50.9570999
125.7170029,3978.5200195,31.7208996,878.6560059,260.6690063,173.076004,157.0559998,4001.6101074,41.1292992,752.0980225,251.0460052,157.4819946,342.4729919,122.1060028,47.6953011,341.8370056,140.9120026,50.9939003
152.8309937,4008.3999023,39.3364983,797.6560059,298.7090149,187.0209961,190.8899994,4065.25,46.922699,565.7219849,254.6470032,135.197998,349.4429932,105.2099991,55.3995018,335.2219849,121.9580002,47.0598984
153.3200073,4004.0100098,42.9585991,810.0239868,316.2420044,189.7969971,201.5809937,4069.8798828,54.4306984,578.875,282.8590088,150.9499969,354.04599,104.6640015,53.1036987,336.1530151,119.3769989,46.8967018
155.3609924,3991.6499023,37.778801,807.5910034,284.0220032,178.9750061,193.8890076,4039.5500488,47.4774017,592.5679932,253.1690063,142.2799988,350.7340088,107.3300018,53.1553993,337.1520081,121.9509964,47.3487015
