DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
252.3209991,167.4100037,132.552002,39.3488998,40.7097015,3.1647999,273.5950012,180.8540039,150.4640045,37.3722,42.8347015,3.46295,52.8829994,2044.8000488,5.03514,61.7318993,65.7381973,3.3549399,52.4799004,2054.5500488,6.0258698,50.229599,63.6278992,1.8950599,219.7259979,76.7120972,39.4398003,214.6569977,90.1352005,42.7879982,0.0
259.9440002,188.5180054,150.6029968,40.1212006,41.5038986,3.1656699,275.6940002,197.3470001,158.5039978,37.7999001,43.4245987,3.51069,52.0373993,2045.6600342,4.2681398,61.2042007,59.1125984,2.9426799,52.3172989,2081.3898926,4.5745201,50.0629005,60.3366013,1.61983,218.3439941,77.5980988,39.2769012,209.7570038,84.3511963,42.4417,9.0
249.3639984,174.4409943,124.4950027,36.270401,41.9166985,2.99944,270.4159851,196.2109985,136.5180054,34.7384987,44.6660995,3.0632801,70.7714005,1950.6600342,4.92309,63.782299,61.7703018,4.3997598,68.0697021,2001.7399902,5.2399001,50.7173004,63.1949005,2.3827901,209.6390076,65.3984985,37.9127007,192.7149963,78.740097,40.137001,9.0
245.6900024,174.5429993,143.3509979,37.2151985,40.9006004,2.97405,264.6069946,176.8410034,145.2700043,35.7953987,44.0028992,3.14538,86.7220001,1877.1700439,5.5117402,64.5764999,64.2520981,5.76228,86.0587006,1916.5300293,7.12992,51.4313011,65.6100006,3.36396,211.4559937,63.0822983,38.5261993,213.8200073,68.3110962,41.2142982,18.0
259.9320068,190.3280029,150.8919983,40.2433014,41.5357018,3.1625299,275.1329956,189.5149994,156.3789978,37.7160988,43.2338982,3.5624199,47.2257996,2053.0,3.8395901,60.907299,55.5345993,2.421,46.8046989,2081.5400391,3.73751,50.0042,53.0023994,1.53987,218.4409943,78.8207016,39.2771988,209.0610046,81.2649002,42.2081985,0.0
250.6900024,203.7870026,125.8160019,36.2336006,42.0541992,3.0030799,271.1940002,219.6159973,138.0559998,34.8214989,44.9438019,3.0362101,57.3493004,2013.1300049,5.08181,64.1224976,61.1304016,3.7757299,55.453701,2050.0700684,4.8562799,50.7965012,56.6996002,2.0230899,211.5220032,65.9473038,38.0970001,201.8760071,77.7979965,40.5965996,27.0
255.9109955,187.875,142.0559998,39.9906006,41.0792007,3.1828301,275.2619934,199.5249939,157.6549988,37.7825012,43.2276001,3.5986099,48.9241982,2082.2399902,4.4956298,61.6334,64.8197021,2.5825801,50.4742012,2083.1201172,5.7479701,50.2356987,61.2994003,1.60686,221.647995,87.3738022,39.5410995,224.5339966,94.9205017,43.0326004,9.0
236.1779938,166.0829926,117.1829987,35.075901,40.0710983,2.9342599,261.4960022,185.4060059,130.697998,34.0835991,43.3297997,3.0385101,82.3211975,1893.25,5.3692799,64.1573029,63.4131012,4.9818802,82.5604019,1938.3000488,6.0368199,51.0602989,66.4709015,2.9670501,209.753006,64.1607971,38.4761009,192.7149963,75.3005981,41.0261002,0.0
261.5929871,199.0780029,155.7870026,40.675499,41.6561012,3.1834099,276.5,207.6649933,162.9909973,38.1456985,43.6138992,3.63887,47.7131996,2093.1599121,4.1173501,61.3298988,60.1313019,2.30303,51.3081017,2084.2600098,4.9488702,50.1980019,58.1386986,1.41935,219.6759949,84.9511032,39.4487,220.2059937,91.1396027,42.924099,0.0
249.0119934,175.3350067,123.439003,36.225399,41.8914986,3.0002899,270.3160095,198.1660004,135.9440002,34.7174988,44.6596985,3.0554199,70.6277008,1953.1500244,4.97963,63.8344002,62.0707016,4.4099202,67.819603,2002.6700439,5.29456,50.7302017,63.4380989,2.3694501,210.0299988,65.2249985,37.9463997,194.026001,77.8098984,40.2235985,9.0
256.3259888,188.8789978,143.0149994,40.0399017,41.1202011,3.1805301,275.2680054,199.7160034,157.5780029,37.7845993,43.2196007,3.6183901,47.7910995,2086.3898926,4.4111199,61.5643005,64.0911026,2.3951099,50.6323013,2082.6201172,5.7533302,50.2304001,60.1277008,1.5672801,221.0500031,87.4437027,39.542099,222.7250061,95.0603027,42.9847984,9.0
261.2829895,193.9859924,154.6349945,40.3876991,41.6166,3.17682,276.4060059,204.2830048,162.1759949,38.0259018,43.5982018,3.56282,48.5115013,2073.8601074,4.2637801,61.2723007,60.1487999,2.64993,50.0150986,2099.1000977,4.8326702,50.0962982,60.9440994,1.4404,219.2709961,81.4753036,39.3596001,215.2050018,87.5302963,42.7092018,0.0
243.3939972,166.1349945,127.2409973,36.9305,40.1505013,3.1321001,270.0289917,184.0390015,142.848999,35.5456009,43.417099,3.25962,70.9741974,1950.5400391,4.9568601,62.8110008,62.6255989,4.3026099,70.1352997,1992.4200439,5.52424,50.9384003,64.3076019,2.4117,218.1100006,67.0262985,38.8861008,197.5659943,82.764801,43.5172997,27.0
