H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
60.2949982,2006.5500488,4.74929,62.8897018,61.8190994,3.57461,59.6864014,2044.8399658,5.14292,49.8546982,62.9958,1.91097,222.9420013,71.5833969,40.5467987,205.1970062,83.4858017,43.4040985,18.0
63.1058006,1998.4000244,5.03053,64.2471008,62.3296013,4.0012999,60.3068008,2032.6099854,5.0627398,50.8160019,58.4987984,2.13713,213.1519928,65.9294968,38.1910019,206.1430054,77.7129974,40.7328987,0.0
49.6573982,2072.3500977,4.6570201,61.7150993,65.5817032,2.88151,49.9925995,2082.2199707,5.8221102,50.2453995,62.8181992,1.74323,221.8200073,86.5269012,39.5231018,225.4420013,93.8710022,42.9906006,9.0
44.4670982,2064.0800781,3.7618599,60.7901993,54.5639,2.0044799,46.5060997,2089.0700684,3.86902,50.0094986,51.6230011,1.38585,218.2489929,76.8383026,39.3507004,205.2299957,83.9421005,42.2289009,0.0
48.5488014,2092.5200195,4.2560701,61.4536018,62.0749016,2.37292,51.3600006,2085.1599121,5.2699599,50.2109985,59.6764984,1.45129,220.7449951,85.7509003,39.4984016,221.7579956,93.4320984,43.0018005,27.0
79.2575989,1912.7900391,5.31078,63.8293991,63.7542992,4.9544101,79.2807007,1941.7600098,6.3550401,51.2753983,65.0558014,2.91329,212.276001,65.5651016,37.9752998,199.7859955,78.0625,40.7193985,9.0
50.9576988,2060.9399414,4.7687602,61.5480003,63.5439987,3.0687101,50.6884995,2081.4899902,5.5381699,50.1715012,63.7056999,1.65093,219.503006,76.8723984,39.4143982,211.7779999,89.7844009,42.7490005,0.0
45.0716019,2072.6298828,3.89432,61.0396004,57.0752983,2.15172,48.3693008,2088.8400879,4.3155699,50.0569,53.6268997,1.38889,219.2949982,81.7945023,39.3909988,215.6309967,86.4725037,42.5872002,0.0
49.028801,2086.2900391,4.3979201,61.5648003,63.7807007,2.49281,50.7766991,2085.6201172,5.5184398,50.2190018,60.8095016,1.51368,221.6569977,86.3367004,39.5312996,223.6649933,94.5136032,43.0536003,0.0
46.337101,2089.6398926,4.1467099,61.3292007,60.9323006,2.08342,51.1216011,2084.6999512,5.29109,50.1843987,57.3426018,1.43365,220.1499939,84.876297,39.5139008,218.5279999,93.5969009,42.8739014,27.0
41.5856018,2080.9099121,3.7402301,60.8120995,55.0261993,1.39064,46.9299011,2095.6398926,4.3847799,50.0788994,52.6888008,1.28842,218.6799927,76.7667999,39.4655991,206.1699982,89.0385971,42.4631004,0.0
81.6456985,1884.7399902,5.3589702,64.3720016,63.8530006,5.0671802,86.3209,1915.4100342,6.48528,51.162899,66.1501999,3.34623,210.8690033,63.5657005,38.5130997,193.6100006,72.0106964,41.4174004,0.0
85.7931976,1882.1199951,5.5556502,64.2938995,64.1753998,5.4661002,87.1580963,1916.0100098,6.90833,51.2154999,66.668602,3.2746501,210.2799988,64.0206985,38.5004997,199.8829956,72.0235977,41.1613007,18.0
75.6165009,1928.4399414,5.2302599,64.4341965,63.5251999,4.83566,77.8287964,1960.2700195,6.1301899,51.1279984,63.3319016,2.8736899,211.4429932,63.5979004,38.5559998,199.2920074,72.805603,41.2980003,18.0
46.8204002,2090.1101074,4.0665998,61.2733994,59.7809982,2.13269,51.5721016,2083.1298828,5.0197701,50.1764984,56.7546997,1.4097199,219.7779999,84.3016968,39.4816017,218.3650055,92.3479004,42.8639984,0.0
63.3378983,1986.8199463,5.0283799,64.4189987,61.9029999,4.2065601,62.2018013,2023.7900391,5.2490702,51.0447006,58.3881989,2.30355,211.6609955,64.9735031,38.5969009,201.8289948,75.8874969,41.2717018,0.0
43.975399,2070.3798828,3.75425,60.6598015,53.8081017,1.74367,47.7523003,2090.4199219,4.0195398,50.0266991,52.0680008,1.2916501,217.2579956,73.646698,39.3821983,197.4369965,85.4891968,42.1315002,0.0
47.2967987,2053.2800293,3.8545001,60.9243011,55.7240982,2.4394801,46.9297981,2081.6699219,3.7703099,50.0064011,53.2178001,1.54103,218.4850006,79.0783997,39.2771988,209.6150055,81.3087997,42.2257004,0.0
80.1383972,1918.4200439,5.30654,64.5395966,63.7584,5.2671499,81.026001,1940.5200195,6.64433,51.2176018,62.8611984,3.0796399,211.3399963,63.4636993,38.5493011,203.345993,70.2058029,41.2667999,27.0
84.6386032,1889.5799561,5.5658302,64.2277985,64.0734024,5.33428,85.6523972,1924.5699463,6.7618499,51.1805,66.7298965,3.1551199,210.0579987,64.5164032,38.4938011,198.2859955,73.5093002,41.1375999,18.0
45.8111992,2079.6000977,3.9551401,61.1295013,58.0926018,2.0798199,50.6931992,2085.8898926,4.6905098,50.1124001,54.8572006,1.3756599,219.4689941,82.3188019,39.4524002,216.3390045,90.235199,42.7501984,9.0
58.2700005,2007.8000488,5.1126699,64.1539993,61.3264999,3.8282399,56.4626007,2044.7900391,4.9120898,50.8142014,56.9411011,2.0840499,211.526001,65.6521988,38.0962982,201.9140015,77.2982025,40.6010017,27.0
