DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
233.8509979,162.9689941,118.387001,33.5988007,39.7699013,2.8856001,259.4249878,180.6230011,131.9600067,32.1988983,43.0983009,3.0450301,78.1384964,1916.9100342,5.1684198,62.3865013,62.6767006,4.3970799,77.6520004,1956.6899414,5.8297,49.7737007,64.7530975,2.71225,207.5820007,64.930397,38.4267006,188.5590057,79.3420029,40.6218987
261.1889954,196.2700043,154.7059937,40.5147018,41.6127014,3.1812201,276.5010071,206.2669983,162.7850037,38.0955009,43.6078987,3.6071401,47.8504982,2085.7199707,4.1867499,61.3133011,60.4002991,2.4300699,50.4793015,2091.8601074,4.9078302,50.1446991,59.3678017,1.40529,219.9160004,83.9298019,39.4202003,219.8289948,89.5578003,42.885601
245.5800018,174.6560059,127.0780029,35.2963982,41.2528,2.9695799,269.9169922,191.0379944,139.7610016,33.8143997,44.3931007,3.14765,69.4925995,1955.2399902,4.7919302,62.2765007,60.5136986,3.9170699,67.9852982,2008.6899414,4.93467,49.6435013,62.2319984,2.22982,210.1179962,67.5876999,37.8754997,194.4600067,79.9960022,42.3049011
238.2050018,165.7740021,123.7180023,35.6264992,40.217701,2.9428599,262.2090149,178.1109924,134.6119995,34.5588989,43.4429016,3.0931599,84.8554993,1888.7399902,5.5711002,64.2378006,64.1088028,5.3621402,85.8479004,1923.5899658,6.8011498,51.1879997,66.7438965,3.17064,210.0930023,64.4763031,38.4952011,198.6640015,73.2939987,41.1430016
259.2940063,186.4230042,148.6390076,40.0245018,41.4654999,3.15839,275.2019958,191.2810059,156.1399994,37.6638985,43.2975006,3.49629,53.7459984,2028.25,4.0932002,61.0596008,57.2123985,2.9821301,53.0793991,2066.0900879,4.0828199,50.0255013,57.5167999,1.71711,217.8899994,76.1334991,39.2238007,207.0789948,81.4764023,42.2276993
261.2359924,194.5500031,154.6380005,40.417099,41.6119003,3.17858,276.4649963,205.1920013,162.5,38.0508995,43.6086998,3.5739901,48.2299995,2077.8100586,4.25807,61.2929993,60.3852997,2.5971301,49.9401016,2099.0800781,4.87852,50.1086998,60.8044014,1.42354,219.5330048,82.2259979,39.3792992,216.5950012,88.2401962,42.7673988
248.8990021,164.0099945,129.5370026,39.0449982,40.5752983,3.2413099,269.0559998,180.6690063,146.5240021,36.722599,42.5918007,3.3876901,56.2439003,2028.4100342,5.2102499,63.1001015,65.8953018,3.5869,55.5089989,2040.5600586,6.1236901,49.9855003,64.0863037,1.9540499,224.0950012,73.3265991,40.6568985,211.8730011,88.0371017,43.7266998
257.5960083,187.947998,146.0720062,40.1759987,41.2769012,3.17061,275.4890137,201.4290009,158.1399994,37.823101,43.2561989,3.66063,44.5657005,2083.8999023,3.99089,61.1347008,58.6640015,1.84988,50.2689018,2088.5,4.9755702,50.1352997,55.1268005,1.36748,219.5429993,81.8068008,39.4964981,213.9620056,92.0159988,42.7220993
237.0469971,179.7230072,116.9990005,35.0284996,40.2641983,2.9473,262.3359985,206.0240021,131.1109924,34.0074997,43.5732994,3.0128,73.584198,1934.5500488,5.2185602,64.3293991,63.8319016,4.6540799,74.1032028,1987.0699463,5.8071899,51.0438995,65.6141968,2.5835199,211.772995,63.4794998,38.574501,197.7570038,74.4013977,41.2625008
261.8070068,196.4179993,155.8659973,40.6116982,41.7126999,3.1745,275.0799866,192.1100006,156.5420074,37.7748985,43.1867981,3.60742,44.6172981,2068.9199219,3.83287,60.9948006,56.3504982,2.23685,45.5125999,2089.6298828,3.9423499,50.0093002,52.1917992,1.46969,219.5910034,81.8000031,39.3198013,214.4080048,82.4469986,42.2332001
