H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
101.2900009,1651.9000244,11.1761999,118.7330017,117.9759979,110.0410004,103.7539978,1554.8699951,12.2498999,84.7640991,110.7330017,77.8581009,202.8560028,48.1380005,25.2313995,202.5650024,60.9931984,23.2884998
73.2605972,1828.2700195,6.0851498,161.6450043,111.6159973,63.6922989,68.0326004,1682.8000488,6.0491199,94.129303,94.3089981,33.600399,210.3090057,55.5600014,29.8838997,192.2689972,71.1451035,25.6313
121.9540024,1509.5500488,15.7889996,133.4750061,114.6309967,148.1640015,129.1860046,1532.5899658,20.8118,85.9822006,108.8740005,108.7659988,206.5440063,46.9738998,27.2418995,186.9309998,60.1839981,22.5895004
76.3715973,1776.6999512,6.8867502,149.7660065,107.8730011,56.7550011,69.5192032,1677.4899902,6.4354801,92.9194031,92.2932968,23.5580006,211.4429932,60.8478012,28.4874001,185.8329926,79.9191971,25.4466
113.8280029,1574.1999512,13.6452999,126.2269974,116.5039978,136.0200043,117.9970016,1549.7399902,16.3526993,84.9997025,110.2440033,90.0840988,202.5769958,47.5853996,26.9883995,192.8549957,61.0340996,22.6130009
117.348999,1555.4599609,14.3765001,127.8860016,116.5220032,145.4960022,120.9229965,1548.9399414,17.0063,85.0022964,110.2030029,91.3871002,202.6620026,47.2442017,27.9242001,192.5529938,61.1296005,22.8237991
74.0688019,1803.9799805,6.2581902,158.1100006,110.2200012,63.1044006,67.8795013,1682.2900391,6.1893201,93.9693985,94.1094971,28.9953995,210.4940033,57.1413002,29.9799995,190.9349976,74.8392029,25.8644009
121.8460007,1523.8299561,15.3556995,129.9830017,115.6060028,155.0449982,126.2360001,1546.6500244,19.2362995,85.0714035,109.9800034,99.5978012,202.5859985,46.9300003,28.3668003,190.0269928,61.1815987,22.6480007
75.3536987,1789.6700439,6.39748,149.2870026,105.6019974,53.4347992,70.1616974,1680.2900391,6.5401502,93.1587982,92.3638992,22.5487003,211.2940063,60.9653015,30.7959995,192.6040039,81.5998993,26.8994007
75.4632034,1787.6099854,6.4704199,149.9290009,106.6279984,55.4696999,69.4669037,1679.0200195,6.4466901,93.0931015,92.3242035,23.6534004,211.2879944,60.5355988,30.1513004,191.1679993,80.3610992,26.5848007
73.5610962,1820.1899414,6.1532798,160.3800049,111.1699982,63.3016014,67.5691986,1682.2600098,6.0627599,94.0447006,94.2020035,31.9514008,210.3930054,56.1987991,29.7271996,191.6699982,72.4349976,25.6525993
76.0774994,1776.6700439,6.5756202,148.1860046,106.6760025,56.6297989,70.3107986,1679.5,6.5246601,93.066803,92.3703995,22.8577995,211.2839966,60.7519989,29.9943008,188.6529999,80.8567963,26.5095997
73.2518005,1840.2099609,6.23983,163.6560059,111.9029999,64.6937027,70.8627014,1685.5,6.1194301,94.5756989,94.6905975,36.037899,209.6589966,52.8881989,29.2441006,197.0310059,69.2269974,26.5622997
75.0870972,1797.0799561,6.4398499,151.6040039,107.4280014,55.9681015,68.6549988,1677.9200439,6.3250198,93.0976028,92.3003998,25.7740993,211.201004,59.7338982,29.7719002,192.1159973,78.6026001,26.4605999
126.8339996,1484.5600586,17.3507996,137.4170074,113.3560028,176.2839966,134.3679962,1518.4899902,22.1471004,86.864502,107.288002,116.0670013,207.0679932,45.3563995,31.0401993,194.8410034,59.1879997,24.2077999
74.8703995,1802.7800293,6.4331899,152.7590027,108.3059998,57.0000992,68.0681992,1676.9200439,6.2245002,93.0932007,92.2865982,27.7688999,211.1230011,59.0014992,29.4030991,192.4049988,76.8955002,26.3400993
