DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
257.4830017,190.9109955,145.9819946,40.207901,41.2504997,3.18554,275.9089966,205.473999,160.352005,37.9497986,43.4160995,3.61796,49.0560989,2086.5800781,4.3899002,61.5587006,63.6766014,2.4893899,50.7953987,2085.9399414,5.4928598,50.2170982,60.7911987,1.50494,221.6629944,86.2095032,39.5294991,223.5850067,94.4336014,43.0559998
259.0150146,185.3450012,147.8200073,39.9738007,41.4398994,3.15698,275.118988,190.8849945,155.6909943,37.6332016,43.281601,3.4856601,54.9398994,2022.8699951,4.11904,61.0696983,57.3147011,3.0693901,54.1057014,2062.1000977,4.1045499,50.026001,57.9085999,1.75719,217.7689972,75.4419022,39.2131004,206.1410065,81.4070969,42.1977005
251.1190033,200.9880066,126.2779999,36.0220985,42.1176987,2.9928701,271.2380066,226.1990051,137.9080048,34.6545982,44.976799,3.05814,55.0834007,2026.7700195,5.0542402,63.8764992,60.0640984,3.72913,54.7014008,2068.1599121,4.8632398,50.7092018,57.2986984,1.7618099,210.1349945,66.0824966,38.0313988,197.9349976,78.8630981,40.5191994
258.2189941,182.1699982,145.4629974,39.8294983,41.3672981,3.15277,274.8559875,189.4640045,154.3240051,37.5409012,43.2313004,3.45508,58.5500984,2006.5100098,4.1902099,61.0978012,57.6043015,3.32529,57.2784996,2049.1699219,4.1679902,50.0270004,58.9000015,1.87879,217.4219971,73.4738007,39.1814003,203.5549927,81.1535034,42.1081009
253.8569946,180.996994,136.8659973,39.615799,40.8524017,3.1765499,274.2799988,189.7339935,153.397995,37.5200996,42.9594002,3.5204,49.8964996,2067.4899902,4.73979,61.7038002,65.3415985,3.0033,49.9780998,2080.4299316,5.81214,50.2378998,63.3128014,1.77922,221.1920013,84.0963974,39.4939995,222.6699982,92.5962982,42.9136009
236.6040039,178.1179962,116.0350037,34.9872017,40.2251015,2.9479799,262.1789856,204.6730042,130.576004,33.9735985,43.5391006,3.0098901,73.5549011,1937.0999756,5.2274098,64.3202972,63.9406013,4.6427999,73.3658981,1989.1400146,5.7795401,51.0285988,65.8991013,2.5406799,211.8789978,63.6441994,38.5845985,198.0859985,74.2070007,41.2589989
257.2279968,178.4589996,143.2140045,39.7201996,41.2425003,3.1571,274.8460083,192.5429993,154.4600067,37.5494995,43.2327003,3.4454701,58.3815994,2015.8900146,4.5658598,61.3506012,60.8255997,3.4753599,57.3790016,2054.9199219,4.96907,50.0892982,62.8129005,1.88168,217.7749939,72.672699,39.240799,204.1049957,84.8059998,42.2965012
256.946991,188.4980011,144.8730011,40.2196007,41.2229004,3.19278,276.3699951,207.3930054,162.8040009,38.0789986,43.5838013,3.61498,49.777401,2081.0800781,4.4667301,61.6315994,64.2514038,2.6171899,50.2457008,2089.7399902,5.4533701,50.2019005,61.846199,1.47177,223.5059967,84.9898987,39.5575981,225.1490021,94.4429016,43.2060013
239.3150024,196.5350037,122.3150024,35.2881012,40.4882011,2.94891,263.3850098,212.9019928,134.4539948,34.2190018,43.7876015,3.0217199,66.9791031,1971.2399902,5.0769401,64.4310989,62.4930992,4.3917999,66.6761017,2008.0799561,5.4970198,51.0674019,59.8684006,2.43768,211.6940002,64.450798,38.5890007,201.4660034,75.1216965,41.2728996
237.5130005,174.2200012,119.7710037,35.3678017,40.2200012,2.93995,261.868988,193.7319946,131.348999,34.2967987,43.4015007,3.0403399,84.0998001,1877.0799561,5.44698,64.3201981,63.9982986,5.2659602,88.7451019,1901.9499512,6.7158098,51.1787987,66.3640976,3.4528201,210.4550018,63.5432014,38.5042,195.0149994,71.2266006,41.2697983
