Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
1.38967,188.9199982,1.39667,487.1380005,165.6269989,35.4126015,1.48156,170.7369995,1.58965,344.4670105,165.5200043,30.3213997,206.8609924,46.1982002,28.2537003,190.7200012,59.8974991,23.2254009,0.0
1.33154,184.1860046,1.4694901,509.9119873,142.7879944,31.3705997,1.30314,158.4730072,1.26692,347.2319946,136.9889984,21.9613991,210.9290009,53.9278984,29.4120998,184.6849976,72.8613968,25.8432999,0.0
1.34988,192.3820038,1.38462,487.1759949,165.5339966,35.2016983,1.5058399,178.8159943,1.59141,360.7869873,165.8880005,30.8936996,206.371994,47.6795006,26.9006004,184.7440033,60.4682999,22.2518997,0.0
1.34338,191.6940002,1.38342,487.6960144,165.423996,35.1659012,1.5210201,178.9100037,1.59193,365.1860046,165.9649963,30.9680996,206.3040009,48.4522018,26.7859993,183.7940063,60.7411003,22.1028004,0.0
1.59513,161.2180023,1.76126,524.7810059,135.4170074,31.2360992,1.47604,136.7420044,1.34215,380.9769897,130.1329956,21.1644001,211.1909943,59.6794014,29.7824993,192.2449951,78.5031967,26.4747009,0.0
1.30303,204.947998,1.35193,504.9679871,162.5149994,36.1659012,1.38984,178.0899963,1.62576,334.5169983,155.5509949,29.6366005,207.522995,43.4632988,34.4485016,195.5189972,58.1211014,25.4934006,0.0
1.5991,142.0169983,1.87793,549.5880127,151.7440033,33.0326004,1.47616,130.3899994,1.32502,431.0589905,148.9850006,26.9517994,209.8639984,53.6022987,29.5177002,195.4380035,69.4843979,26.1779003,5.6
1.36114,191.4960022,1.38792,486.4070129,165.5939941,35.2352982,1.5025001,176.9700012,1.59144,356.6629944,165.9429932,30.8469009,206.4660034,47.2961006,27.0524998,186.0169983,60.2944984,22.4461002,0.0
1.77553,149.4869995,1.71992,496.3680115,156.5630035,34.4917984,1.7829,138.7649994,1.63832,381.5249939,158.5480042,29.1940994,194.1470032,50.0831985,26.2917995,194.0,62.6730003,23.6166,11.3
1.48546,156.2960052,1.8515,544.8770142,154.0659943,32.8356018,1.34879,141.7810059,1.3212399,399.1470032,151.7640076,24.1672001,210.2610016,55.1050987,30.2863007,192.6580048,70.1135025,25.6411991,0.0
