M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
344.4630127,3579.1999512,43.3406982,449.7829895,250.8000031,16.5734997,448.7210083,3553.9399414,58.9418983,410.8450012,244.5460052,10.6896,217.5839996,68.232399,39.4905014,201.8480072,82.8462982,43.3377991
462.0400085,3446.7700195,45.0335007,463.6560059,266.4570007,17.8717995,522.0079956,3502.2900391,56.8278008,434.3439941,271.1990051,11.0607996,210.9790039,63.1223984,38.5228996,208.4689941,68.6596985,41.1715012
277.243988,3783.5,45.2874985,434.269989,206.9790039,13.2517996,323.428009,3753.6699219,59.7608986,403.3659973,198.6289978,8.89779,218.2929993,77.1365967,39.3400002,205.7149963,83.4459,42.2155991
285.8699951,3798.4299316,49.0363007,448.677002,227.8890076,14.6735001,342.3410034,3802.2800293,63.5588989,411.3129883,228.7850037,9.2597704,219.8289948,84.0587997,39.4199982,219.9929962,89.4618988,42.8857002
317.7130127,3512.1398926,42.2132988,430.2390137,226.0379944,14.8799,382.2260132,3518.7299805,56.8047981,395.9949951,226.298996,8.95438,216.3359985,70.1079025,38.3819008,199.9400024,80.7361984,41.8037987
317.9769897,3489.25,40.4365005,423.4710083,219.6759949,15.4373999,356.4519958,3491.6499023,53.4953003,390.3150024,213.0780029,9.1812801,209.3809967,67.4291992,37.7430992,198.147995,79.1079025,41.0242004
380.1470032,3251.6799316,42.4692993,436.6159973,245.8690033,16.7341995,436.6390076,3324.2299805,54.9073982,398.0580139,255.1790009,9.7792902,210.1519928,64.2882996,38.5029984,193.3059998,75.1517029,41.0696983
423.355011,3399.2099609,43.4373016,448.7609863,254.6329956,17.3603001,475.8880005,3374.0200195,56.4007988,409.8630066,250.9869995,10.1901999,211.2630005,63.5609016,38.540699,198.7380066,71.4891968,41.3083992
329.2309875,3453.25,42.3142014,430.2479858,228.6300049,14.9202995,380.2210083,3481.5900879,55.7900009,394.9869995,227.3990021,9.0595198,211.8390045,69.2667999,38.1930008,197.0919952,80.1722031,41.6111984
325.5610046,3579.3300781,38.4379997,423.8890076,220.970993,16.2721996,368.3900146,3546.4299316,50.8264999,390.6419983,203.0720062,9.6504097,210.8560028,66.2530975,38.0661011,199.8240051,78.7496033,40.5549011
