H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
74.1710968,1806.3199463,6.3226099,158.4819946,110.4150009,62.0169983,66.042099,1680.6099854,6.0366802,93.8348007,93.9431,28.6672993,210.602005,57.5611992,29.0231991,190.1900024,74.9459991,25.4974995,0.0
121.7220001,1524.3199463,15.3289003,129.9250031,115.5889969,154.4629974,126.1780014,1546.6600342,19.2369995,85.0751038,109.9779968,99.648201,202.5709991,46.9553986,28.2803993,189.9100037,61.1711006,22.6210003,16.9
75.9377975,1771.3299561,6.40661,146.1649933,105.4000015,56.3291016,71.6997986,1681.8100586,6.6694102,93.1894989,92.4597015,21.5251999,211.2590027,61.1897011,31.4887009,190.75,82.3563004,27.3813,0.0
73.3747025,1830.1199951,6.0939202,161.022995,111.4160004,62.9744987,66.527298,1681.3399658,5.9569201,94.0301971,94.1458969,32.7753983,210.3029938,55.7910004,28.9211998,191.9980011,71.6299973,25.4951992,0.0
73.6009979,1816.8599854,6.1535702,160.0,111.0619965,63.5970001,68.1490021,1682.75,6.1236,94.0674973,94.2418976,31.7994995,210.3939972,56.2426987,30.1079998,191.7120056,72.6219025,25.7723007,0.0
102.0039978,1664.0899658,11.6198997,134.845993,114.5970001,110.1829987,89.8747025,1455.6500244,12.0376997,78.6259003,97.8495026,67.1193008,198.6269989,50.8835983,25.2642994,189.9369965,65.2182007,22.0487995,0.0
124.8899994,1499.2600098,16.5004005,134.9490051,113.6360016,163.8600006,131.7429962,1519.7299805,21.0489998,86.8830032,107.4110031,109.8740005,206.6779938,46.1731987,28.8411007,191.1990051,59.7877998,23.2458,0.0
111.5530014,1572.4699707,13.0962,127.1780014,115.3330002,116.9179993,118.651001,1548.0,18.2870998,85.2126999,109.9789963,98.2639999,202.0980072,48.9067001,26.3181,186.1349945,60.8964005,22.1126995,16.9
75.8214035,1775.3399658,6.4136,146.8730011,105.4120026,55.3689003,71.3415985,1681.4699707,6.64709,93.1772003,92.4308014,21.6051998,211.2929993,61.2639008,31.3281002,191.1569977,82.3093033,27.2320995,0.0
75.3174973,1791.0300293,6.4426198,150.298996,106.6029968,55.0890007,69.3759995,1679.0,6.4327302,93.1102982,92.3253021,23.9785995,211.2660065,60.410099,30.1956997,191.8320007,80.1669006,26.6229,16.9
142.7949982,1376.4000244,21.9580002,150.7940063,112.2699966,229.7050018,152.4060059,1511.3699951,28.5198002,86.9553986,106.737999,143.0099945,208.2619934,42.3105011,38.9712982,200.8560028,57.3678017,27.4911995,0.0
75.413002,1788.0100098,6.4075599,149.1150055,105.6760025,53.7412987,70.1948013,1680.2700195,6.5424199,93.1521988,92.3638,22.5132999,211.3009949,60.9883995,30.7851009,192.3200073,81.5858002,26.8924007,0.0
75.3694,1786.9799805,6.2266502,145.5370026,103.1289978,46.6132011,72.4019012,1684.3100586,6.81459,93.3175964,92.4372025,19.0977993,211.5160065,63.3059006,32.9323006,195.977005,85.2643967,27.8313999,0.0
137.4250031,1415.5899658,20.0254002,143.0180054,112.6640015,206.1880035,145.5829926,1514.2900391,26.2602005,86.9175034,106.9800034,133.7700043,207.4750061,43.6764984,34.0988007,195.6230011,58.1613998,25.3673992,0.0
72.6960983,1841.5100098,5.9805298,164.4960022,112.1589966,64.5630035,69.452301,1684.4399414,6.0696702,94.341301,94.5535965,35.8588982,210.1340027,54.3140984,30.3721008,193.6560059,69.388298,25.6361008,0.0
75.2307968,1793.5400391,6.4865899,151.6040039,107.5940018,56.5413017,68.3102036,1677.4799805,6.3048501,93.0451965,92.2657013,25.3600006,211.2610016,59.908699,29.5107994,191.0870056,78.7668991,26.2770996,0.0
105.7939987,1610.8000488,11.2564001,124.3209991,115.0390015,83.9281006,114.064003,1537.1300049,17.8920002,85.9247971,109.0810013,98.278801,206.1730042,50.6758003,25.7108002,185.227005,60.0950012,22.9055004,16.9
95.1611023,1677.3000488,10.2538996,119.2819977,117.1529999,105.2939987,100.6819992,1555.25,12.3938999,84.7710037,110.5739975,80.1166,202.9759979,48.6733017,24.9960003,203.1640015,61.0339012,22.4698009,0.0
