Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.194044,40.9123001,0.735566,223.9019928,25.8810005,5.3460102,0.176794,32.2528,0.605607,199.7369995,20.4825001,3.7087801,220.4530029,84.9032974,131.2400055,203.572998,100.7399979,46.1561012,16.9
0.230004,44.5611,0.686322,245.9409943,26.8684006,5.6212401,0.226656,36.5798988,0.640226,204.8439941,21.5993996,3.8604701,223.5559998,87.9132996,132.8410034,212.3789978,104.5540009,48.7190018,0.0
0.376537,47.4499016,0.682819,284.9899902,28.3789005,5.6883998,0.585979,39.9794998,1.1324,207.0899963,24.0020008,4.05054,210.2079926,100.8949966,139.7030029,193.5220032,108.1589966,40.2653008,0.0
0.435974,44.0168991,1.06041,266.6900024,28.3747005,6.3485999,0.366362,34.202301,0.768182,214.6620026,22.9834003,4.1781101,233.9369965,94.7972031,43.4840012,223.5319977,109.8450012,41.6362991,22.5
0.457005,46.4233017,0.92511,271.1109924,29.7425995,7.0678501,0.490645,36.6775017,0.765331,212.5209961,24.9106007,4.32482,230.4160004,102.9039993,38.512001,213.2839966,116.0350037,38.6696014,16.9
0.412647,46.7391014,0.702061,304.3359985,27.6495991,5.7750101,0.747731,38.9169006,1.50844,208.0740051,23.6182995,4.0160098,215.6920013,107.137001,143.7189941,189.3000031,109.9710007,40.7596016,0.0
0.255658,45.0493011,0.680044,278.8190002,27.9850006,5.9128499,0.354823,36.6236992,0.79438,209.6849976,22.4445992,3.9783299,223.5500031,90.9337997,133.9450073,209.5099945,105.9919968,47.4524002,28.2
0.456543,42.9622002,0.900785,270.4689941,28.6751995,6.9391699,0.500881,34.7290993,0.756893,213.076004,24.1250992,4.3850298,229.3800049,104.7099991,38.5101013,213.279007,118.3710022,38.7481003,16.9
0.243462,51.6475983,0.657472,286.8299866,29.6130009,5.81884,0.266733,40.8282013,0.652133,206.2949982,23.5393009,4.0158701,219.8880005,83.7449036,136.5370026,215.8070068,103.7539978,43.9516983,0.0
0.344211,39.9398003,0.866721,261.9660034,26.2366009,6.30762,0.342728,33.6246986,0.70422,213.1439972,21.8647995,4.1712298,226.8630066,98.4716034,40.9878006,231.548996,115.0830002,41.5667,0.0
0.438271,53.1501007,0.893749,282.0950012,33.0970993,6.5156202,0.426855,41.1032982,0.759188,207.1620026,26.8234005,3.9549,239.4279938,101.2839966,36.8961983,209.1990051,112.4140015,31.3477993,0.0
0.279388,42.9379005,0.719046,263.0769958,26.7490005,5.8171101,0.324011,34.5141983,0.778044,205.3439941,20.9652004,4.0142398,225.727005,92.9927979,133.8350067,215.1970062,107.512001,49.0671997,0.0
0.357505,52.8894997,0.881535,271.2600098,32.8560982,6.5720301,0.36103,40.4874992,0.762529,204.5399933,26.3285999,3.8184199,240.7310028,94.7634964,39.5451012,211.4160004,106.6419983,33.4802017,28.2
0.301403,47.342701,0.673873,273.7349854,27.9892998,5.7831302,0.459543,37.9082985,0.973139,205.5679932,22.5867996,3.9242101,214.375,93.9639969,137.6170044,200.8820038,104.5370026,42.4934998,22.5
0.323808,49.1058998,0.673618,279.29599,28.6980991,5.8504901,0.464116,40.0567017,0.943764,206.0269928,23.5209999,4.0008702,214.2200012,94.3445969,139.3639984,201.3070068,105.1959991,42.5334015,22.5
0.275551,48.1575012,0.66229,269.4400024,28.1965008,5.7564201,0.378113,38.8811989,0.842016,205.7839966,22.8300991,3.90944,218.9839935,91.1379013,138.7610016,205.7089996,103.9749985,44.0138016,0.0
0.299862,47.2145004,0.673969,273.2569885,27.9608994,5.7796998,0.458683,37.7198982,0.972638,205.5379944,22.4836998,3.9206901,214.3869934,93.8534012,137.4850006,200.845993,104.4700012,42.4924011,22.5
0.377006,27.5207996,1.02816,240.3339996,23.0454998,6.50455,0.291301,24.7632008,0.840483,207.6069946,17.7511997,4.4173298,232.2870026,103.185997,42.0615997,238.848999,112.9309998,42.5535011,0.0
0.23413,47.1402016,0.660668,262.3359985,27.8288994,5.71771,0.264131,38.6652985,0.668661,208.9470062,22.6867008,3.8817799,221.6230011,87.9327011,133.9450073,212.2539978,104.3840027,47.1763992,28.2
0.313571,37.7220001,0.932814,250.8739929,26.8015003,6.1005402,0.320399,31.3054008,0.783486,208.3840027,20.5526009,4.1038599,236.0579987,95.6603012,44.6040993,225.8679962,108.5139999,42.7173004,0.0
0.314666,47.3284988,0.674528,276.7770081,27.9521999,5.5499902,0.495947,37.8171005,1.02068,206.3280029,22.6277008,3.92816,211.6679993,95.8226013,135.4219971,198.3549957,106.302002,40.2770004,0.0
0.385288,42.2773018,0.839293,274.5809937,27.3561993,6.5439801,0.437743,35.0175018,0.835139,217.1230011,23.2492008,4.3922901,222.572998,100.7220001,121.7460022,218.279007,114.2060013,46.9003983,0.0
0.224356,47.8022995,0.655324,261.4580078,27.7889004,5.6844902,0.24071,39.3726006,0.629703,208.9149933,22.7996006,3.85867,221.371994,87.3581009,133.6380005,215.5950012,104.4560013,47.1207008,28.2
0.452832,42.9135017,0.878169,282.5400085,27.2875004,6.6080098,0.567553,34.4124985,1.05458,215.1580048,23.5237007,4.3648701,224.8070068,106.887001,141.6100006,206.3500061,117.0240021,48.9001999,0.0
0.399461,55.4803009,0.896605,283.1019897,33.9266014,6.5299702,0.391214,42.0577011,0.757381,206.5639954,27.5883999,3.86836,241.7610016,97.7609024,37.257,210.4470062,109.6959991,31.5363998,0.0
0.325011,32.7302017,0.911441,248.1089935,24.9284992,6.4257398,0.311511,28.1924992,0.742691,207.1750031,18.9540005,4.3334498,231.3300018,100.0510025,41.6543007,228.9869995,113.2099991,42.2871017,0.0
0.401591,46.7681007,0.697308,299.2409973,27.7206993,5.7762098,0.708855,39.2219009,1.4220001,208.1490021,23.6599007,4.0362401,215.2709961,105.5599976,143.8959961,189.5910034,109.1330032,40.8142014,0.0
0.356301,32.6646004,0.965176,259.3729858,24.4300003,6.4570298,0.340365,27.4008007,0.802593,207.7319946,18.7961006,4.33144,229.878006,101.1380005,42.9785004,232.3710022,112.9280014,41.5657997,0.0
