DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
280.8059998,217.4609985,149.1450043,38.8633003,39.2010994,3.8115699,263.0580139,237.1369934,140.1340027,35.8923988,36.5643997,4.2488198,229.173996,99.7221985,39.1853981,218.8329926,116.9960022,40.4155998,0.0
263.3169861,210.3280029,140.6459961,38.2834015,37.1860008,3.8290801,248.1519928,226.5679932,133.5540009,33.7778015,34.2661018,4.0864301,233.128006,97.156601,43.2541008,223.8639984,113.3099976,41.6683998,22.5
213.8840027,226.6009979,116.8160019,29.3596992,27.6882,2.8132601,239.8200073,222.6929932,130.822998,29.6959,32.1874008,3.2168901,220.673996,87.5509033,134.8930054,213.2879944,104.0709991,47.071701,28.2
287.3989868,226.6000061,154.5639954,43.1231003,41.2988014,3.63047,270.8980103,245.8930054,147.1340027,35.3087006,37.6882019,3.8585801,228.6790009,97.6455002,42.8291016,224.8059998,111.2870026,41.3637009,0.0
290.1149902,217.0939941,152.121994,37.1245995,39.2192993,3.49454,296.4549866,232.3480072,155.9949951,32.7639999,39.0629997,3.1414499,247.6730042,93.8643036,42.2454987,215.7539978,107.1289978,39.7793007,0.0
300.7030029,226.6060028,162.0330048,41.8092003,42.3876991,3.6203699,288.5369873,244.8269958,156.4360046,36.3064995,39.8849983,3.8606601,227.5149994,97.6194,41.7178001,219.2810059,112.3069992,41.6026001,28.2
242.9129944,195.2079926,126.3649979,28.1467991,30.9479008,3.18487,256.4020081,196.4850006,134.4129944,27.1690006,33.1285019,3.2915699,244.4839935,86.0625992,42.0922012,211.2489929,103.1179962,35.1040001,0.0
261.6040039,209.8639984,140.0209961,38.6055984,36.9239006,3.8125501,247.3079987,224.0070038,133.125,33.2638016,34.1030006,3.9805,233.5399933,96.6551971,43.3660011,223.9459991,111.75,41.6596985,22.5
290.1749878,221.1080017,152.9640045,33.3694992,37.5060997,2.9779301,286.6159973,228.3540039,150.8849945,31.1100998,37.7757988,2.9711201,245.1380005,92.742897,42.9794006,216.6730042,105.0339966,37.6355019,0.0
299.4750061,225.8710022,159.904007,44.1369019,43.2066002,3.6989901,281.7189941,248.5709991,151.0839996,36.1377983,39.1966019,3.872,231.3560028,100.4599991,41.6520996,229.8540039,114.072998,42.2886009,0.0
217.0189972,228.2599945,117.7959976,34.8883018,30.2376003,3.16786,239.8739929,230.6779938,130.7799988,30.4454002,32.2444,3.3879299,222.6349945,90.0758972,134.5410004,209.0590057,105.2399979,47.3454018,28.2
325.5960083,232.3670044,169.878006,46.3895988,46.5393982,4.4100399,296.0450134,252.4980011,155.5279999,38.8142014,40.7178001,4.2877102,230.1649933,103.4300003,38.5474014,213.9810028,116.8460007,38.7214012,16.9
239.6159973,236.3059998,130.3919983,38.4210014,34.323101,3.1071601,258.5759888,243.3110046,141.1390076,33.7244987,35.1917992,3.4985299,225.5570068,92.8030014,134.0240021,214.8379974,107.3740005,49.0486984,0.0
297.8179932,218.2230072,150.7899933,44.6876984,43.8288002,4.1526299,309.1019897,245.4980011,158.5019989,35.9856987,40.3501015,3.9076099,231.8959961,100.3040009,36.1767998,206.7980042,112.0599976,30.8992996,0.0
299.5419922,218.0820007,151.0970001,46.3576012,45.0960007,4.58425,310.1329956,242.75,158.6880035,35.6138,40.3190002,3.83531,235.6300049,98.4891968,36.4990005,207.4810028,110.137001,31.0167007,0.0
256.243988,205.8119965,137.0330048,23.8068008,25.7315998,3.2195499,270.2860107,188.8860016,143.7859955,25.5224991,35.3269997,3.09568,247.1920013,85.1386032,41.7965012,213.8049927,101.8560028,38.3594017,16.9
272.2980042,211.9669952,143.352005,38.6598015,38.4734993,3.53368,262.1740112,229.1490021,138.5690002,32.0164986,35.0591011,3.53406,241.3769989,95.6176987,43.0335007,221.5980072,108.7419968,40.2613983,0.0
280.7009888,217.6909943,149.0679932,41.3352013,40.0577011,3.9124899,262.8510132,240.1860046,139.9810028,36.2521019,36.5194016,4.1912098,229.5780029,100.0419998,39.1752014,220.0039978,116.2429962,40.4208984,0.0
291.868988,228.4349976,156.0690002,48.455101,45.3376999,3.82831,269.9620056,252.9389954,146.8670044,36.2859993,37.6478004,3.9140201,230.1069946,102.0630035,43.1184006,235.302002,111.8130035,41.6547012,0.0
292.9100037,228.9349976,156.3959961,48.5379982,46.1278,3.8586299,269.5960083,253.2369995,146.7590027,36.1207008,37.6118011,3.9124501,230.2129974,102.4789963,43.1711006,236.8609924,111.487999,41.6968002,0.0
288.2380066,220.8130035,152.7980042,32.2279015,36.3103981,2.8742099,285.3359985,225.5789948,150.5509949,30.7140007,37.6705017,3.08287,245.2879944,92.6302032,43.1162987,218.0610046,105.1340027,37.7831001,22.5
259.67099,211.4080048,139.8179932,38.5960007,36.9137993,3.3814099,260.4190063,234.5559998,141.326004,33.531601,35.6585999,3.7168601,225.5390015,95.0294037,40.4216003,221.8110046,109.9120026,39.342701,28.2
268.8770142,209.173996,145.5180054,39.078701,37.6209984,3.5597701,263.6870117,232.1130066,143.2779999,34.5458984,36.3628006,3.8915999,228.647995,95.6078033,40.9071007,229.9539948,112.6490021,41.6781998,0.0
255.048996,231.1049957,133.8569946,44.675499,38.3028984,4.4671998,279.5539856,246.2550049,147.8339996,35.5707016,37.6006012,3.9912901,214.9649963,101.4059982,122.0189972,202.072998,112.7490005,39.0416985,0.0
288.3349915,220.4600067,152.5140076,31.7626991,36.1619987,2.9428401,285.9219971,224.1620026,150.6790009,30.5044003,37.6898994,3.00721,245.2610016,91.7720032,42.9728012,216.0050049,104.8069992,37.6273994,22.5
288.7330017,221.0440063,152.779007,32.7397003,37.0582008,2.8359599,286.0289917,230.1349945,150.701004,30.7357006,37.7435989,2.9538801,244.7579956,92.8720016,43.0145988,216.0720062,104.5589981,37.7150993,0.0
287.321991,218.1620026,155.302002,40.394001,38.7471008,3.83248,276.7690125,237.5870056,150.4589996,35.5797997,38.3372993,4.1072998,228.4170074,97.2594986,41.1978989,231.6529999,116.0510025,41.7369003,0.0
236.2100067,239.7129974,124.9079971,44.4957008,33.1198997,4.00982,265.2250061,251.2599945,140.7680054,32.9329987,35.4698982,3.3952,211.0319977,100.0950012,140.0740051,194.1889954,107.439003,40.3686981,0.0
189.1040039,213.8079987,102.8420029,33.0059013,26.6369991,3.4598,218.1940002,216.3289948,118.4020004,28.0494995,29.0361996,3.4528699,221.0339966,90.2559967,136.052002,208.7630005,104.8050003,43.9743004,0.0
299.1929932,217.8179932,150.9250031,46.2593994,45.0033989,4.69104,309.9389954,241.0350037,158.5540009,35.2000008,40.237999,3.75298,237.3359985,97.6138,36.6581001,207.8950043,109.189003,31.0960007,0.0
287.8710022,218.2700043,155.4360046,40.7006989,39.2747002,3.80742,277.3980103,238.8480072,150.673996,35.8274994,38.4090004,4.0932298,228.1360016,97.8665009,41.1511993,231.4129944,115.9769974,41.7018013,0.0
270.5950012,210.996994,145.6920013,39.6515007,38.0912018,3.8093801,259.6350098,236.2279968,140.779007,35.5317993,36.0621986,4.1680198,231.0809937,97.7878036,40.8395996,230.1430054,115.8809967,41.4794006,22.5
241.4069977,237.7819977,126.5800018,43.7071991,35.8442001,3.90148,268.2319946,249.8930054,142.0,34.2061996,35.9361992,3.64027,209.4349976,100.012001,133.2079926,197.5950012,109.4179993,39.8666992,0.0
266.6619873,208.4380035,139.9309998,30.8017006,33.5718994,3.2372501,276.5610046,211.7929993,145.7489929,29.1186008,36.1030998,3.1842401,246.2339935,89.4602966,41.5788994,212.8009949,104.5510025,38.3044014,16.9
268.5320129,210.1990051,145.022995,39.3003006,37.3511009,3.7384601,258.9949951,235.1459961,140.5200043,35.2564011,35.9380989,4.0992198,231.1970062,96.793602,40.8218002,232.552002,115.052002,41.4525986,22.5
233.3609924,242.4869995,124.052002,44.9861984,30.8113995,3.87289,263.368988,258.1170044,140.1470032,32.4558983,35.2849007,3.3315799,210.3220062,102.6490021,144.5169983,188.6990051,107.4530029,40.5435982,0.0
299.3299866,224.8159943,157.4680023,40.8748016,42.0377007,3.46403,286.2510071,241.0160065,151.6300049,34.0153008,38.1408005,3.4897399,246.8110046,96.8199997,43.8488998,225.2879944,108.0920029,42.1283989,22.5
