DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
197.4109955,115.0449982,132.9259949,75.2229996,30.8180008,16.9542999,260.8299866,134.2140045,142.3860016,64.6031036,0.0,12.2918997,73.5783997,1818.3900146,6.15236,160.1880035,111.1220016,63.4846001,67.9365005,1682.5699463,6.0987101,94.0607986,94.2294998,31.9085999,210.3919983,56.2108002,29.9626999,191.7030029,72.509697,25.7227993,0.0
206.2700043,98.7738037,119.8710022,59.3022995,31.4892998,20.3419991,230.6109924,101.4219971,122.4609985,46.096199,0.0,15.6115999,142.9470062,1400.4399414,20.2593994,140.3699951,113.086998,207.1730042,148.3500061,1515.0899658,25.4300003,86.9329987,107.1309967,125.1039963,206.9089966,44.0116005,30.5296001,189.3789978,59.1374016,23.8670998,0.0
204.4579926,101.7570038,122.1600037,52.6432991,31.1938,18.6618004,236.3899994,99.5057983,139.2519989,43.5068016,0.0,15.6254997,105.2919998,1628.5600586,11.9055996,121.6289978,117.6169968,117.9369965,108.6429977,1553.2600098,13.2327003,84.8712006,110.5690002,80.0473022,202.6889954,48.0457993,25.6986008,197.9790039,60.975399,22.8602009,0.0
206.6399994,120.5849991,119.4919968,60.2344017,31.5251999,20.0116005,238.1190033,119.3909988,117.9850006,44.9497986,0.0,15.0840998,139.0659943,1406.2700195,20.3857994,143.8370056,112.6149979,210.5749969,147.1629944,1513.8399658,26.6595993,86.9228973,106.9509964,135.0500031,207.5279999,43.4686012,34.4788017,195.6260071,58.1016998,25.5088005,0.0
208.2290039,148.8410034,118.3880005,62.3046989,31.6592999,19.8659992,258.9070129,146.2640076,107.2050018,44.0250015,0.0,14.5840998,141.1880035,1375.6300049,22.6546001,154.6459961,112.1060028,232.5769958,153.322998,1510.5999756,29.030899,87.0173035,106.625,145.8359985,208.802002,41.5014992,41.1062012,208.7830048,56.6837006,29.5319004,0.0
204.3280029,95.2152023,122.1549988,54.5483017,31.2007999,19.0748005,226.8659973,92.6760025,131.9490051,45.4940987,0.0,15.6838999,112.447998,1581.1800537,13.3622999,125.6080017,116.4720001,132.5919952,116.8880005,1550.0200195,16.1490002,84.9989014,110.2539978,89.7608032,202.5460052,47.718399,26.6867008,192.9409943,61.0027008,22.5198994,11.3
198.7140045,111.7890015,130.2669983,72.5335999,30.8822002,16.6625004,253.7920074,131.4519958,142.7590027,64.5,0.0,11.6148005,75.3014984,1791.9699707,6.5053601,151.5019989,107.5930023,56.6453018,68.2928009,1677.4399414,6.3090501,93.0305023,92.259201,25.1294994,211.2830048,60.0051003,29.4529991,190.720993,78.9148026,26.2283993,0.0
207.3800049,143.6360016,118.1589966,61.3848,31.5900002,19.8591003,248.6750031,142.3730011,114.0199966,43.7458992,0.0,14.1546001,142.6889954,1382.5400391,21.1784992,154.9069977,112.598999,232.1300049,148.5720062,1511.5699463,27.7474003,86.8935013,106.7819977,137.1519928,208.7250061,43.5032997,41.1753006,196.1869965,58.5214005,26.6040993,0.0
197.5130005,118.064003,132.9170074,75.2055969,30.8293991,16.9442997,261.5750122,136.3439941,143.121994,64.6509018,0.0,12.2212,73.6078033,1816.0200195,6.1521401,159.897995,111.0319977,63.6897011,68.3018036,1682.8699951,6.14045,94.0738983,94.2528,31.7707996,210.3930054,56.2478981,30.2133999,191.7369995,72.6631012,25.8066006,0.0
204.404007,101.3669968,130.1670074,74.1966019,31.5667,17.2838001,254.973999,121.1699982,139.3999939,66.1921997,0.0,11.9531002,74.7916031,1799.8399658,6.4695301,155.9589996,108.8440018,58.2202988,66.1439972,1695.8699951,6.0947099,94.1978989,93.3861008,26.0788994,212.1569977,59.6240005,28.7071991,189.6860046,77.5570984,25.4375992,0.0
196.7559967,106.0589981,133.0010071,75.2005997,30.7780991,17.3526001,256.2909851,126.0100021,140.878006,65.5523987,0.0,12.2737999,74.1669998,1805.0899658,6.30686,158.246994,110.3300018,62.3347015,66.7171021,1681.2099609,6.0925999,93.8808975,93.9998016,28.6944008,210.5639954,57.4458008,29.3327007,190.3869934,74.9742966,25.6282997,0.0
204.9219971,108.7180023,122.072998,51.5528984,31.2247009,18.4452,247.7310028,106.814003,145.9140015,42.0209999,0.0,15.7147999,101.2900009,1651.9000244,11.1761999,118.7330017,117.9759979,110.0410004,103.7539978,1554.8699951,12.2498999,84.7640991,110.7330017,77.8581009,202.8560028,48.1380005,25.2313995,202.5650024,60.9931984,23.2884998,0.0
197.5839996,115.1039963,132.9069977,75.2567978,30.8211002,16.7882996,262.0390015,135.0469971,142.029007,64.0369034,0.0,12.4118004,73.2605972,1828.2700195,6.0851498,161.6450043,111.6159973,63.6922989,68.0326004,1682.8000488,6.0491199,94.129303,94.3089981,33.600399,210.3090057,55.5600014,29.8838997,192.2689972,71.1451035,25.6313,5.6
209.3930054,88.2723999,120.413002,58.3694992,31.8099003,20.4057999,225.6260071,86.0628967,124.1650009,49.5228004,0.0,16.6583996,121.9540024,1509.5500488,15.7889996,133.4750061,114.6309967,148.1640015,129.1860046,1532.5899658,20.8118,85.9822006,108.8740005,108.7659988,206.5440063,46.9738998,27.2418995,186.9309998,60.1839981,22.5895004,0.0
