Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.778072,73.8746033,0.89115,177.5420074,47.7536011,4.28968,0.656891,73.6664963,0.84516,162.6060028,51.4379997,3.43663,219.4960022,68.9669037,39.7596016,201.5469971,82.5541,42.9757996,18.0
0.367148,69.5432968,0.523387,176.529007,57.9906006,4.91289,0.319276,52.6677017,0.371317,121.2429962,45.472599,2.5458901,211.1369934,63.4838982,38.5433006,194.3119965,73.6856003,41.3974991,18.0
1.1039701,91.5986023,1.1788,220.3950043,48.9528008,6.47925,1.18211,85.9031982,1.4592,173.371994,44.0677986,4.0120401,220.3000031,85.5373993,39.5061989,220.0740051,93.6300964,42.9306984,27.0
1.13995,90.6247025,1.15756,214.0140076,45.5792007,5.7789998,1.25569,86.2494965,1.39498,174.4210052,43.8694,3.88187,219.3430023,80.6648026,39.4658012,213.5469971,90.4991989,42.6801987,9.0
1.16509,88.5298004,1.18985,213.0140076,45.551899,5.3476701,1.17556,83.0226974,1.23769,171.3119965,43.8389015,3.78544,219.2769928,81.8307037,39.3792992,215.5209961,85.7954025,42.5517998,0.0
0.436578,79.4088974,0.556002,216.6089935,70.5826035,6.6956,0.388184,55.8300018,0.396578,132.6860046,46.2034988,2.95418,211.7769928,64.8479004,38.6049004,199.1490021,74.9843979,41.2011986,9.0
0.78146,74.737999,0.974237,177.2070007,47.2221985,4.3580699,0.60544,75.1649017,0.859974,161.0700073,49.4846992,3.3891201,222.7359924,69.171402,40.5491982,203.3029938,83.3022003,43.3414993,27.0
0.346935,54.9347992,0.533154,131.7709961,41.3530998,3.1382301,0.262983,48.1641998,0.420548,105.4309998,44.2845001,2.00611,210.0299988,64.2248001,38.4902,196.7200012,73.5501022,41.1242981,0.0
0.531289,60.9776001,0.750094,142.5379944,41.7536011,3.58323,0.361702,56.9477997,0.692202,119.5849991,46.543499,2.6233399,212.5160065,66.1238022,37.9963989,202.128006,77.8162003,40.7817001,18.0
0.723428,71.3787003,0.706536,176.8950043,50.1109009,4.40593,0.625122,65.2424011,0.638273,150.0050049,50.4291,3.0579901,211.7109985,68.4119034,38.1896019,196.0090027,79.8996964,41.5816994,9.0
0.848652,75.865303,0.821512,192.3589935,52.3820992,4.8252301,0.783767,68.3426971,0.757537,157.8309937,50.5493011,3.3415999,214.0299988,71.0080032,38.9143982,202.3359985,79.700798,41.4438019,27.0
0.933138,76.8584976,1.46457,178.2429962,43.7392998,5.5320001,0.682142,76.7173996,1.18872,156.4609985,43.8697014,3.82199,219.9210052,77.9404984,39.4490013,216.0910034,90.5059967,42.803299,0.0
1.06206,90.5861969,1.2032599,216.8450012,50.1186981,6.4033499,1.04667,82.6119003,1.2944601,168.7899933,44.1730995,3.87164,220.9920044,84.4676971,39.473999,221.0359955,92.2012024,42.9799004,27.0
0.254575,45.0227013,0.362904,105.038002,31.4389992,2.46436,0.205268,44.1100006,0.333048,93.7069016,43.4938011,1.61778,211.3130035,63.1222992,38.5237999,212.7339935,68.5246964,41.2071991,18.0
0.422741,56.2261009,0.642184,132.3390045,39.968399,3.0840299,0.329605,50.9982986,0.499631,109.0699997,43.4338989,2.0492899,211.5529938,63.9440002,38.7722015,197.576004,75.7281036,41.0177002,18.0
1.23498,88.1158981,1.4122601,205.9440002,43.6002007,5.3649402,1.38732,87.9574966,1.3929,177.4060059,43.7649002,3.77793,218.220993,74.6956024,39.4243011,202.9600067,87.0942993,42.3298988,0.0
0.407509,67.5423965,0.551491,181.6549988,56.6716995,5.2688298,0.362704,53.4588013,0.326306,126.5940018,45.3679008,2.704,211.75,65.1104965,38.6030998,201.848999,76.3862991,41.2738991,0.0
0.526809,72.0246964,0.564594,185.1410065,57.531601,5.1070499,0.48368,59.6008987,0.486572,136.7929993,47.7011986,2.8433499,209.802002,65.1866989,37.9263992,193.1880035,78.134697,40.1736984,9.0
0.297765,51.2658997,0.426536,119.8160019,38.0013008,2.7157099,0.243961,46.725399,0.373628,101.3460007,44.0401001,1.8492399,210.477005,63.4453011,38.5089989,199.2290039,70.3478012,41.1856995,0.0
1.21864,86.9544983,1.29538,216.7310028,45.6198997,5.1076002,1.16362,81.5522003,1.15407,170.6410065,43.6959991,3.76881,219.647995,81.691597,39.3160019,214.2400055,82.2695007,42.2006989,0.0
0.462819,69.3356018,0.589294,192.2830048,59.0867004,5.6154699,0.415157,56.0035019,0.380771,134.5429993,47.5644989,2.9843199,211.3950043,66.2901001,38.0937004,201.4750061,78.4400024,40.591301,27.0
0.914306,76.1492996,1.01061,177.6660004,43.7738991,4.4067702,0.76064,73.3684006,0.89783,154.7850037,43.8690987,3.3021801,217.628006,73.2939987,39.2158012,204.128006,83.4978027,42.2318001,9.0
1.0826,87.9428024,1.19101,207.5379944,47.7641983,5.7003102,1.0236501,81.0561981,1.19807,167.4649963,44.0955009,3.75316,219.6109924,82.7854996,39.385601,218.3139954,88.0233002,42.8151016,0.0
0.427344,68.7720032,0.58444,187.5749969,57.8319016,5.45297,0.370661,54.5617981,0.345037,131.3840027,47.4500008,2.86163,211.5650024,65.9019012,38.0985985,201.9779968,77.7329025,40.5997009,27.0
0.574722,62.0727997,0.817789,144.8139954,41.8264008,3.6829901,0.384714,58.3375015,0.736302,122.0329971,46.5629005,2.71504,212.572998,66.7496033,38.0103989,202.4199982,79.1194,40.7975006,18.0
1.13826,91.0886002,1.19473,216.3240051,46.8107986,6.0966301,1.25561,87.0025024,1.46152,175.0720062,43.9443016,3.9614899,219.6600037,82.6018982,39.4914017,215.5410004,92.123497,42.7677994,0.0
0.447742,71.2373962,0.556139,188.8910065,60.1021004,5.43782,0.403991,55.2969017,0.434247,129.348999,45.6234016,2.76583,210.4530029,64.9753036,38.5326004,194.7769928,76.5482025,41.0699997,9.0
0.553141,62.3744011,0.745999,146.1179962,42.7745018,3.62429,0.387362,58.8330002,0.692239,123.9960022,46.6893005,2.68168,212.2850037,65.8251038,37.9808998,199.8399963,78.7277985,40.7219009,9.0
1.09401,91.5691986,1.1669199,221.1060028,49.3972015,6.51159,1.15967,85.3494034,1.43929,172.6950073,44.0969009,3.99983,220.423996,85.808197,39.5035019,220.8580017,93.6549988,42.9631004,27.0
0.792204,73.8317032,0.800351,182.1009979,49.8707008,4.4317899,0.687297,67.995697,0.693229,154.0870056,50.7440987,3.17015,219.5370026,69.8404999,39.4271011,200.0690002,80.6781998,41.8027992,9.0
0.617283,70.1521988,0.622874,174.1799927,51.6146011,4.4338598,0.551568,63.7370987,0.5796,144.7660065,51.3007011,2.92893,210.1360016,66.7941971,37.8778992,193.8000031,79.4423981,42.2844009,9.0
0.263018,50.4407005,0.39657,119.4749985,37.6016006,2.80301,0.229277,45.669899,0.320899,99.3050995,43.9682007,1.8083,211.0679932,63.2784996,38.5299988,203.9459991,68.4714966,41.2136002,0.0
0.816917,75.1828003,0.876244,182.1750031,48.5867996,4.3808799,0.723924,74.0698013,0.848732,164.6459961,51.489399,3.4733801,219.4980011,69.8747025,39.7443008,202.2299957,81.8291016,42.9670982,9.0
1.11522,90.9648972,1.11886,218.6679993,47.6025009,6.1175699,1.20761,85.6628036,1.42316,173.6620026,43.9953003,3.94315,219.7250061,83.9901962,39.4786987,217.973999,92.1116028,42.8462982,0.0
1.12904,90.5173035,1.10984,215.1929932,45.9702988,5.74828,1.22142,85.2537003,1.36043,173.3509979,43.8902016,3.8686299,219.4440002,81.7649994,39.4532013,215.6679993,90.0991974,42.7272987,9.0
1.19837,86.550499,1.32586,205.5059967,43.2608986,5.0111799,1.23405,83.3094025,1.19847,171.8220062,43.7080002,3.6591599,218.1060028,76.2434006,39.3471985,204.0829926,83.7813034,42.2022018,0.0
0.355727,67.5121994,0.52905,171.4790039,55.8796997,4.7442799,0.30982,51.9138985,0.351018,119.2170029,45.2845001,2.4788401,211.3070068,63.4258995,38.5455017,196.2310028,73.3314972,41.3468018,18.0
0.280254,56.9505005,0.439946,141.6840057,44.7700996,3.6571801,0.249552,47.388401,0.297022,106.336998,44.5023994,2.09284,211.3220062,63.4609985,38.5474014,203.0319977,70.183197,41.2675018,27.0
0.421187,61.9005013,0.542824,153.7870026,48.2512016,3.83969,0.354261,52.6402016,0.456273,118.9720001,44.8973999,2.35777,209.0469971,64.231102,38.4356003,189.845993,77.1355972,40.8418999,18.0
1.09331,89.3378983,1.15437,214.0189972,48.2928009,5.9129,1.08716,82.6048965,1.2828,169.772995,44.0903015,3.8358099,219.8329926,84.1343994,39.4222984,220.0410004,89.5800018,42.8888016,0.0
