Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
1.20289,101.7139969,1.77106,232.1549988,35.9822998,4.7258101,1.0953,109.3539963,1.36874,209.197998,43.9583015,3.6730299,179.3589935,48.3221016,20.5442009,151.1289978,63.3190994,20.8195992
0.778904,96.6032028,1.5825,236.5070038,35.8110008,3.50106,0.688173,93.1807022,1.31576,211.7279968,37.8008995,3.20629,172.2400055,57.8289986,19.8826008,157.9559937,69.2748032,21.4367008
1.09365,112.427002,1.69995,235.9179993,40.2775002,5.1738,1.01033,93.3768005,1.32178,206.7330017,32.3497009,3.15119,163.3500061,65.7101974,20.2584991,146.9790039,82.4738998,17.8505993
0.768648,145.7120056,1.3532701,249.7230072,62.2168999,6.73561,0.830773,118.4589996,1.49856,181.6940002,56.2944984,3.5908301,166.8820038,37.0181007,16.9377995,141.8789978,48.8846016,15.6217003
0.706272,110.0530014,1.52381,224.7519989,44.0213013,4.3352699,0.644471,94.7694016,1.43151,201.2070007,41.8520012,3.2098601,163.9120026,51.1123009,18.4985008,149.375,62.8690987,18.8054008
0.559217,121.3880005,1.32076,250.0339966,48.7915993,4.8394699,0.724672,95.648201,1.51436,184.5410004,46.3180008,3.18012,170.595993,42.4524002,16.9682999,146.529007,53.4141006,16.6968002
0.552569,133.1710052,1.31365,249.7709961,60.3708992,6.2645502,0.705893,94.3067017,1.5112,177.3410034,50.6026001,3.4382701,182.8679962,39.2495003,17.0426998,144.2749939,51.3928986,16.6639996
0.643943,124.2799988,1.35223,249.4080048,53.8594017,5.7648902,0.656335,101.6989975,1.49941,182.5549927,51.3811989,3.2808399,158.4210052,38.4199982,16.8050003,139.7489929,50.4949989,15.1280003
1.03149,112.2020035,1.6846499,239.0249939,42.0340004,5.27178,0.984315,92.6207962,1.34225,206.8809967,32.8819008,3.1627901,162.1100006,65.0639038,20.0681992,146.0140076,81.4961014,17.9155006
1.2420599,39.5807991,1.7417901,229.2689972,6.78055,2.4842401,0.915916,101.2180023,1.32768,233.4320068,36.206501,3.49402,172.1239929,57.9513016,20.4374008,153.9759979,70.9494019,21.4260998
