M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
367.5490112,2904.2299805,70.5407028,426.8380127,195.9779968,20.6170006,356.8259888,3002.8701172,74.2573013,363.493988,178.7590027,11.1834002,177.0950012,45.2761002,18.1893997,149.2720032,55.9886017,18.7155991
214.1190033,2727.8898926,45.9016991,426.2189941,198.0659943,14.9110003,164.0839996,2695.2800293,56.971199,310.9559937,185.029007,7.74717,180.3639984,43.1095009,17.0648003,146.3840027,54.7979012,17.1590996
233.5570068,3105.6499023,46.8558998,460.5320129,173.625,12.6724997,214.5619965,3137.0300293,56.205101,393.6740112,172.1750031,7.6672702,163.5939941,51.0317993,18.3722992,147.2870026,62.3815002,18.4652004
138.197998,3424.5300293,37.9151993,546.0809937,177.2590027,7.4795098,153.0269928,2672.0700684,61.5694008,314.7950134,140.2059937,2.9296,171.326004,57.0073013,19.7992992,158.6529999,66.4981995,21.0723991
453.5589905,2487.3999023,86.6994019,371.3129883,214.2940063,26.2826996,439.3529968,2568.4699707,91.1214981,275.1199951,189.6569977,12.5501003,186.2149963,35.9715996,16.8540001,143.5850067,47.5046997,15.9805002
507.8559875,2290.7800293,99.3911972,306.1589966,232.8159943,31.5391998,513.3969727,2479.6999512,101.0270004,247.4499969,193.8869934,14.9566002,193.9299927,30.5405006,17.0028,142.5950012,43.2916985,16.5251007
217.9810028,3501.3798828,44.582901,516.151001,173.6410065,11.0705004,238.6999969,2927.9899902,66.0982971,344.1319885,141.052002,4.0334301,158.7850037,57.8291016,19.9722004,148.6829987,69.3822021,18.3752995
351.3909912,2600.8798828,68.4666977,400.7160034,206.3130035,21.0653,317.4559937,2647.8300781,75.8299026,294.1199951,186.3829956,10.2896996,183.6660004,39.3422012,17.0723991,144.3950043,51.4539986,16.8435993
238.8560028,3441.1599121,45.7215004,476.1889954,173.7610016,9.5938101,265.7739868,3290.2800293,57.3182983,429.4660034,152.2819977,5.1586199,150.401001,58.0589981,20.2660999,148.3049927,70.2457962,18.7805996
374.0969849,3539.4499512,52.4555016,546.6920166,165.1640015,14.0263004,371.1910095,3242.2199707,68.4358978,403.7279968,148.4190063,6.7160602,161.8569946,64.8800964,20.0667992,146.4450073,81.089798,18.0373001
269.2409973,3433.6398926,43.9584999,553.2780151,162.1060028,11.5774002,236.3509979,3546.3999023,49.4944,480.4419861,160.4949951,8.18993,171.3000031,58.4855995,20.4613991,153.2330017,71.8815994,21.1114998
264.8089905,3430.7199707,45.8027992,490.5029907,161.6410065,9.9900398,269.1589966,3544.5700684,53.7285004,466.3320007,163.4029999,6.5079899,156.8289948,59.0004005,20.3071995,149.0140076,71.0936966,20.2903996
413.6839905,2421.2700195,73.4354019,301.1860046,198.9360046,25.1026001,413.2999878,2577.1101074,77.5935974,256.8349915,189.4589996,12.3780003,161.8910065,33.7435989,16.7192001,136.9349976,48.4682007,14.2103004
272.177002,3431.8898926,44.6106987,539.8389893,162.3630066,11.6459999,244.5240021,3542.4099121,49.7798996,480.9289856,160.8480072,7.80404,171.1130066,57.8530998,20.4291,153.7660065,70.703598,21.3953991
315.0480042,3488.7600098,49.6922989,516.4719849,168.3529968,12.1451998,328.2860107,3183.8100586,64.8690033,393.2309875,146.8860016,5.6468401,155.9869995,61.4807014,19.9328003,145.8009949,75.6829987,17.5904999
219.3580017,2702.1398926,46.8721008,421.4219971,195.3150024,15.4018002,170.0119934,2694.5800781,57.4163017,310.4710083,184.8399963,8.1977501,180.2079926,42.5419998,17.0238991,147.0019989,54.1968994,17.0443993
395.5130005,2595.2299805,81.1207962,379.8120117,214.7120056,25.3841,394.6730042,2696.1298828,84.3042984,321.7420044,188.1390076,13.2776003,187.0919952,38.3102989,17.7497005,149.8009949,47.4889984,18.3111992
254.2039948,3416.2700195,44.2126999,516.2969971,162.3359985,10.2608995,244.7980042,3539.4399414,50.8423996,473.9549866,162.6109924,7.02244,164.6119995,58.1302986,20.3827991,151.9680023,70.3539963,20.9391994
178.3009949,3492.4399414,41.9827995,521.5739746,177.548996,9.4554901,194.6719971,2631.4499512,69.9789963,289.6419983,136.2250061,2.48718,163.4790039,57.7681007,19.5704002,154.4620056,67.1111984,19.7205009
506.4599915,2297.3701172,103.2259979,330.4649963,252.0980072,31.6093998,510.7839966,2459.2700195,106.677002,247.0899963,196.6569977,15.3209,200.4429932,32.1608009,17.0310993,146.7969971,41.0603981,16.6693993
255.1759949,3416.9099121,43.7313995,531.914978,162.4360046,10.6877003,235.947998,3540.3100586,49.6806984,477.5390015,161.848999,7.46099,168.1119995,57.9413986,20.4190006,152.9279938,70.4813004,21.1382008
145.2720032,2761.1999512,41.4892998,425.95401,189.2409973,13.5102997,91.8675995,2759.1799316,48.5,336.29599,183.9470062,7.6564598,167.2149963,44.7333984,17.2047997,147.8029938,56.7826996,17.7975006
222.8009949,3395.8898926,41.7918015,530.4379883,164.1349945,9.2719603,214.4929962,3531.6298828,49.3269005,473.42099,163.6170044,6.6837502,167.647995,57.8923988,20.4255009,153.276001,69.9412994,21.0195999
286.4400024,3449.3701172,45.1702995,553.9699707,162.0390015,12.3093996,251.5709991,3549.0,50.6299019,481.2099915,160.0,8.1845303,172.9620056,58.7508011,20.4591007,153.5,72.4182968,21.1898003
285.7000122,3476.6101074,49.0060997,492.9620056,171.2290039,11.3359003,308.2770081,3175.5100098,63.4378014,393.2219849,148.1470032,5.1740298,151.2339935,59.1987,20.1413002,147.2050018,72.0063019,17.5503006
487.2279968,2439.1799316,92.536499,345.2839966,218.0319977,28.2110004,482.131012,2550.7600098,95.5727005,266.7189941,190.8760071,13.3388996,184.451004,34.4679985,16.8824005,141.3399963,46.9034004,15.7833996
357.9460144,3527.8000488,51.6992989,540.4050293,166.1450043,13.5510998,359.6589966,3207.6999512,68.2116013,396.8410034,147.3679962,6.2997499,160.7819977,64.1155014,20.0361004,146.4499969,79.7830963,17.9673004
384.803009,3532.9499512,52.2639008,549.5609741,159.1710052,14.3264999,364.4729919,3585.1101074,63.8306007,456.7680054,158.9660034,7.7712002,167.3639984,66.2349014,20.3565006,146.6360016,83.5419998,18.0760994
441.4070129,2315.4099121,83.5389023,286.7669983,212.923996,28.1737995,439.2049866,2500.6201172,86.3723984,248.9790039,191.5650024,13.9459,181.3040009,31.4172993,16.6968994,141.2220001,45.0311012,15.3648005
286.3179932,2673.0200195,57.5358009,416.6459961,203.397995,17.9633999,244.1450043,2670.5300293,67.0823975,302.3970032,185.8480072,8.8868303,182.5690002,41.4178009,17.0827999,145.2830048,53.1767998,17.0541992
263.7709961,3470.8200684,47.7378006,492.5679932,172.8699951,10.9298,290.1140137,3079.7299805,64.2986984,376.4309998,146.0130005,4.6319299,153.095993,58.8172989,20.1658001,148.6529999,71.0307007,17.9627991
216.4210052,3414.6899414,44.2113991,476.0180054,176.5359955,9.4349003,254.375,3148.0900879,58.6477013,405.1010132,149.0549927,4.4689102,151.0549927,57.6939011,19.4496994,151.2039948,69.7774963,18.5757999
386.572998,2563.4799805,74.6541977,392.5270081,208.4609985,22.8013992,357.1400146,2635.2299805,80.7238007,289.6749878,186.7149963,11.0275002,184.3480072,38.2369003,17.0755997,143.8639984,50.5764008,16.7721004
283.3340149,2615.3000488,55.725399,394.5249939,193.8609924,17.9451008,244.0709991,2666.5600586,65.3258972,298.7090149,184.9779968,9.5975904,180.7220001,40.1543007,16.8652,146.2960052,51.5658989,16.1264
173.7420044,3387.3999023,39.7834015,537.59198,173.6320038,7.8635402,192.9640045,3080.4899902,54.7392998,408.0750122,148.503006,4.1827202,173.2230072,57.8092003,19.8934994,159.9149933,69.3026962,21.1832008
405.7120056,2523.3500977,72.6317978,342.4920044,203.2850037,22.5107994,389.9790039,2611.7600098,78.9110031,274.6690063,189.003006,11.3441,172.7400055,36.7038994,16.8206005,139.2610016,50.3471985,14.4198999
355.9049988,2867.1201172,68.6906967,413.6619873,195.7189941,19.8477001,346.2489929,2957.4799805,73.6080017,361.29599,180.348999,10.7819996,174.9340057,44.6194,18.7247009,150.4779968,55.3470001,18.7787991
378.5880127,3529.3601074,52.4567986,531.0689697,161.326004,13.9343004,367.6270142,3571.6000977,63.8699989,448.3469849,159.9859924,7.2456102,162.6000061,65.1468964,20.1847,146.4299927,81.4923019,17.5825005
487.1380005,2437.2299805,92.1485977,338.4530029,217.802002,28.1996994,484.3009949,2548.7800293,95.1669006,264.8529968,190.8910065,13.3444996,182.8589935,34.230999,16.8805008,140.4400024,47.0769005,15.6632004
290.8720093,3453.5600586,45.4603004,554.8280029,162.0679932,12.4800997,255.477005,3549.8100586,51.0167007,481.144989,159.8930054,8.1708097,173.5650024,58.924099,20.4598007,153.5720062,72.7053986,21.1800995
247.5110016,2580.25,57.3596001,347.4549866,197.6360016,18.8054008,209.1719971,2642.0100098,65.1326981,291.6229858,188.2149963,10.2600002,163.3659973,39.3436012,16.9592991,142.2200012,50.7597008,15.8046999
124.5250015,2747.3701172,41.5675011,396.0750122,193.996994,13.4175997,76.132103,2711.5100098,48.9734001,317.7900085,183.7019958,7.6792998,164.927002,42.9804001,17.0813999,144.1080017,55.6862984,17.0480995
335.1549988,3102.0800781,62.8880005,468.07901,190.8619995,16.9034996,318.7349854,3275.8898926,65.9677963,412.9339905,172.6880035,9.3448496,179.3639984,48.2476997,20.5438995,151.1300049,63.2396011,20.816
243.0619965,3436.4499512,46.2872009,472.9930115,174.6269989,9.8030596,275.0020142,3286.0800781,58.2514,427.4360046,152.0339966,5.1395502,146.9790039,57.7128983,20.1716003,147.4880066,70.0906982,18.2553005
199.8099976,2619.4299316,55.2657013,366.9859924,198.4259949,18.5088997,157.8379974,2667.1999512,62.0253983,301.9920044,187.2070007,10.2341995,165.4049988,40.6302986,16.4740009,143.7519989,51.5248985,16.2275009
368.0539856,2809.6101074,69.4188004,408.4880066,199.1190033,20.4640999,359.3800049,2928.7600098,74.1791992,355.3840027,182.7940063,11.1918001,176.9609985,43.8041,19.0205002,149.4340057,54.0892982,18.8337002
276.8540039,2655.3601074,55.4896011,409.3450012,199.302002,17.6599007,235.246994,2672.5200195,65.1063004,302.1629944,185.4199982,9.0958405,181.3999939,41.0560989,17.0188999,145.6470032,52.8536987,16.7761002
107.3639984,3024.8999023,38.1034012,472.9630127,180.4900055,9.6335001,80.9386978,3051.2800293,47.4874001,384.2529907,176.6109924,5.4963002,164.0789948,51.2252998,17.7903004,149.1900024,63.5792007,18.5505009
