Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
1.0853601,82.5887985,1.34314,613.1469727,75.4938965,56.8149986,1.18826,73.3794022,1.47655,496.3659973,68.0899963,54.7224998,342.3500061,122.8460007,46.835701,341.7099915,141.3809967,50.6481018
1.08121,88.5313034,1.30836,614.1170044,73.9838028,55.6906013,1.13388,74.0886002,1.26011,425.1199951,62.1209984,47.4872017,348.6489868,111.098999,53.0805016,348.1740112,128.9320068,49.1459999
0.903988,140.4929962,1.87747,577.5479736,124.0739975,57.9658012,0.991381,129.996994,1.5493701,396.5960083,108.9049988,52.982399,360.5899963,78.0981979,56.2859993,357.7250061,97.0951004,54.0351982
0.964921,94.7727966,1.30836,608.8549805,80.1958008,54.3900986,1.00843,79.4272995,1.31668,387.2890015,65.7798004,46.5051994,349.8779907,108.5619965,51.1450005,336.0310059,122.7350006,46.5617981
1.0161099,81.7969971,1.37725,651.3690186,74.4135971,60.9238014,1.1318901,72.346199,1.44036,509.4549866,66.6132965,56.8627014,355.2630005,123.2750015,48.6366005,351.9750061,141.2649994,51.1048012
0.90419,145.4550018,1.8705,577.6380005,126.2149963,58.0087013,0.9946,134.3099976,1.55143,399.3970032,110.9909973,53.4205017,360.5029907,77.4404984,54.1361008,357.6059875,96.3192978,53.6260986
0.958033,113.5159988,1.51955,592.4290161,95.8412018,56.8097,1.05132,99.217598,1.5249701,389.7340088,81.4375,51.0830002,357.3619995,99.3967972,49.405201,346.2640076,112.737999,48.4037018
1.04557,147.2769928,1.81636,595.2449951,120.4970016,56.3092995,1.11338,135.470993,1.6441,415.0350037,107.6460037,54.2827988,356.9460144,83.6408997,48.2116013,347.6080017,99.1941986,50.8072014
1.0742,100.2750015,1.50148,619.4630127,86.3466034,56.3278999,1.14045,86.6243973,1.6057301,402.4129944,72.3195038,51.4771004,356.276001,104.8639984,49.7643013,347.8850098,116.6439972,47.4353981
0.990442,80.5827026,1.3028899,626.90802,74.1400986,57.6492004,1.06575,72.2162018,1.4348201,493.3129883,68.0227966,55.4948997,360.5440063,121.5670013,47.3669014,366.5079956,141.0919952,53.2282982
