Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.632206,141.8840027,1.32987,248.9720001,70.4279022,7.9590702,0.70188,105.9000015,1.51882,171.6029968,57.7504997,3.70488,184.451004,34.4679985,16.8824005,141.3399963,46.9034004,15.7833996
0.959894,112.7659988,1.66731,239.1730042,43.9748001,5.31394,0.933217,92.194603,1.3414201,206.098999,33.6012993,3.14275,160.7819977,64.1155014,20.0361004,146.4499969,79.7830963,17.9673004
1.22097,110.9660034,1.72668,236.4149933,36.4687004,5.1265502,1.1447901,95.3548965,1.32323,209.0050049,32.2212982,3.2186601,167.3639984,66.2349014,20.3565006,146.6360016,83.5419998,18.0760994
0.89949,181.9429932,1.34821,248.5610046,78.463501,8.4576502,1.02046,134.128006,1.51179,175.5899963,63.3772011,3.88446,181.3040009,31.4172993,16.6968994,141.2220001,45.0311012,15.3648005
0.545153,130.2830048,1.31332,249.8549957,58.8515015,5.9221301,0.717209,91.4125977,1.51244,178.9620056,49.162899,3.4486301,182.5690002,41.4178009,17.0827999,145.2830048,53.1767998,17.0541992
0.75566,104.9570007,1.59044,242.2949982,41.6044998,4.6068602,0.746062,89.6043015,1.32022,204.4290009,37.3238983,3.09378,153.095993,58.8172989,20.1658001,148.6529999,71.0307007,17.9627991
0.775445,104.4749985,1.53327,237.3410034,39.0778008,4.0806799,0.709216,89.8583984,1.31207,206.6009979,38.5758018,3.0587599,151.0549927,57.6939011,19.4496994,151.2039948,69.7774963,18.5757999
0.560195,135.8609924,1.31468,249.5930023,63.4530983,6.6730599,0.711447,95.3756027,1.5106601,176.3930054,52.0508003,3.51315,184.3480072,38.2369003,17.0755997,143.8639984,50.5764008,16.7721004
0.549207,130.4559937,1.31101,250.5279999,52.9108009,5.37468,0.721358,95.4966965,1.51061,179.5269928,47.5195007,3.2140801,180.7220001,40.1543007,16.8652,146.2960052,51.5658989,16.1264
0.696741,107.0839996,1.5502,237.9839935,39.6427002,3.8526399,0.642956,93.4633026,1.31348,207.1959991,38.0545998,3.1292601,173.2230072,57.8092003,19.8934994,159.9149933,69.3026962,21.1832008
0.604049,134.2079926,1.3294801,250.6950073,60.0143013,6.2399902,0.64157,97.1042023,1.50131,175.9450073,52.5708008,3.24876,172.7400055,36.7038994,16.8206005,139.2610016,50.3471985,14.4198999
1.04087,113.512001,1.62036,222.2100067,47.3574982,5.7234101,0.9548,119.288002,1.48455,201.0749969,50.6064987,3.7771101,174.9340057,44.6194,18.7247009,150.4779968,55.3470001,18.7787991
1.07689,108.9909973,1.69315,236.151001,39.5469017,5.1500802,0.999519,91.6589966,1.32149,205.3849945,32.6799011,3.1691899,162.6000061,65.1468964,20.1847,146.4299927,81.4923019,17.5825005
0.623254,141.5,1.32955,248.8500061,70.7331009,7.9667702,0.679201,105.2300034,1.5189101,171.2409973,58.0539017,3.68802,182.8589935,34.230999,16.8805008,140.4400024,47.0769005,15.6632004
1.28531,44.4724007,1.7472301,229.9100037,6.9625101,2.6881001,0.977826,102.4950027,1.3276401,232.5529938,35.762001,3.48472,173.5650024,58.924099,20.4598007,153.5720062,72.7053986,21.1800995
