H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
78.1384964,1916.9100342,5.1684198,62.3865013,62.6767006,4.3970799,77.6520004,1956.6899414,5.8297,49.7737007,64.7530975,2.71225,207.5820007,64.930397,38.4267006,188.5590057,79.3420029,40.6218987
47.8504982,2085.7199707,4.1867499,61.3133011,60.4002991,2.4300699,50.4793015,2091.8601074,4.9078302,50.1446991,59.3678017,1.40529,219.9160004,83.9298019,39.4202003,219.8289948,89.5578003,42.885601
69.4925995,1955.2399902,4.7919302,62.2765007,60.5136986,3.9170699,67.9852982,2008.6899414,4.93467,49.6435013,62.2319984,2.22982,210.1179962,67.5876999,37.8754997,194.4600067,79.9960022,42.3049011
84.8554993,1888.7399902,5.5711002,64.2378006,64.1088028,5.3621402,85.8479004,1923.5899658,6.8011498,51.1879997,66.7438965,3.17064,210.0930023,64.4763031,38.4952011,198.6640015,73.2939987,41.1430016
53.7459984,2028.25,4.0932002,61.0596008,57.2123985,2.9821301,53.0793991,2066.0900879,4.0828199,50.0255013,57.5167999,1.71711,217.8899994,76.1334991,39.2238007,207.0789948,81.4764023,42.2276993
48.2299995,2077.8100586,4.25807,61.2929993,60.3852997,2.5971301,49.9401016,2099.0800781,4.87852,50.1086998,60.8044014,1.42354,219.5330048,82.2259979,39.3792992,216.5950012,88.2401962,42.7673988
56.2439003,2028.4100342,5.2102499,63.1001015,65.8953018,3.5869,55.5089989,2040.5600586,6.1236901,49.9855003,64.0863037,1.9540499,224.0950012,73.3265991,40.6568985,211.8730011,88.0371017,43.7266998
44.5657005,2083.8999023,3.99089,61.1347008,58.6640015,1.84988,50.2689018,2088.5,4.9755702,50.1352997,55.1268005,1.36748,219.5429993,81.8068008,39.4964981,213.9620056,92.0159988,42.7220993
73.584198,1934.5500488,5.2185602,64.3293991,63.8319016,4.6540799,74.1032028,1987.0699463,5.8071899,51.0438995,65.6141968,2.5835199,211.772995,63.4794998,38.574501,197.7570038,74.4013977,41.2625008
44.6172981,2068.9199219,3.83287,60.9948006,56.3504982,2.23685,45.5125999,2089.6298828,3.9423499,50.0093002,52.1917992,1.46969,219.5910034,81.8000031,39.3198013,214.4080048,82.4469986,42.2332001
46.7134018,2089.5100098,4.06322,61.266201,59.7369995,2.1196101,51.5330009,2083.3898926,5.0201201,50.172699,56.6543007,1.40762,219.7850037,84.1801987,39.4830017,218.1690063,92.3526001,42.8563995
72.1847,1943.9699707,4.9969401,62.5138016,61.5736008,4.25143,69.6667023,2000.3100586,5.1484499,49.7691994,63.3945999,2.3631201,208.0410004,66.0720978,38.4513016,190.4539948,80.0498962,40.6418991
45.9165001,2088.9499512,4.2814298,61.4404984,62.6734009,2.11571,50.2938004,2084.7700195,5.6598802,50.2100983,58.3852005,1.4966,220.4559937,86.3252029,39.5428009,219.7220001,94.770401,42.9094009
42.2074013,2081.4199219,3.8071899,60.8866005,55.9039993,1.49707,47.8247986,2094.2299805,4.5516701,50.0910988,53.1785011,1.30171,218.8350067,77.7482986,39.4742012,207.5370026,89.7734985,42.5139999
43.8801994,2070.5300293,3.7431901,60.6679001,53.7318001,1.7202899,47.6777992,2090.5600586,4.0062799,50.0278015,52.0388985,1.296,217.4429932,73.5980988,39.3849983,198.326004,85.5500031,42.1615982
64.3683014,1982.8199463,4.6170998,61.8442993,59.9506989,3.6512699,62.6039009,2029.5300293,4.63939,49.8558998,60.053299,2.06043,212.0690002,69.4356003,38.2090988,198.1549988,79.5737991,41.6334
68.0701981,1967.2600098,5.13836,63.8711014,63.5251999,4.0736399,68.0765991,1996.8199463,5.7814999,50.6875992,64.1697998,2.40273,218.7870026,67.6305008,39.3956985,199.8130035,82.9933014,44.7375984
64.346199,1981.1800537,5.1695499,63.3137016,64.0896988,4.1303,65.3097992,2007.8399658,6.0093002,50.9664993,64.7134018,2.3354499,220.4980011,68.913002,39.7649002,203.3919983,85.7662964,44.1930008
45.0955009,2072.6101074,3.8985801,61.040699,57.085701,2.1911399,47.8857002,2089.0600586,4.2596898,50.0522003,53.6890984,1.4010201,219.2799988,82.0488968,39.3736992,215.9279938,85.5530014,42.5581017
83.5740967,1889.0400391,5.4488001,64.1762009,63.6607018,5.1206498,84.6984024,1928.9499512,6.3276401,51.1076012,66.6352997,3.0701201,209.8150024,64.2718964,38.4794998,194.4049988,74.7026978,41.0708008
86.3907013,1878.6899414,5.5460501,64.3785019,64.254303,5.6015701,87.6552963,1910.8000488,7.0652099,51.2675018,66.2062988,3.38502,210.5679932,63.5287018,38.5103989,202.9539948,70.2340012,41.1761017
46.831501,2054.8400879,3.8327401,60.9065018,55.5354004,2.38922,46.5029984,2082.6499023,3.7444401,50.0043983,52.8143005,1.52862,218.5039978,79.0475006,39.2825012,209.3170013,81.376297,42.2114983
85.2490997,1879.4599609,5.5037899,64.3219986,64.1072998,5.42311,88.0998993,1907.9499512,6.8627501,51.2114983,66.2977982,3.37709,210.397995,63.6083984,38.5046997,198.8809967,71.1313019,41.1820984
55.2346992,2009.3399658,4.4311299,61.3634987,57.5449982,3.21837,55.0522995,2057.3000488,4.3588099,49.2795982,57.1730995,1.81766,217.5099945,72.8158035,39.699501,204.227005,79.9063034,43.0064011
