M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
426.6940002,3617.679932,52.57239914,814.8270264,403.9760132,147.3090057,453.9070129,3719.929932,63.53910065,666.0310059,387.7030029,99.01180267,211.2070007,59.61899948,29.56100082,191.7929993,78.23819733,26.34830093,1,0,0,0,0.0
445.6010132,3678.620117,54.26750183,830.3109741,417.3559875,152.3009949,467.7860107,3826.159912,65.4673996,675.0180054,399.8150024,90.93119812,211.0019989,60.48699951,32.01200104,188.9839935,82.14240265,28.25880051,1,0,0,0,0.0
486.3829956,3292.550049,66.69280243,716.0960083,463.4320068,202.4629974,528.276001,3359.0,81.45899963,550.6110229,453.9830017,152.3110046,206.8090057,46.04270172,29.42079926,192.875,59.69100189,23.52669907,1,0,0,0,0.0
427.4899902,3703.01001,50.56209946,819.7709961,418.769989,148.6679993,458.2900085,3827.310059,62.53779984,666.2880249,399.9779968,96.54820251,211.4720001,60.50930023,28.57119942,187.826004,79.1964035,25.57850075,1,0,0,0,0.0
525.6539917,3262.76001,79.27480316,828.5529785,472.1579895,218.1880035,555.1300049,3360.629883,91.22969818,602.5549927,452.2409973,145.5870056,206.6260071,47.34370041,34.52719879,195.6329956,65.01879883,26.05380058,1,0,0,0,0.0
376.7550049,3493.310059,42.88079834,766.2719727,376.776001,152.4069977,408.2680054,3612.48999,55.83089828,635.6749878,359.4979858,112.7959976,210.3049927,55.40810013,30.47579956,192.3670044,70.47070313,25.72649956,0,1,0,0,0.0
375.1759949,3483.570068,42.54299927,763.7719727,372.6960144,151.5200043,406.7099915,3598.669922,55.63069916,632.2949829,356.0870056,113.5820007,210.2660065,55.12139893,30.34289932,192.6269989,70.07099915,25.64970016,0,1,0,0,0.0
458.5039978,3381.52002,54.16360092,664.322998,459.6679993,175.8200073,497.9129944,3439.320068,72.34069824,555.7739868,453.6839905,145.496994,202.1029968,47.77370071,26.27619934,190.826004,60.2417984,21.34059906,0,0,0,1,0.0
444.9119873,3642.350098,56.45289993,830.9130249,412.6130066,147.9100037,467.8420105,3760.25,66.59559631,673.5700073,395.3999939,91.52600098,211.3029938,61.14089966,30.96549988,191.125,81.90509796,27.0121994,1,0,0,0,0.0
537.2949829,3178.040039,85.32050323,777.4749756,480.6210022,226.3240051,581.9359741,3252.75,96.69049835,554.3150024,464.7420044,164.1360016,207.4499969,43.81489944,33.9056015,195.776001,58.17910004,25.29990005,1,0,0,0,0.0
463.5090027,3308.280029,59.02130127,670.8939819,454.4779968,188.2680054,500.9960022,3384.139893,73.7677002,529.6309814,448.3630066,143.4519958,202.5809937,47.2867012,27.6508007,191.477005,61.1006012,22.63369942,0,0,0,1,0.0
490.1369934,3414.129883,67.08979797,784.75,442.6000061,183.3450012,521.8220215,3545.23999,75.94190216,627.9890137,426.4649963,116.0569992,210.397995,53.05080032,28.48320007,184.9290009,73.67849731,24.82239914,1,0,0,0,0.0
487.394989,3282.040039,67.36599731,716.9840088,462.9089966,203.5449982,528.8540039,3349.51001,81.75370026,548.4439697,453.0379944,152.6309967,206.8619995,45.95100021,29.70280075,193.4349976,59.62720108,23.6548996,1,0,0,0,0.0
551.5120239,3132.790039,90.71520233,795.6900024,487.6910095,235.8500061,596.8410034,3208.909912,100.9280014,555.8380127,468.8309937,167.9550018,207.7559967,42.98199844,36.03419876,197.3159943,57.68610001,26.16349983,0,1,0,0,0.0
459.8919983,3605.77002,63.55189896,842.03302,407.2539978,143.9029999,476.9110107,3697.949951,71.32420349,678.0300293,390.730011,87.5714035,211.3829956,62.1067009,31.79430008,193.9440002,84.14479828,27.3227005,0,1,0,0,0.0
442.7600098,3613.459961,57.58950043,827.7890015,405.57901,145.9589996,465.1080017,3712.399902,67.13970184,671.2280273,389.2680054,93.4835968,211.2709961,60.71910095,30.61580086,192.6679993,81.07790375,26.82629967,1,0,0,0,0.0
417.2359924,3724.080078,49.28860092,818.3200073,426.2909851,150.3339996,452.7179871,3839.52002,61.62329865,676.3480225,404.3569946,100.2220001,212.7940063,60.65200043,27.32320023,189.1179962,77.70539856,24.56609917,1,0,0,0,0.0
486.973999,3277.189941,67.45819855,716.2130127,462.0750122,203.7440033,527.9890137,3344.97998,81.62770081,546.7230225,452.0320129,152.602005,206.8869934,45.94079971,29.81640053,193.8009949,59.61130142,23.71199989,0,0,0,1,0.0
508.1149902,3325.610107,75.31009674,817.8980103,469.5589905,209.776001,539.947998,3428.580078,85.80069733,612.3200073,448.5849915,142.7879944,206.3959961,48.06439972,34.56719971,194.8560028,65.70890045,27.2567997,1,0,0,0,0.0
554.1279907,3107.070068,91.83760071,800.3040161,491.4389954,241.1569977,599.677002,3184.370117,101.6259995,555.9219971,470.6690063,169.1519928,207.9920044,42.58280182,37.48020172,198.625,57.54359818,26.77109909,0,1,0,0,0.0
406.5069885,3722.560059,49.56539917,815.940979,435.7600098,154.522995,443.6040039,3855.399902,60.67340088,712.2719727,416.2430115,108.310997,211.2420044,58.09859848,26.46310043,189.8569946,74.50229645,23.73220062,1,0,0,0,0.0
389.901001,3521.620117,45.43930054,780.3220215,383.4289856,152.0310059,422.0960083,3636.429932,57.86399841,641.7219849,366.8439941,110.1549988,210.3730011,56.05130005,29.74869919,191.8049927,72.12339783,25.6439991,1,0,0,0,0.0
443.8420105,3615.610107,57.80739975,828.8400269,406.2489929,145.9810028,465.9949951,3715.550049,67.31610107,671.7680054,389.8559875,93.0161972,211.2819977,60.82910156,30.68950081,192.6159973,81.30699921,26.85499954,1,0,0,0,0.0
427.2890015,3253.959961,50.05559921,604.2269897,420.006012,168.3419952,451.3439941,3329.320068,62.50939941,459.5180054,416.2789917,136.7299957,202.901001,48.00220108,25.1685009,204.1089935,60.99280167,23.69099998,1,0,0,0,0.0
507.0379944,3388.040039,76.70469666,825.2379761,451.4349976,191.2550049,527.302002,3485.52002,84.91639709,627.6119995,429.9119873,122.5319977,222.4869995,53.76610184,33.79729843,194.8589935,73.10980225,27.21619987,0,1,0,0,0.0
456.7990112,3600.26001,62.99449921,838.4990234,404.3460083,143.9929962,474.3129883,3688.800049,70.8927002,674.5759888,388.2829895,89.32389832,211.3190002,61.50030136,31.27960014,193.8280029,83.31439972,27.10899925,0,1,0,0,0.0
442.197998,3603.969971,57.91859818,826.6309814,403.3980103,145.5879974,464.1459961,3698.399902,67.29380035,670.3800049,387.3590088,94.05010223,211.2440033,60.54909897,30.57850075,193.0619965,80.83129883,26.82749939,1,0,0,0,0.0
427.3789978,3601.550049,53.36100006,814.2210083,401.0090027,146.7619934,453.4159851,3698.080078,63.9864006,665.7089844,385.125,99.16459656,211.1629944,59.52130127,29.79369926,192.5469971,78.19609833,26.50370026,0,0,0,1,0.0
390.6520081,3521.120117,45.63349915,781.3829956,385.2820129,153.1399994,422.3559875,3640.969971,57.92490005,642.9329834,368.0690002,109.625,210.3809967,56.13249969,30.15500069,191.8059998,72.35240173,25.7689991,1,0,0,0,0.0
545.2999878,3088.909912,87.728302,792.4769897,498.1180115,244.5039978,592.9290161,3209.219971,98.22059631,556.2089844,477.2980042,165.4929962,208.1679993,42.81790161,38.18310165,194.4100037,58.35010147,26.17830086,0,1,0,0,0.0
