H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
43.46480179,2198.719971,4.54090023,70.63999939,39.86149979,2.418979883,47.26710129,2211.5,4.951509953,49.70800018,36.40140152,1.562680006,215.4980011,105.4639969,142.7050018,190.871994,109.3860016,40.75490189,0,0,0,1,0.0
42.59230042,2126.570068,4.528610229,69.95629883,39.79119873,2.683840036,48.06679916,2152.620117,5.088099957,51.30749893,37.23270035,1.50643003,210.3220062,102.6490021,144.5169983,188.6990051,107.4530029,40.54359818,0,0,0,1,0.0
34.82369995,1959.949951,4.330920219,70.83390045,43.32699966,2.263040066,40.78649902,1975.76001,4.874599934,55.58520126,40.16400146,1.606870055,238.6799927,94.76809692,42.79759979,229.7230072,115.4079971,41.39179993,1,0,0,0,0.0
36.91049957,1984.430054,4.318130016,67.27230072,41.35300064,2.313339949,43.41479874,1990.339966,4.980460167,55.40060043,39.2682991,1.643450022,227.871994,98.40709686,41.11349869,231.3990021,115.8410034,41.67279816,1,0,0,0,0.0
33.7356987,2212.040039,4.663430214,68.55449677,42.43259811,4.171299934,39.05009842,2193.060059,4.970310211,51.74020004,40.4231987,1.777559996,225.1190033,108.0690002,132.3249969,208.5809937,119.0579987,48.34960175,0,0,0,1,0.0
47.1067009,1961.859985,4.290609837,67.92939758,41.17810059,2.541569948,51.9095993,1988.869995,4.634250164,52.62770081,36.3614006,1.671609998,249.3450012,96.47769928,42.60369873,222.322998,109.935997,40.52659988,0,0,0,1,0.0
49.98160172,1922.180054,4.493030071,65.4240036,41.13679886,2.090189934,53.58209991,1951.560059,4.641300201,50.90340042,35.56349945,1.617310047,248.397995,91.32939911,42.48160172,217.4689941,106.4319992,40.15499878,1,0,0,0,0.0
46.57740021,2106.199951,4.545619965,65.13670349,41.45050049,5.389840126,54.66109848,2133.090088,4.96928978,48.1554985,36.98020172,1.828459978,237.7109985,96.59400177,36.74940109,209.4750061,108.8320007,31.16340065,1,0,0,0,0.0
44.4070015,1952.319946,4.184100151,67.50730133,41.92520142,1.954980016,50.21350098,1963.73999,4.75289011,56.32870102,37.78239822,1.596950054,231.1499939,99.64530182,41.60290146,227.6519928,113.0630035,42.2478981,1,0,0,0,0.0
42.73149872,2008.869995,4.321040154,67.7039032,41.17599869,2.481250048,48.98410034,2018.75,4.875070095,54.10269928,38.11119843,1.624480009,221.1080017,96.81700134,104.8929977,215.4660034,109.6920013,45.11399841,0,0,0,1,0.0
51.35589981,2012.790039,4.403429985,67.72969818,40.35409927,2.037539959,56.24580002,2036.180054,4.878849983,50.11780167,35.65480042,1.477270007,218.779007,92.18640137,139.102005,203.3769989,103.8209991,44.02659988,0,0,0,1,0.0
35.48880005,2040.359985,4.580420017,67.78430176,42.74750137,3.061029911,41.34600067,2035.859985,4.865849972,53.00690079,39.92819977,1.717429996,229.720993,99.03610229,39.11510086,220.0930023,115.1399994,40.38779831,0,0,0,1,0.0
40.30020142,1994.25,4.579949856,68.38749695,43.2887001,2.549420118,45.09769821,2003.550049,4.878079891,54.07630157,38.73239899,1.614689946,240.7579956,98.02500153,42.73160172,225.8190002,112.9420013,41.10720062,1,0,0,0,0.0
42.13740158,2176.699951,4.56746006,65.62969971,41.62549973,6.132740021,50.60279846,2194.0,4.835509777,48.24980164,37.87080002,1.983999968,240.197998,101.2330017,36.95709991,209.5,112.137001,31.36520004,1,0,0,0,0.0
42.83969879,1960.280029,4.101299763,69.22969818,42.3064003,2.00586009,49.6405983,1970.310059,4.794670105,56.49509811,38.27780151,1.621549964,228.9219971,98.27490234,42.85089874,226.2960052,111.6760025,41.40309906,0,0,0,1,0.0
61.19380188,1915.040039,4.186789989,66.18319702,39.66270065,1.797729969,66.28669739,1940.180054,4.804309845,50.52209854,34.7961998,1.486359954,219.9689941,85.32820129,134.1150055,208.1809998,101.4670029,46.24060059,0,0,0,1,0.0
43.09730148,2153.560059,4.599410057,64.91919708,41.46689987,4.876070023,50.59469986,2154.600098,4.981880188,48.21220016,37.68579865,1.837700009,235.1670074,98.31340027,36.47629929,207.6990051,110.2559967,31.01029968,1,0,0,0,0.0
53.8791008,1913.839966,4.34528017,64.68959808,41.35760117,1.822450042,56.16049957,1936.390015,4.677289963,52.19010162,35.40399933,1.588250041,245.128006,93.97579956,43.16930008,219.3930054,105.362999,37.84600067,1,0,0,0,0.0
39.31679916,1942.640015,4.011109829,70.24299622,42.1853981,1.901540041,47.07989883,1963.109985,4.755219936,58.7052002,38.40769958,1.607859969,232.4819946,104.0780029,41.94319916,237.8200073,115.3519974,42.50329971,1,0,0,0,0.0
36.68330002,2090.590088,4.488609791,64.72299957,41.44100189,2.93479991,43.07490158,2081.889893,4.990960121,52.90729904,39.71049881,1.816130042,226.654007,98.31529999,40.6344986,217.9499969,113.6100006,40.75220108,1,0,0,0,0.0
55.34109879,1935.76001,4.404580116,64.62460327,41.37329865,2.333940029,57.06669998,1958.410034,4.682640076,50.59550095,35.43510056,1.619070053,245.1380005,92.74289703,42.97940063,216.6730042,105.0339966,37.63550186,1,0,0,0,0.0
