M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
330.7479858,3451.179932,41.90449905,429.0010071,226.6560059,15.07380009,374.2470093,3472.97998,54.91429901,393.1830139,222.4609985,9.118700027,212.0249939,68.62909698,38.21279907,197.4160004,79.23919678,41.62239838,1,0,0,0
409.1579895,3248.860107,43.49420166,445.6570129,255.1179962,17.0564003,475.5620117,3314.030029,57.92610168,409.3479919,266.1210022,10.12139988,210.5079956,63.56119919,38.50989914,192.8200073,72.99710083,41.35800171,0,0,0,1
276.8779907,3776.090088,47.37609863,442.105011,211.2519989,14.03250027,332.2109985,3781.97998,61.07649994,407.8840027,205.0930023,9.276390076,218.7579956,77.73660278,39.44829941,208.0529938,89.05410004,42.5033989,0,0,0,1
275.2749939,3762.149902,45.59289932,433.381012,204.2559967,13.26830006,318.3450012,3773.879883,59.39369965,403.026001,199.1840057,8.868049622,217.6260071,74.64019775,39.36629868,200.2400055,84.70580292,42.1629982,0,0,0,1
404.1459961,3473.810059,41.76050186,442.8200073,244.1130066,17.37649918,445.5750122,3440.77002,53.55410004,404.2059937,227.9909973,10.18669987,211.5509949,64.04509735,38.57460022,201.8280029,73.35780334,41.27590179,0,0,0,1
297.8959961,3770.76001,45.67240143,457.1340027,249.7420044,16.70730019,408.9129944,3703.73999,62.16640091,415.8670044,237.651001,11.8508997,220.1840057,79.67120361,39.46020126,218.1100006,91.0062027,42.81850052,0,0,0,1
277.6690063,3791.850098,45.74110031,438.1919861,209.602005,13.59469986,331.8150024,3763.5,60.31299973,405.5119934,201.2429962,8.986049652,218.6029968,77.59819794,39.39149857,207.7489929,85.97090149,42.3730011,0,0,0,1
307.2510071,3622.429932,43.27819824,432.1350098,220.3959961,13.87349987,356.0159912,3615.689941,58.85169983,399.5180054,224.1549988,8.816940308,217.4689941,73.72029877,39.18600082,203.8910065,81.23220062,42.12210083,1,0,0,0
276.1730042,3772.120117,45.44800186,433.8429871,205.3899994,13.26889992,320.9559937,3764.310059,59.58810043,403.2489929,198.7689972,8.883170128,217.9839935,75.72979736,39.35689926,203.0140076,84.23629761,42.20119858,0,0,0,1
268.0190125,3764.090088,47.7942009,439.973999,204.3359985,13.84609985,311.9179993,3791.899902,60.88290024,407.5419922,200.4160004,9.422419548,218.6439972,76.6108017,39.4620018,205.9380035,88.90029907,42.45349884,1,0,0,0
431.4549866,3432.530029,43.43099976,451.0,255.5070038,17.49290085,481.2229919,3404.370117,55.94599915,412.6000061,249.1560059,10.30189991,211.3159943,63.54769897,38.5461998,200.7649994,71.02929688,41.28519821,0,0,0,1
282.3630066,3780.850098,44.61600113,434.1860046,211.4320068,13.25329971,328.0859985,3725.98999,59.74530029,402.70401,203.3769989,8.872719765,218.5039978,79.04750061,39.28250122,209.3170013,81.376297,42.21149826,1,0,0,0
454.5299988,3472.76001,44.92689896,459.7680054,264.4100037,17.65019989,511.5140076,3492.929932,56.8484993,427.8850098,264.0350037,10.88210011,210.625,62.9836998,38.53480148,202.5879974,67.77400208,41.07830048,0,0,0,1
282.5960083,3774.929932,51.16040039,456.5639954,230.3860016,15.44519997,353.0849915,3788.179932,63.65779877,414.5950012,220.9669952,10.26410007,220.1109924,84.78220367,39.53079987,217.5650024,93.96920013,42.84730148,1,0,0,0
295.1130066,3746.909912,51.07369995,462.0559998,251.0800018,17.03380013,401.4410095,3720.939941,65.18060303,418.1270142,237.776001,12.59689999,221.6670074,88.51000214,39.52740097,227.8329926,94.01339722,42.94049835,0,0,0,1
279.9729919,3779.879883,49.57569885,450.1229858,220.9470062,14.77019978,342.2879944,3788.949951,62.62860107,411.8599854,213.5950012,9.755999565,219.5429993,81.80680084,39.49649811,213.9620056,92.01599884,42.7220993,0,0,0,1
276.427002,3777.389893,49.42039871,449.6430054,218.7819977,14.72140026,337.7529907,3791.649902,62.37239838,411.6629944,211.2550049,9.814539909,219.4199982,81.0786972,39.50299835,212.4190063,91.90129852,42.68109894,1,0,0,0
298.1879883,3709.949951,44.12829971,441.5559998,230.4819946,14.7979002,373.3909912,3680.919922,62.16419983,406.95401,236.2100067,9.144590378,218.2539978,75.44090271,39.28590012,206.9420013,85.96240234,42.42739868,1,0,0,0
396.8599854,3436.659912,41.66139984,441.1119995,244.4060059,17.28660011,442.1099854,3413.850098,53.63890076,401.5509949,232.2640076,10.10109997,211.6009979,63.8844986,38.5727005,200.5800018,73.89040375,41.27970123,0,0,0,1
313.8269958,3654.48999,42.63100052,445.3540039,241.3760071,16.24189949,401.2789917,3612.800049,59.55049896,405.9410095,239.1629944,10.01669979,223.2279968,70.00160217,40.5931015,205.9409943,85.24880219,43.51649857,0,0,0,1
326.8059998,3472.310059,42.07260132,429.5509949,226.003006,14.92990017,371.4400024,3491.709961,55.34149933,394.0280151,221.8170013,9.087920189,212.0690002,69.43560028,38.20909882,198.1549988,79.57379913,41.63339996,1,0,0,0
282.177002,3810.699951,44.41180038,440.0629883,219.2140045,13.71220016,333.2009888,3773.870117,60.25939941,405.7890015,217.2709961,8.889800072,218.9149933,81.31130219,39.31209946,216.5200043,83.01540375,42.57149887,1,0,0,0
287.0390015,3791.600098,50.8973999,451.1380005,228.1580048,14.88860035,341.9240112,3804.929932,64.16819763,413.6199951,226.9299927,9.493069649,219.7059937,85.21859741,39.45869827,220.4100037,91.76979828,42.94800186,0,0,0,1
328.2640076,3398.820068,41.45890045,426.0639954,225.9120026,15.91779995,381.4500122,3430.51001,54.79230118,392.196991,226.7400055,9.224410057,208.4689941,67.12619781,38.48350143,192.5720062,80.66760254,40.73500061,1,0,0,0
331.7120056,3406.5,41.20489883,425.0339966,227.5559998,16.21100044,380.9609985,3422.959961,54.47869873,390.8049927,224.4940033,9.291930199,209.9199982,66.01650238,37.9408989,194.1069946,79.24430084,40.20740128,1,0,0,0
285.8410034,3772.669922,51.67399979,456.5809937,232.1260071,15.48079967,354.3410034,3787.870117,64.04180145,414.6109924,223.8600006,10.21290016,220.2949982,85.41500092,39.5243988,219.0709991,94.05149841,42.89089966,0,0,0,1
399.4580078,3258.98999,43.15250015,443.098999,252.5240021,16.89520073,462.6759949,3336.790039,56.18159866,405.8049927,263.9450073,9.992790222,210.1829987,63.98270035,38.49890137,193.9049988,74.00489807,41.14379883,0,0,0,1
280.9200134,3821.51001,45.02259827,441.1149902,218.8130035,13.73789978,332.6669922,3779.879883,60.55339813,406.572998,214.8789978,8.957070351,219.0980072,82.00479889,39.33259964,217.0780029,83.70999908,42.58100128,1,0,0,0
460.052002,3465.379883,44.83420181,460.75,264.32901,17.75620079,513.3870239,3458.310059,56.9864006,426.3760071,262.8529968,10.71479988,211.1000061,63.26660156,38.53079987,204.4940033,68.49649811,41.21789932,0,0,0,1
278.7000122,3827.800049,45.56370163,439.0209961,214.3070068,13.42080021,331.6879883,3752.060059,60.83470154,405.7149963,203.7649994,9.079540253,219.5910034,81.80000305,39.31980133,214.4080048,82.4469986,42.23320007,0,0,0,1
291.6029968,3758.840088,53.33390045,458.368988,238.6300049,15.83189964,361.6229858,3781.409912,65.123703,414.8370056,231.25,10.36240005,221.1009979,86.70120239,39.5298996,222.5939941,94.61309814,43.00299835,0,0,0,1
