H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
42.14770126,2076.350098,3.684099913,60.71879959,53.88050079,1.438220024,46.82329941,2094.340088,4.109489918,50.0530014,52.10990143,1.290060043,218.3130035,74.97930145,39.43190002,203.548996,87.38580322,42.35279846,0,0,0,1,0.0
78.31520081,1921.130005,5.282929897,64.4763031,63.69459915,5.043310165,80.48590088,1943.420044,6.416530132,51.1711998,63.21340179,3.028749943,211.3370056,63.56430054,38.54809952,200.6089935,71.28849792,41.28730011,0,0,0,1,0.0
76.00730133,1929.119995,5.279900074,64.21219635,63.54019928,4.667630196,73.64679718,1975.48999,5.677320004,50.99779892,66.0535965,2.609950066,210.901001,64.66280365,38.55369949,195.7369995,74.62509918,41.15579987,0,0,0,1,0.0
82.14790344,1912.150024,5.341489792,64.57279968,63.89979935,5.452950001,82.23239899,1935.98999,6.842760086,51.25040054,63.12670135,3.140409946,211.3200073,63.35969925,38.54700089,204.7720032,69.49749756,41.25899887,0,0,0,1,0.0
43.51520157,2076.370117,3.833430052,60.89429855,55.91650009,1.696239948,48.98899841,2091.530029,4.489580154,50.07630157,53.09579849,1.311210036,218.7120056,77.47750092,39.45389938,207.3029938,89.19249725,42.49029922,0,0,0,1,0.0
66.39839935,1971.48999,4.957689762,62.55879974,61.04100037,4.059939861,63.69520187,2028.77002,4.912640095,49.77030182,62.18439865,2.135610104,208.5579987,67.04550171,38.48989868,192.9049988,80.47250366,40.75130081,1,0,0,0,0.0
47.84820175,2050.310059,3.855139971,60.91460037,55.60110092,2.474410057,47.32310104,2079.879883,3.740950108,50.00469971,53.35219955,1.557350039,218.3659973,78.55580139,39.26959991,208.845993,81.13420105,42.20759964,1,0,0,0,0.0
63.70009995,1985.790039,4.601819992,61.84339905,59.85520172,3.614200115,61.95970154,2032.27002,4.603829861,49.85380173,59.82109833,2.03786993,212.1210022,69.6414032,38.21149826,198.5099945,79.55110168,41.64099884,1,0,0,0,0.0
64.97309875,1978.630005,4.95374012,63.8246994,61.42100143,4.140910149,62.29660034,2028.420044,5.072259903,50.71179962,61.7779007,2.163019896,210.1940002,65.87550354,37.96720123,195.1390076,78.6812973,40.27209854,1,0,0,0,0.0
54.93989944,2022.869995,4.119040012,61.06969833,57.31470108,3.069390059,54.10570145,2062.100098,4.104549885,50.02600098,57.90859985,1.757189989,217.7689972,75.44190216,39.21310043,206.1410065,81.40709686,42.1977005,1,0,0,0,0.0
